Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.58068"
"0.10000","0.00057","0.58170"
"0.20000","0.00414","0.56848"
"0.30000","0.00748","0.59679"
"0.40000","0.00997","0.62538"
"0.50000","0.01247","0.60963"
"0.60000","0.01507","0.60223"
"0.70000","0.01757","0.61839"
"0.80000","0.01995","0.63542"
"0.90000","0.02250","0.62066"
"1.00000","0.02499","0.61973"
"1.10000","0.02760","0.63464"
"1.20000","0.03009","0.63665"
"1.30000","0.03247","0.63975"
"1.40000","0.03508","0.63723"
"1.50000","0.03768","0.60497"
"1.60000","0.04006","0.67775"
"1.70000","0.04250","0.62291"
"1.80000","0.04505","0.63862"
"1.90000","0.04749","0.60645"
"2.00000","0.05015","0.60821"
"2.10000","0.05253","0.65006"
"2.20000","0.05497","0.64868"
"2.30000","0.05763","0.68190"
"2.40000","0.06012","0.65421"
"2.50000","0.06256","0.67696"
"2.60000","0.06500","0.67986"
"2.70000","0.06749","0.66109"
"2.80000","0.07010","0.66059"
"2.90000","0.07259","0.70284"
"3.00000","0.07497","0.69637"
"3.10000","0.07752","0.71044"
"3.20000","0.08013","0.66410"
"3.30000","0.08262","0.64379"
"3.40000","0.08506","0.69246"
"3.50000","0.08749","0.69436"
"3.60000","0.09004","0.71321"
"3.70000","0.09265","0.70160"
"3.80000","0.09509","0.68376"
"3.90000","0.09747","0.74010"
"4.00000","0.10007","0.77259"
"4.10000","0.10257","0.70741"
"4.20000","0.10512","0.70147"
"4.30000","0.10761","0.70725"
"4.40000","0.10999","0.75405"
"4.50000","0.11254","0.74405"
"4.60000","0.11509","0.73698"
"4.70000","0.11758","0.73182"
"4.80000","0.12002","0.74653"
"4.90000","0.12251","0.74528"
"5.00000","0.12506","0.71103"
"5.10000","0.12761","0.77332"
"5.20000","0.12994","0.79002"
"5.30000","0.13254","0.76937"
"5.40000","0.13504","0.75154"
"5.50000","0.13759","0.77129"
"5.60000","0.14002","0.76558"
"5.70000","0.14252","0.79608"
"5.80000","0.14501","0.79797"
"5.90000","0.14756","0.77140"
"6.00000","0.15011","0.74554"
"6.10000","0.15260","0.78183"
"6.20000","0.15504","0.78223"
"6.30000","0.15759","0.81089"
"6.40000","0.16003","0.77623"
"6.50000","0.16258","0.75300"
"6.60000","0.16513","0.80547"
"6.70000","0.16756","0.80835"
"6.80000","0.17017","0.78664"
"6.90000","0.17249","0.79433"
"7.00000","0.17504","0.82068"
"7.10000","0.17754","0.85144"
"7.20000","0.18003","0.82870"
"7.30000","0.18247","0.82828"
"7.40000","0.18507","0.81950"
"7.50000","0.18751","0.84634"
"7.60000","0.19006","0.80828"
"7.70000","0.19261","0.82409"
"7.80000","0.19499","0.82393"
"7.90000","0.19754","0.85040"
"8.00000","0.20009","0.83918"
"8.10000","0.20253","0.85177"
"8.20000","0.20496","0.86698"
"8.30000","0.20757","0.82804"
"8.40000","0.21012","0.86883"
"8.50000","0.21261","0.82044"
"8.60000","0.21505","0.88605"
"8.70000","0.21749","0.85898"
"8.80000","0.22009","0.81985"
"8.90000","0.22264","0.86368"
"9.00000","0.22508","0.86132"
"9.10000","0.22763","0.85546"
"9.20000","0.23007","0.85152"
"9.30000","0.23262","0.88184"
"9.40000","0.23511","0.87732"
"9.50000","0.23749","0.90504"
"9.60000","0.24010","0.92232"
"9.70000","0.24259","0.90947"
"9.80000","0.24508","0.89400"
"9.90000","0.24758","0.91934"
"10.00000","0.25001","0.89809"
"10.10000","0.25256","0.93035"
"10.20000","0.25511","0.94443"
"10.30000","0.25761","0.89293"
"10.40000","0.25999","0.92076"
"10.50000","0.26254","0.93423"
"10.60000","0.26520","0.95624"
"10.70000","0.26758","0.92219"
"10.80000","0.26996","0.95134"
"10.90000","0.27257","0.94601"
"11.00000","0.27512","0.92199"
"11.10000","0.27767","0.95620"
"11.20000","0.27999","0.92375"
"11.30000","0.28254","0.97224"
"11.40000","0.28503","0.96241"
"11.50000","0.28764","0.96396"
"11.60000","0.29002","0.98781"
"11.70000","0.29251","0.93536"
"11.80000","0.29506","0.94363"
"11.90000","0.29761","1.00097"
"12.00000","0.30011","0.98695"
"12.10000","0.30249","0.96763"
"12.20000","0.30504","0.95998"
"12.30000","0.30759","0.99812"
"12.40000","0.31014","0.95028"
"12.50000","0.31252","1.02505"
"12.60000","0.31501","1.00920"
"12.70000","0.31756","0.97422"
"12.80000","0.32011","1.02262"
"12.90000","0.32255","1.00628"
"13.00000","0.32504","0.97403"
"13.10000","0.32753","1.03713"
"13.20000","0.33003","0.99196"
"13.30000","0.33263","1.02416"
"13.40000","0.33507","1.00146"
"13.50000","0.33751","1.01974"
"13.60000","0.34011","1.02794"
"13.70000","0.34261","1.03844"
"13.80000","0.34504","0.99984"
"13.90000","0.34754","1.03637"
"14.00000","0.35003","1.03918"
"14.10000","0.35258","1.03766"
"14.20000","0.35513","1.06784"
"14.30000","0.35751","1.03061"
"14.40000","0.36000","1.05654"
"14.50000","0.36267","1.05517"
"14.60000","0.36505","1.02229"
"14.70000","0.36748","1.04444"
"14.80000","0.37009","1.06603"
"14.90000","0.37253","1.08247"
"15.00000","0.37508","1.08287"
"15.10000","0.37763","1.09713"
"15.20000","0.38006","1.11080"
"15.30000","0.38250","1.07402"
"15.40000","0.38505","1.09733"
"15.50000","0.38749","1.06371"
"15.60000","0.39009","1.07067"
"15.70000","0.39259","1.07844"
"15.80000","0.39514","1.07655"
"15.90000","0.39757","1.09579"
"16.00000","0.40001","1.09912"
"16.10000","0.40256","1.09811"
"16.20000","0.40505","1.12675"
"16.30000","0.40755","1.13097"
"16.40000","0.40998","1.09162"
"16.50000","0.41259","1.10456"
"16.60000","0.41503","1.10794"
"16.70000","0.41758","1.12899"
"16.80000","0.42007","1.11940"
"16.90000","0.42251","1.09682"
"17.00000","0.42506","1.12283"
"17.10000","0.42761","1.11393"
"17.20000","0.42999","1.16014"
"17.30000","0.43254","1.13418"
"17.40000","0.43514","1.13539"
"17.50000","0.43758","1.16643"
"17.60000","0.44013","1.14267"
"17.70000","0.44251","1.16835"
"17.80000","0.44500","1.16917"
"17.90000","0.44761","1.17740"
"18.00000","0.45005","1.16079"
