Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","0.03888","0.00000","-0.00001","0.00389","0.00005"
"0.10000","0.00068","1.41646","0.00001","0.00000","0.14165","0.00000"
"0.20000","0.00173","4.60550","0.00002","0.00001","0.46055","0.00001"
"0.30000","0.00700","21.37209","0.00007","0.00002","2.13721","-0.00005"
"0.40000","0.01042","32.07672","0.00010","0.00005","3.20767","-0.00010"
"0.50000","0.01391","43.18747","0.00014","0.00012","4.31875","-0.00009"
"0.60000","0.01716","53.45612","0.00017","0.00016","5.34561","-0.00005"
"0.70000","0.02049","63.76654","0.00020","0.00019","6.37665","-0.00009"
"0.80000","0.02380","74.12290","0.00024","0.00021","7.41229","-0.00013"
"0.90000","0.02729","84.91643","0.00027","0.00025","8.49164","-0.00015"
"1.00000","0.03073","95.53701","0.00031","0.00029","9.55370","-0.00020"
"1.10000","0.03376","104.90315","0.00034","0.00029","10.49032","-0.00019"
"1.20000","0.03713","115.17220","0.00037","0.00032","11.51722","-0.00018"
"1.30000","0.04060","125.87868","0.00041","0.00034","12.58787","-0.00024"
"1.40000","0.04382","135.61382","0.00044","0.00037","13.56138","-0.00024"
"1.50000","0.04712","145.81223","0.00047","0.00039","14.58122","-0.00024"
"1.60000","0.05059","156.25130","0.00051","0.00041","15.62513","-0.00027"
"1.70000","0.05399","166.65546","0.00054","0.00045","16.66555","-0.00025"
"1.80000","0.05710","175.94040","0.00057","0.00047","17.59404","-0.00029"
"1.90000","0.06059","186.30684","0.00061","0.00052","18.63068","-0.00026"
"2.00000","0.06396","196.43803","0.00064","0.00055","19.64380","-0.00029"
"2.10000","0.06729","206.20148","0.00067","0.00058","20.62015","-0.00034"
"2.20000","0.07052","215.87112","0.00071","0.00061","21.58711","-0.00038"
"2.30000","0.07390","225.89772","0.00074","0.00064","22.58977","-0.00039"
"2.40000","0.07723","235.68701","0.00077","0.00067","23.56870","-0.00048"
"2.50000","0.08043","244.97816","0.00080","0.00070","24.49782","-0.00049"
"2.60000","0.08388","255.05325","0.00084","0.00073","25.50533","-0.00050"
"2.70000","0.08728","265.13074","0.00087","0.00076","26.51307","-0.00057"
"2.80000","0.09056","274.62540","0.00091","0.00079","27.46254","-0.00060"
"2.90000","0.09384","284.22314","0.00094","0.00082","28.42231","-0.00063"
"3.00000","0.09711","293.50558","0.00097","0.00086","29.35056","-0.00068"
"3.10000","0.10051","303.32260","0.00101","0.00090","30.33226","-0.00063"
"3.20000","0.10380","312.89661","0.00104","0.00092","31.28966","-0.00066"
"3.30000","0.10728","322.94257","0.00107","0.00095","32.29426","-0.00068"
"3.40000","0.11067","332.57864","0.00111","0.00097","33.25787","-0.00063"
"3.50000","0.11388","341.82086","0.00114","0.00100","34.18209","-0.00067"
"3.60000","0.11723","351.17801","0.00117","0.00103","35.11780","-0.00072"
"3.70000","0.12055","360.59796","0.00121","0.00105","36.05980","-0.00074"
"3.80000","0.12386","369.98175","0.00124","0.00108","36.99818","-0.00078"
"3.90000","0.12722","379.58130","0.00127","0.00110","37.95813","-0.00084"
"4.00000","0.13062","389.02969","0.00131","0.00112","38.90297","-0.00085"
"4.10000","0.13397","398.62445","0.00134","0.00114","39.86245","-0.00083"
"4.20000","0.13715","407.51453","0.00137","0.00118","40.75145","-0.00087"
"4.30000","0.14053","416.91214","0.00141","0.00121","41.69122","-0.00085"
"4.40000","0.14381","426.00348","0.00144","0.00124","42.60035","-0.00086"
"4.50000","0.14718","435.48093","0.00147","0.00127","43.54809","-0.00094"
"4.60000","0.15058","444.83380","0.00151","0.00129","44.48338","-0.00093"
"4.70000","0.15389","454.01953","0.00154","0.00132","45.40195","-0.00093"
"4.80000","0.15723","463.16269","0.00157","0.00134","46.31627","-0.00095"
"4.90000","0.16047","472.14194","0.00160","0.00137","47.21420","-0.00101"
"5.00000","0.16388","481.37643","0.00164","0.00139","48.13764","-0.00101"
"5.10000","0.16724","490.43958","0.00167","0.00143","49.04396","-0.00106"
"5.20000","0.17043","499.37741","0.00170","0.00146","49.93774","-0.00110"
"5.30000","0.17391","508.88852","0.00174","0.00150","50.88885","-0.00117"
"5.40000","0.17724","517.91455","0.00177","0.00154","51.79145","-0.00117"
"5.50000","0.18052","526.81714","0.00181","0.00157","52.68171","-0.00122"
"5.60000","0.18384","535.82111","0.00184","0.00159","53.58211","-0.00117"
"5.70000","0.18734","545.31873","0.00187","0.00161","54.53187","-0.00117"
"5.80000","0.19067","554.38544","0.00191","0.00163","55.43855","-0.00118"
"5.90000","0.19387","562.65887","0.00194","0.00166","56.26589","-0.00122"
"6.00000","0.19723","571.56744","0.00197","0.00168","57.15675","-0.00122"
"6.10000","0.20049","580.26508","0.00200","0.00171","58.02651","-0.00127"
"6.20000","0.20383","589.12054","0.00204","0.00174","58.91206","-0.00131"
"6.30000","0.20708","597.59601","0.00207","0.00177","59.75960","-0.00134"
"6.40000","0.21070","607.44543","0.00211","0.00180","60.74454","-0.00129"
"6.50000","0.21397","615.94049","0.00214","0.00184","61.59405","-0.00131"
"6.60000","0.21709","623.99005","0.00217","0.00187","62.39901","-0.00131"
"6.70000","0.22057","633.21271","0.00221","0.00190","63.32127","-0.00131"
"6.80000","0.22377","641.47095","0.00224","0.00194","64.14709","-0.00129"
"6.90000","0.22715","650.38220","0.00227","0.00196","65.03822","-0.00132"
"7.00000","0.23044","658.79095","0.00230","0.00200","65.87910","-0.00137"
"7.10000","0.23400","668.06586","0.00234","0.00202","66.80659","-0.00137"
"7.20000","0.23734","676.61951","0.00237","0.00204","67.66195","-0.00142"
"7.30000","0.24048","684.63159","0.00240","0.00207","68.46316","-0.00146"
"7.40000","0.24392","693.38483","0.00244","0.00211","69.33849","-0.00147"
"7.50000","0.24726","701.78143","0.00247","0.00214","70.17815","-0.00149"
"7.60000","0.25054","710.01001","0.00251","0.00217","71.00100","-0.00153"
"7.70000","0.25385","718.44116","0.00254","0.00218","71.84412","-0.00151"
