Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-0.34384","0.00000","0.00004","-0.03438","0.00011"
"0.10000","0.00072","2.09805","0.00001","0.00003","0.20981","0.00011"
"0.20000","0.00279","9.93276","0.00003","0.00005","0.99328","0.00011"
"0.30000","0.00774","27.71053","0.00008","0.00008","2.77105","0.00005"
"0.40000","0.01104","36.54967","0.00011","0.00009","3.65497","0.00007"
"0.50000","0.01447","46.12558","0.00014","0.00010","4.61256","0.00007"
"0.60000","0.01782","55.97193","0.00018","0.00011","5.59719","0.00004"
"0.70000","0.02114","65.60534","0.00021","0.00012","6.56053","0.00000"
"0.80000","0.02440","75.54806","0.00024","0.00013","7.55481","-0.00002"
"0.90000","0.02792","86.60546","0.00028","0.00014","8.66055","-0.00005"
"1.00000","0.03127","96.97630","0.00031","0.00017","9.69763","-0.00013"
"1.10000","0.03445","106.66502","0.00034","0.00019","10.66650","-0.00019"
"1.20000","0.03781","117.17064","0.00038","0.00021","11.71706","-0.00022"
"1.30000","0.04109","127.61272","0.00041","0.00021","12.76127","-0.00027"
"1.40000","0.04439","138.30482","0.00044","0.00026","13.83048","-0.00025"
"1.50000","0.04768","149.06923","0.00048","0.00028","14.90692","-0.00030"
"1.60000","0.05126","160.82047","0.00051","0.00030","16.08205","-0.00030"
"1.70000","0.05455","171.56445","0.00055","0.00030","17.15644","-0.00033"
"1.80000","0.05769","181.80406","0.00058","0.00036","18.18041","-0.00037"
"1.90000","0.06112","192.97198","0.00061","0.00039","19.29720","-0.00034"
"2.00000","0.06441","203.63913","0.00064","0.00042","20.36391","-0.00036"
"2.10000","0.06776","214.46121","0.00068","0.00046","21.44612","-0.00038"
"2.20000","0.07104","225.16765","0.00071","0.00048","22.51677","-0.00036"
"2.30000","0.07460","236.83675","0.00075","0.00054","23.68367","-0.00034"
"2.40000","0.07790","247.46791","0.00078","0.00059","24.74679","-0.00033"
"2.50000","0.08106","257.68286","0.00081","0.00065","25.76829","-0.00033"
"2.60000","0.08452","268.93646","0.00085","0.00070","26.89365","-0.00036"
"2.70000","0.08785","279.64288","0.00088","0.00077","27.96429","-0.00035"
"2.80000","0.09113","290.01663","0.00091","0.00085","29.00166","-0.00030"
"2.90000","0.09443","300.65457","0.00094","0.00089","30.06546","-0.00030"
"3.00000","0.09784","311.71335","0.00098","0.00093","31.17134","-0.00029"
"3.10000","0.10114","322.19119","0.00101","0.00097","32.21912","-0.00020"
"3.20000","0.10434","332.56335","0.00104","0.00102","33.25634","-0.00016"
"3.30000","0.10782","343.52026","0.00108","0.00107","34.35203","-0.00011"
"3.40000","0.11127","354.64908","0.00111","0.00109","35.46491","-0.00013"
"3.50000","0.11446","364.50040","0.00114","0.00112","36.45004","-0.00015"
