Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-0.02080","0.00000","0.00002","-0.00208","-0.00003"
"0.10000","0.00072","1.61811","0.00001","-0.00001","0.16181","-0.00003"
"0.20000","0.00193","5.45678","0.00002","0.00001","0.54568","-0.00003"
"0.30000","0.00696","21.62273","0.00007","0.00003","2.16227","-0.00005"
"0.40000","0.01067","31.96534","0.00011","0.00004","3.19653","-0.00007"
"0.50000","0.01411","41.41665","0.00014","0.00007","4.14166","-0.00007"
"0.60000","0.01727","49.81532","0.00017","0.00011","4.98153","-0.00007"
"0.70000","0.02065","58.71434","0.00021","0.00011","5.87143","-0.00011"
"0.80000","0.02396","67.19245","0.00024","0.00015","6.71924","-0.00012"
"0.90000","0.02727","75.62081","0.00027","0.00015","7.56208","-0.00010"
"1.00000","0.03055","83.88107","0.00031","0.00017","8.38811","-0.00010"
"1.10000","0.03412","92.90662","0.00034","0.00018","9.29066","-0.00013"
"1.20000","0.03739","100.75540","0.00037","0.00018","10.07554","-0.00013"
"1.30000","0.04054","108.37727","0.00041","0.00021","10.83773","-0.00014"
"1.40000","0.04400","116.98553","0.00044","0.00024","11.69855","-0.00014"
"1.50000","0.04719","124.43001","0.00047","0.00024","12.44300","-0.00014"
"1.60000","0.05059","132.52171","0.00051","0.00024","13.25217","-0.00014"
"1.70000","0.05386","140.22450","0.00054","0.00026","14.02245","-0.00015"
"1.80000","0.05746","148.68777","0.00057","0.00029","14.86878","-0.00015"
"1.90000","0.06075","155.98691","0.00061","0.00028","15.59869","-0.00014"
"2.00000","0.06390","162.81953","0.00064","0.00030","16.28195","-0.00014"
"2.10000","0.06740","170.01530","0.00067","0.00032","17.00153","-0.00014"
"2.20000","0.07066","176.11520","0.00071","0.00035","17.61152","-0.00017"
"2.30000","0.07398","180.67107","0.00074","0.00034","18.06711","-0.00019"
"2.40000","0.07731","184.84253","0.00077","0.00037","18.48425","-0.00023"
"2.50000","0.08069","188.25732","0.00081","0.00048","18.82573","-0.00019"
"2.60000","0.08400","193.44943","0.00084","0.00074","19.34494","-0.00012"
"2.70000","0.08720","198.71561","0.00087","0.00085","19.87156","-0.00007"
"2.80000","0.09064","204.70140","0.00091","0.00091","20.47014","-0.00001"
"2.90000","0.09408","210.39224","0.00094","0.00090","21.03922","0.00003"
"3.00000","0.09727","215.34937","0.00097","0.00095","21.53494","0.00006"
"3.10000","0.10057","220.77202","0.00101","0.00098","22.07720","0.00006"
