Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","73.00001","-0.19314","0.00000","-0.00002","-0.01931","0.00003"
"0.10000","73.00080","0.83047","0.00001","-0.00002","0.08305","0.00003"
"0.20000","73.00250","3.78782","0.00002","-0.00004","0.37878","0.00003"
"0.30000","73.00753","12.84481","0.00008","-0.00004","1.28448","0.00003"
"0.40000","73.01092","18.74538","0.00011","-0.00003","1.87454","0.00000"
"0.50000","73.01422","24.19371","0.00014","-0.00002","2.41937","-0.00002"
"0.60000","73.01778","30.18023","0.00018","-0.00003","3.01802","-0.00003"
"0.70000","73.02108","35.47266","0.00021","-0.00002","3.54727","-0.00003"
"0.80000","73.02427","40.59663","0.00024","-0.00003","4.05966","-0.00003"
"0.90000","73.02769","46.18409","0.00028","-0.00003","4.61841","-0.00004"
"1.00000","73.03102","51.26991","0.00031","-0.00001","5.12699","-0.00003"
"1.10000","73.03436","56.51067","0.00034","-0.00002","5.65107","-0.00005"
"1.20000","73.03764","61.36403","0.00038","-0.00002","6.13640","-0.00005"
"1.30000","73.04116","66.81285","0.00041","-0.00002","6.68128","-0.00005"
"1.40000","73.04444","71.65538","0.00044","-0.00004","7.16554","-0.00008"
"1.50000","73.04761","76.17698","0.00048","-0.00002","7.61770","-0.00006"
"1.60000","73.05103","81.26588","0.00051","-0.00004","8.12659","-0.00005"
"1.70000","73.05436","86.08734","0.00054","-0.00002","8.60873","-0.00010"
"1.80000","73.05763","90.64513","0.00058","-0.00001","9.06451","-0.00010"
"1.90000","73.06095","95.36929","0.00061","0.00000","9.53693","-0.00010"
"2.00000","73.06441","100.15004","0.00064","0.00000","10.01500","-0.00012"
"2.10000","73.06769","104.70871","0.00068","0.00002","10.47087","-0.00013"
"2.20000","73.07089","108.84563","0.00071","0.00002","10.88456","-0.00013"
"2.30000","73.07442","113.66228","0.00074","0.00005","11.36623","-0.00010"
"2.40000","73.07772","118.01691","0.00078","0.00005","11.80169","-0.00012"
"2.50000","73.08097","122.14188","0.00081","0.00004","12.21419","-0.00012"
"2.60000","73.08430","126.43113","0.00084","0.00005","12.64311","-0.00016"
"2.70000","73.08771","130.85117","0.00088","0.00005","13.08512","-0.00019"
"2.80000","73.09100","134.82527","0.00091","0.00007","13.48253","-0.00019"
"2.90000","73.09428","139.08626","0.00094","0.00009","13.90863","-0.00016"
"3.00000","73.09782","143.39981","0.00098","0.00011","14.33998","-0.00016"
"3.10000","73.10119","147.36957","0.00101","0.00012","14.73696","-0.00016"
"3.20000","73.10432","151.11581","0.00104","0.00013","15.11158","-0.00018"
"3.30000","73.10767","155.11433","0.00108","0.00015","15.51143","-0.00019"
"3.40000","73.11098","158.95158","0.00111","0.00019","15.89516","-0.00021"
"3.50000","73.11431","162.73265","0.00114","0.00020","16.27327","-0.00021"
"3.60000","73.11758","166.58011","0.00118","0.00023","16.65801","-0.00021"
"3.70000","73.12111","170.80264","0.00121","0.00026","17.08027","-0.00022"
"3.80000","73.12454","174.60516","0.00125","0.00027","17.46052","-0.00020"
"3.90000","73.12759","177.74261","0.00128","0.00027","17.77426","-0.00016"
"4.00000","73.13092","181.46805","0.00131","0.00030","18.14680","-0.00016"
"4.10000","73.13433","185.12947","0.00134","0.00030","18.51295","-0.00015"
"4.20000","73.13762","188.85513","0.00138","0.00033","18.88551","-0.00013"
"4.30000","73.14094","192.18839","0.00141","0.00034","19.21884","-0.00013"
"4.40000","73.14439","196.10861","0.00144","0.00037","19.61086","-0.00016"
"4.50000","73.14782","199.86069","0.00148","0.00038","19.98607","-0.00016"
"4.60000","73.15092","202.70622","0.00151","0.00039","20.27062","-0.00014"
"4.70000","73.15437","206.44933","0.00154","0.00042","20.64493","-0.00014"
"4.80000","73.15776","209.83621","0.00158","0.00043","20.98362","-0.00016"
"4.90000","73.16106","213.12257","0.00161","0.00042","21.31226","-0.00019"
"5.00000","73.16433","216.40463","0.00164","0.00044","21.64046","-0.00019"
"5.10000","73.16772","219.70995","0.00168","0.00045","21.97099","-0.00019"
"5.20000","73.17110","223.09639","0.00171","0.00047","22.30964","-0.00019"
"5.30000","73.17419","225.91336","0.00174","0.00047","22.59134","-0.00021"
"5.40000","73.17769","229.45383","0.00178","0.00047","22.94538","-0.00021"
"5.50000","73.18107","232.63591","0.00181","0.00049","23.26359","-0.00024"
"5.60000","73.18436","235.73010","0.00184","0.00049","23.57301","-0.00024"
"5.70000","73.18765","238.74979","0.00188","0.00051","23.87498","-0.00026"
"5.80000","73.19091","241.68839","0.00191","0.00051","24.16884","-0.00025"
"5.90000","73.19432","244.98442","0.00194","0.00051","24.49844","-0.00026"
"6.00000","73.19761","247.90874","0.00198","0.00052","24.79087","-0.00026"
"6.10000","73.20108","251.18277","0.00201","0.00053","25.11828","-0.00029"
"6.20000","73.20444","254.11160","0.00204","0.00054","25.41116","-0.00031"
"6.30000","73.20768","256.90387","0.00208","0.00057","25.69039","-0.00032"
"6.40000","73.21101","259.94052","0.00211","0.00060","25.99405","-0.00032"
"6.50000","73.21434","262.70865","0.00214","0.00059","26.27086","-0.00032"
"6.60000","73.21767","265.59473","0.00218","0.00060","26.55947","-0.00033"
"6.70000","73.22098","268.57541","0.00221","0.00062","26.85754","-0.00034"
"6.80000","73.22444","271.52277","0.00224","0.00062","27.15228","-0.00034"
"6.90000","73.22778","274.48367","0.00228","0.00064","27.44837","-0.00034"
"7.00000","73.23099","277.01340","0.00231","0.00065","27.70134","-0.00037"
"7.10000","73.23431","279.81320","0.00234","0.00065","27.98132","-0.00037"
"7.20000","73.23763","282.72562","0.00238","0.00067","28.27256","-0.00039"
"7.30000","73.24094","285.42023","0.00241","0.00068","28.54202","-0.00039"
"7.40000","73.24435","288.31693","0.00244","0.00070","28.83169","-0.00039"
"7.50000","73.24775","291.13403","0.00248","0.00070","29.11340","-0.00040"
"7.60000","73.25106","293.85037","0.00251","0.00071","29.38504","-0.00040"
"7.70000","73.25426","296.33554","0.00254","0.00072","29.63355","-0.00038"
"7.80000","73.25768","299.28098","0.00258","0.00073","29.92810","-0.00038"
"7.90000","73.26101","301.91830","0.00261","0.00074","30.19183","-0.00039"
"8.00000","73.26427","304.48264","0.00264","0.00074","30.44826","-0.00041"
"8.10000","73.26772","307.31879","0.00268","0.00074","30.73188","-0.00042"
"8.20000","73.27108","310.15952","0.00271","0.00074","31.01595","-0.00042"
"8.30000","73.27440","312.84778","0.00274","0.00074","31.28478","-0.00039"
"8.40000","73.27760","315.22705","0.00278","0.00077","31.52271","-0.00040"
"8.50000","73.28104","318.22989","0.00281","0.00079","31.82299","-0.00040"
"8.60000","73.28447","321.07904","0.00284","0.00078","32.10790","-0.00039"
"8.70000","73.28763","323.40552","0.00288","0.00077","32.34055","-0.00039"
"8.80000","73.29103","326.15668","0.00291","0.00079","32.61567","-0.00040"
