Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-0.33935","0.00000","-0.00006","-0.03394","0.00000"
"0.10000","0.00070","1.34486","0.00001","-0.00006","0.13449","0.00001"
"0.20000","0.00264","6.85081","0.00003","-0.00006","0.68508","-0.00003"
"0.30000","0.00735","19.23041","0.00007","-0.00005","1.92304","0.00000"
"0.40000","0.01084","27.70508","0.00011","-0.00001","2.77051","-0.00001"
"0.50000","0.01421","35.72850","0.00014","0.00002","3.57285","-0.00004"
"0.60000","0.01748","43.19125","0.00017","0.00006","4.31913","-0.00004"
"0.70000","0.02092","50.87904","0.00021","0.00006","5.08790","-0.00009"
"0.80000","0.02440","58.39142","0.00024","0.00008","5.83914","-0.00011"
"0.90000","0.02746","64.70465","0.00027","0.00011","6.47047","-0.00015"
"1.00000","0.03084","71.80111","0.00031","0.00011","7.18011","-0.00014"
"1.10000","0.03414","78.20570","0.00034","0.00017","7.82057","-0.00015"
"1.20000","0.03756","85.01945","0.00038","0.00021","8.50194","-0.00021"
"1.30000","0.04085","91.28398","0.00041","0.00026","9.12840","-0.00015"
"1.40000","0.04419","97.44863","0.00044","0.00032","9.74486","-0.00014"
"1.50000","0.04762","103.79890","0.00048","0.00033","10.37989","-0.00017"
"1.60000","0.05080","109.15629","0.00051","0.00033","10.91563","-0.00010"
"1.70000","0.05417","114.69158","0.00054","0.00036","11.46916","-0.00006"
"1.80000","0.05753","120.09857","0.00058","0.00039","12.00986","-0.00003"
"1.90000","0.06090","125.29602","0.00061","0.00035","12.52960","0.00006"
"2.00000","0.06420","130.35229","0.00064","0.00039","13.03523","0.00009"
"2.10000","0.06758","135.31718","0.00068","0.00041","13.53172","0.00012"
"2.20000","0.07090","139.87375","0.00071","0.00043","13.98738","0.00015"
"2.30000","0.07413","143.96613","0.00074","0.00039","14.39661","0.00013"
"2.40000","0.07766","148.46445","0.00078","0.00038","14.84645","0.00013"
"2.50000","0.08091","149.67996","0.00081","0.00037","14.96800","0.00007"
"2.60000","0.08424","150.11519","0.00084","0.00042","15.01152","0.00004"
"2.70000","0.08753","155.00388","0.00088","0.00047","15.50039","0.00008"
"2.80000","0.09083","159.93265","0.00091","0.00045","15.99327","0.00007"
"2.90000","0.09416","164.92293","0.00094","0.00049","16.49229","0.00014"
"3.00000","0.09748","169.85025","0.00097","0.00056","16.98503","0.00016"
"3.10000","0.10095","174.94742","0.00101","0.00057","17.49474","0.00018"
"3.20000","0.10427","179.77626","0.00104","0.00059","17.97763","0.00024"
"3.30000","0.10748","184.10498","0.00107","0.00062","18.41050","0.00027"
"3.40000","0.11083","188.72873","0.00111","0.00062","18.87287","0.00032"
"3.50000","0.11417","193.21027","0.00114","0.00067","19.32103","0.00030"
"3.60000","0.11743","197.75075","0.00117","0.00071","19.77507","0.00029"
"3.70000","0.12085","202.42770","0.00121","0.00073","20.24277","0.00032"
"3.80000","0.12431","207.12593","0.00124","0.00075","20.71259","0.00033"
"3.90000","0.12765","211.47224","0.00128","0.00076","21.14722","0.00028"
"4.00000","0.13087","215.54623","0.00131","0.00078","21.55462","0.00032"
"4.10000","0.13417","219.99521","0.00134","0.00078","21.99952","0.00024"
"4.20000","0.13762","224.47629","0.00138","0.00077","22.44763","0.00021"
"4.30000","0.14080","228.46814","0.00141","0.00080","22.84681","0.00019"
"4.40000","0.14421","233.10602","0.00144","0.00080","23.31060","0.00017"
"4.50000","0.14760","237.25819","0.00148","0.00083","23.72582","0.00010"
"4.60000","0.15093","241.42459","0.00151","0.00091","24.14246","0.00005"
"4.70000","0.15407","245.09053","0.00154","0.00091","24.50905","0.00006"
"4.80000","0.15759","249.78206","0.00158","0.00090","24.97821","0.00005"
"4.90000","0.16088","253.76950","0.00161","0.00093","25.37695","-0.00002"
"5.00000","0.16413","257.54309","0.00164","0.00096","25.75431","0.00000"
"5.10000","0.16753","261.83777","0.00168","0.00098","26.18378","-0.00002"
"5.20000","0.17087","265.67181","0.00171","0.00099","26.56718","-0.00006"
"5.30000","0.17426","269.78433","0.00174","0.00099","26.97843","-0.00006"
"5.40000","0.17735","273.10760","0.00177","0.00103","27.31076","-0.00004"
"5.50000","0.18100","277.60736","0.00181","0.00100","27.76074","-0.00004"
