Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","1.80608","2234.80273","0.01806","223.48027","0.11236"
"0.10000","1.80622","2233.82300","0.01806","223.38229","0.11237"
"0.20000","1.80652","2233.95312","0.01807","223.39531","0.11236"
"0.30000","1.80730","2234.55908","0.01807","223.45590","0.11239"
"0.40000","1.81057","2242.43286","0.01811","224.24329","0.11237"
"0.50000","1.81227","2245.55737","0.01812","224.55574","0.11238"
"0.60000","1.81405","2249.00171","0.01814","224.90018","0.11238"
"0.70000","1.81584","2252.37793","0.01816","225.23779","0.11238"
"0.80000","1.81734","2254.89502","0.01817","225.48950","0.11237"
"0.90000","1.81925","2258.45825","0.01819","225.84583","0.11239"
"1.00000","1.82068","2260.46777","0.01821","226.04678","0.11238"
"1.10000","1.82254","2263.70850","0.01823","226.37085","0.11238"
"1.20000","1.82401","2265.78589","0.01824","226.57858","0.11239"
"1.30000","1.82564","2268.25781","0.01826","226.82578","0.11238"
"1.40000","1.82746","2271.31860","0.01827","227.13187","0.11238"
"1.50000","1.82908","2273.60181","0.01829","227.36018","0.11238"
"1.60000","1.83089","2276.56128","0.01831","227.65613","0.11238"
"1.70000","1.83235","2278.31885","0.01832","227.83188","0.11239"
"1.80000","1.83414","2280.97485","0.01834","228.09749","0.11239"
"1.90000","1.83572","2283.11621","0.01836","228.31161","0.11238"
"2.00000","1.83731","2285.18970","0.01837","228.51897","0.11239"
"2.10000","1.83916","2288.00537","0.01839","228.80054","0.11239"
"2.20000","1.84073","2290.03149","0.01841","229.00314","0.11238"
"2.30000","1.84249","2292.60034","0.01842","229.26004","0.11239"
"2.40000","1.84410","2294.80127","0.01844","229.48013","0.11239"
"2.50000","1.84574","2296.94556","0.01846","229.69455","0.11239"
"2.60000","1.84746","2299.23560","0.01847","229.92355","0.11239"
"2.70000","1.84892","2300.97461","0.01849","230.09746","0.11238"
"2.80000","1.85082","2303.67651","0.01851","230.36765","0.11239"
"2.90000","1.85249","2306.02222","0.01852","230.60222","0.11239"
"3.00000","1.85410","2308.01807","0.01854","230.80180","0.11238"
"3.10000","1.85586","2310.27808","0.01856","231.02780","0.11239"
"3.20000","1.85736","2312.05542","0.01857","231.20554","0.11239"
"3.30000","1.85914","2314.47534","0.01859","231.44754","0.11239"
"3.40000","1.86067","2316.30518","0.01861","231.63052","0.11239"
"3.50000","1.86246","2318.66382","0.01862","231.86638","0.11239"
"3.60000","1.86421","2320.97827","0.01864","232.09782","0.11239"
"3.70000","1.86565","2322.40405","0.01866","232.24040","0.11239"
"3.80000","1.86762","2325.37427","0.01868","232.53743","0.11239"
"3.90000","1.86905","2326.77686","0.01869","232.67769","0.11239"
"4.00000","1.87081","2329.20435","0.01871","232.92044","0.11239"
"4.10000","1.87228","2330.63184","0.01872","233.06319","0.11239"
"4.20000","1.87410","2333.05566","0.01874","233.30557","0.11239"
"4.30000","1.87590","2335.49097","0.01876","233.54910","0.11239"
"4.40000","1.87730","2336.68140","0.01877","233.66814","0.11240"
"4.50000","1.87927","2339.50317","0.01879","233.95032","0.11239"
"4.60000","1.88063","2340.63745","0.01881","234.06375","0.11239"
"4.70000","1.88254","2343.31665","0.01883","234.33167","0.11239"
"4.80000","1.88402","2344.74927","0.01884","234.47493","0.11239"
"4.90000","1.88571","2346.68994","0.01886","234.66899","0.11239"
"5.00000","1.88757","2349.14551","0.01888","234.91455","0.11240"
"5.10000","1.88895","2350.24121","0.01889","235.02412","0.11239"
"5.20000","1.89103","2353.32104","0.01891","235.33211","0.11240"
"5.30000","1.89229","2354.03638","0.01892","235.40364","0.11240"
"5.40000","1.89413","2356.46826","0.01894","235.64682","0.11240"
"5.50000","1.89567","2357.91089","0.01896","235.79109","0.11240"
"5.60000","1.89736","2359.84277","0.01897","235.98428","0.11240"
"5.70000","1.89928","2362.42163","0.01899","236.24216","0.11240"
"5.80000","1.90064","2363.22388","0.01901","236.32239","0.11240"
"5.90000","1.90260","2365.95337","0.01903","236.59534","0.11240"
"6.00000","1.90396","2366.94019","0.01904","236.69402","0.11240"
"6.10000","1.90575","2369.17847","0.01906","236.91785","0.11240"
"6.20000","1.90741","2370.86646","0.01907","237.08664","0.11240"
"6.30000","1.90899","2372.43604","0.01909","237.24361","0.11240"
"6.40000","1.91093","2374.94580","0.01911","237.49458","0.11240"
"6.50000","1.91235","2375.90430","0.01912","237.59042","0.11240"
"6.60000","1.91425","2378.39087","0.01914","237.83908","0.11240"
"6.70000","1.91566","2379.51929","0.01916","237.95193","0.11240"
"6.80000","1.91737","2381.37964","0.01917","238.13797","0.11240"
"6.90000","1.91913","2383.25513","0.01919","238.32552","0.11240"
"7.00000","1.92070","2384.65381","0.01921","238.46538","0.11241"
"7.10000","1.92260","2387.05664","0.01923","238.70566","0.11240"
"7.20000","1.92406","2388.14282","0.01924","238.81429","0.11240"
