Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-8.71419","0.00000","-0.87142","-0.00002"
"0.10000","0.00033","-8.30239","0.00000","-0.83024","-0.00002"
"0.20000","0.00091","-7.26130","0.00001","-0.72613","-0.00001"
"0.30000","0.00251","-4.67822","0.00003","-0.46782","-0.00002"
"0.40000","0.00463","-0.84125","0.00005","-0.08412","0.00001"
"0.50000","0.00664","2.70709","0.00007","0.27071","0.00002"
"0.60000","0.00849","5.98241","0.00008","0.59824","0.00003"
"0.70000","0.00998","8.60155","0.00010","0.86015","0.00004"
"0.80000","0.01183","11.95748","0.00012","1.19575","0.00005"
"0.90000","0.01332","14.54788","0.00013","1.45479","0.00006"
"1.00000","0.01508","17.60517","0.00015","1.76052","0.00008"
"1.10000","0.01669","20.49258","0.00017","2.04926","0.00010"
"1.20000","0.01827","23.28349","0.00018","2.32835","0.00011"
"1.30000","0.02012","26.60610","0.00020","2.66061","0.00012"
"1.40000","0.02173","29.36354","0.00022","2.93635","0.00014"
"1.50000","0.02348","32.48986","0.00023","3.24899","0.00015"
"1.60000","0.02507","35.36502","0.00025","3.53650","0.00017"
"1.70000","0.02669","38.14899","0.00027","3.81490","0.00018"
"1.80000","0.02843","41.25772","0.00028","4.12577","0.00020"
"1.90000","0.02993","43.74261","0.00030","4.37426","0.00021"
"2.00000","0.03177","47.08223","0.00032","4.70822","0.00022"
"2.10000","0.03338","50.02089","0.00033","5.00209","0.00024"
"2.20000","0.03506","52.85640","0.00035","5.28564","0.00026"
"2.30000","0.03684","55.93858","0.00037","5.59386","0.00027"
"2.40000","0.03830","58.45699","0.00038","5.84570","0.00029"
"2.50000","0.04012","61.65496","0.00040","6.16550","0.00030"
"2.60000","0.04155","64.07055","0.00042","6.40705","0.00032"
"2.70000","0.04345","67.54111","0.00043","6.75411","0.00033"
"2.80000","0.04517","70.43262","0.00045","7.04326","0.00035"
"2.90000","0.04671","73.06419","0.00047","7.30642","0.00036"
"3.00000","0.04854","76.10777","0.00049","7.61078","0.00038"
"3.10000","0.04995","78.53387","0.00050","7.85339","0.00039"
"3.20000","0.05185","81.91406","0.00052","8.19141","0.00041"
"3.30000","0.05334","84.29871","0.00053","8.42987","0.00042"
"3.40000","0.05507","87.37882","0.00055","8.73788","0.00044"
"3.50000","0.05689","90.51218","0.00057","9.05122","0.00046"
"3.60000","0.05826","92.76941","0.00058","9.27694","0.00047"
"3.70000","0.06031","96.39973","0.00060","9.63997","0.00049"
"3.80000","0.06167","98.43549","0.00062","9.84355","0.00050"
"3.90000","0.06347","101.43133","0.00063","10.14313","0.00052"
"4.00000","0.06497","103.98924","0.00065","10.39892","0.00053"
"4.10000","0.06671","106.90771","0.00067","10.69077","0.00055"
"4.20000","0.06860","110.16666","0.00069","11.01667","0.00057"
"4.30000","0.06993","112.29787","0.00070","11.22979","0.00058"
"4.40000","0.07190","115.69797","0.00072","11.56980","0.00060"
"4.50000","0.07327","118.01998","0.00073","11.80200","0.00061"
"4.60000","0.07514","121.09038","0.00075","12.10904","0.00063"
"4.70000","0.07666","123.70659","0.00077","12.37066","0.00064"
