Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-2.52834","0.00000","-0.25283","-0.00002"
"0.10000","0.00023","-2.28372","0.00000","-0.22837","-0.00001"
"0.20000","0.00072","-1.22979","0.00001","-0.12298","0.00000"
"0.30000","0.00193","1.09184","0.00002","0.10918","0.00001"
"0.40000","0.00479","7.16430","0.00005","0.71643","0.00005"
"0.50000","0.00662","10.77711","0.00007","1.07771","0.00007"
"0.60000","0.00822","14.12432","0.00008","1.41243","0.00010"
"0.70000","0.01013","17.95049","0.00010","1.79505","0.00013"
"0.80000","0.01160","20.78406","0.00012","2.07841","0.00014"
"0.90000","0.01335","24.37916","0.00013","2.43792","0.00017"
"1.00000","0.01501","27.55567","0.00015","2.75557","0.00019"
"1.10000","0.01654","30.59823","0.00017","3.05982","0.00021"
"1.20000","0.01835","34.15769","0.00018","3.41577","0.00023"
"1.30000","0.01993","37.13282","0.00020","3.71328","0.00025"
"1.40000","0.02171","40.71833","0.00022","4.07183","0.00027"
"1.50000","0.02338","43.83752","0.00023","4.38375","0.00029"
"1.60000","0.02496","46.66277","0.00025","4.66628","0.00031"
"1.70000","0.02672","50.21464","0.00027","5.02146","0.00033"
"1.80000","0.02816","52.81636","0.00028","5.28164","0.00035"
"1.90000","0.03006","56.50560","0.00030","5.65056","0.00038"
"2.00000","0.03168","59.59774","0.00032","5.95977","0.00039"
"2.10000","0.03335","62.63475","0.00033","6.26347","0.00041"
"2.20000","0.03513","65.97861","0.00035","6.59786","0.00043"
"2.30000","0.03654","68.39558","0.00037","6.83956","0.00045"
"2.40000","0.03848","72.04524","0.00038","7.20452","0.00047"
"2.50000","0.03991","74.58977","0.00040","7.45898","0.00048"
"2.60000","0.04164","77.82226","0.00042","7.78223","0.00050"
"2.70000","0.04336","80.83134","0.00043","8.08313","0.00052"
"2.80000","0.04495","83.63528","0.00045","8.36353","0.00054"
"2.90000","0.04688","87.16370","0.00047","8.71637","0.00057"
"3.00000","0.04817","89.15370","0.00048","8.91537","0.00058"
"3.10000","0.05007","92.42274","0.00050","9.24227","0.00060"
"3.20000","0.05155","94.77737","0.00052","9.47774","0.00061"
"3.30000","0.05331","97.72415","0.00053","9.77242","0.00063"
"3.40000","0.05507","100.40635","0.00055","10.04064","0.00064"
"3.50000","0.05651","102.12504","0.00057","10.21250","0.00065"
"3.60000","0.05853","105.07494","0.00059","10.50749","0.00067"
"3.70000","0.05986","106.46824","0.00060","10.64682","0.00068"
