Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-0.99075","0.00000","-0.09907","-0.00004"
"0.10000","0.00023","-0.59600","0.00000","-0.05960","-0.00006"
"0.20000","0.00064","-0.40498","0.00001","-0.04050","-0.00003"
"0.30000","0.00177","1.14169","0.00002","0.11417","-0.00006"
"0.40000","0.00486","5.44128","0.00005","0.54413","-0.00006"
"0.50000","0.00648","7.41324","0.00006","0.74132","-0.00003"
"0.60000","0.00846","10.33930","0.00008","1.03393","-0.00005"
"0.70000","0.00984","12.24130","0.00010","1.22413","-0.00003"
"0.80000","0.01163","14.56526","0.00012","1.45653","-0.00002"
"0.90000","0.01329","16.97492","0.00013","1.69749","-0.00003"
"1.00000","0.01495","19.23864","0.00015","1.92386","-0.00001"
"1.10000","0.01676","21.83601","0.00017","2.18360","-0.00001"
"1.20000","0.01814","23.59875","0.00018","2.35988","0.00000"
"1.30000","0.02008","26.35524","0.00020","2.63552","0.00001"
"1.40000","0.02155","28.47655","0.00022","2.84765","0.00001"
"1.50000","0.02324","30.75027","0.00023","3.07503","0.00003"
"1.60000","0.02494","33.13976","0.00025","3.31398","0.00004"
"1.70000","0.02654","35.38196","0.00027","3.53820","0.00004"
"1.80000","0.02844","37.97941","0.00028","3.79794","0.00005"
"1.90000","0.02985","39.90670","0.00030","3.99067","0.00006"
"2.00000","0.03165","42.39867","0.00032","4.23987","0.00007"
"2.10000","0.03322","44.59597","0.00033","4.45960","0.00008"
"2.20000","0.03487","46.69458","0.00035","4.66946","0.00009"
"2.30000","0.03670","49.00192","0.00037","4.90019","0.00009"
"2.40000","0.03822","50.52894","0.00038","5.05289","0.00009"
"2.50000","0.04003","49.57420","0.00040","4.95742","0.00008"
"2.60000","0.04152","50.91081","0.00042","5.09108","0.00008"
"2.70000","0.04328","53.37817","0.00043","5.33782","0.00008"
"2.80000","0.04493","55.63206","0.00045","5.56321","0.00009"
"2.90000","0.04651","57.73589","0.00047","5.77359","0.00010"
"3.00000","0.04833","60.22811","0.00048","6.02281","0.00011"
"3.10000","0.04988","62.24480","0.00050","6.22448","0.00011"
"3.20000","0.05171","64.54392","0.00052","6.45439","0.00012"
"3.30000","0.05326","66.28018","0.00053","6.62802","0.00013"
"3.40000","0.05489","68.08932","0.00055","6.80893","0.00014"
"3.50000","0.05658","70.05171","0.00057","7.00517","0.00015"
"3.60000","0.05813","72.00471","0.00058","7.20047","0.00015"
"3.70000","0.06008","74.52524","0.00060","7.45252","0.00016"
"3.80000","0.06158","76.37212","0.00062","7.63721","0.00017"
"3.90000","0.06333","78.78621","0.00063","7.87862","0.00018"
"4.00000","0.06500","80.79594","0.00065","8.07959","0.00019"
"4.10000","0.06653","82.97247","0.00067","8.29725","0.00019"
"4.20000","0.06837","85.36459","0.00068","8.53646","0.00020"
"4.30000","0.06983","87.20667","0.00070","8.72067","0.00021"
"4.40000","0.07169","89.65376","0.00072","8.96538","0.00022"
"4.50000","0.07330","91.89275","0.00073","9.18927","0.00023"
"4.60000","0.07499","94.04553","0.00075","9.40455","0.00024"
"4.70000","0.07674","96.44286","0.00077","9.64429","0.00025"
"4.80000","0.07815","98.19579","0.00078","9.81958","0.00026"
"4.90000","0.08004","100.94740","0.00080","10.09474","0.00027"
"5.00000","0.08153","102.69205","0.00082","10.26921","0.00028"
"5.10000","0.08329","105.27697","0.00083","10.52770","0.00029"
"5.20000","0.08498","107.44518","0.00085","10.74452","0.00030"
"5.30000","0.08654","109.40321","0.00087","10.94032","0.00031"
"5.40000","0.08843","112.00615","0.00088","11.20061","0.00032"
"5.50000","0.08981","113.77673","0.00090","11.37767","0.00033"
"5.60000","0.09164","116.25821","0.00092","11.62582","0.00033"
"5.70000","0.09312","118.16748","0.00093","11.81675","0.00034"
"5.80000","0.09497","120.79089","0.00095","12.07909","0.00035"
"5.90000","0.09679","123.12039","0.00097","12.31204","0.00036"
"6.00000","0.09818","124.78946","0.00098","12.47895","0.00036"
"6.10000","0.10008","127.60738","0.00100","12.76074","0.00037"
"6.20000","0.10144","129.26645","0.00101","12.92665","0.00038"
"6.30000","0.10330","131.71443","0.00103","13.17144","0.00039"
"6.40000","0.10488","133.80797","0.00105","13.38080","0.00039"
"6.50000","0.10656","136.04788","0.00107","13.60479","0.00039"
"6.60000","0.10844","138.69193","0.00108","13.86919","0.00040"
"6.70000","0.10977","140.30685","0.00110","14.03069","0.00040"
"6.80000","0.11181","143.23227","0.00112","14.32323","0.00040"
"6.90000","0.11314","144.64543","0.00113","14.46454","0.00040"
"7.00000","0.11493","147.13292","0.00115","14.71329","0.00040"
"7.10000","0.11656","149.38446","0.00117","14.93845","0.00040"
"7.20000","0.11824","151.57986","0.00118","15.15799","0.00039"
"7.30000","0.12017","154.19977","0.00120","15.41998","0.00039"
"7.40000","0.12147","155.85251","0.00121","15.58525","0.00039"
"7.50000","0.12345","158.49033","0.00123","15.84903","0.00039"
"7.60000","0.12480","160.09500","0.00125","16.00950","0.00039"
"7.70000","0.12657","162.52489","0.00127","16.25249","0.00039"
"7.80000","0.12831","164.73882","0.00128","16.47388","0.00039"
"7.90000","0.12989","166.88797","0.00130","16.68880","0.00039"
"8.00000","0.13180","169.55379","0.00132","16.95538","0.00039"
"8.10000","0.13317","171.14507","0.00133","17.11451","0.00039"
"8.20000","0.13512","173.81114","0.00135","17.38111","0.00039"
"8.30000","0.13658","175.68706","0.00137","17.56871","0.00039"
"8.40000","0.13815","177.67578","0.00138","17.76758","0.00039"
"8.50000","0.14002","180.10408","0.00140","18.01041","0.00039"
"8.60000","0.14161","182.13924","0.00142","18.21392","0.00039"
"8.70000","0.14340","184.55089","0.00143","18.45509","0.00039"
"8.80000","0.14485","186.32062","0.00145","18.63206","0.00039"
"8.90000","0.14665","188.72832","0.00147","18.87283","0.00039"
"9.00000","0.14829","190.86096","0.00148","19.08610","0.00039"
"9.10000","0.14985","192.90868","0.00150","19.29087","0.00039"
"9.20000","0.15164","195.17400","0.00152","19.51740","0.00039"
"9.30000","0.15320","197.27219","0.00153","19.72722","0.00039"
"9.40000","0.15501","199.56264","0.00155","19.95626","0.00039"
"9.50000","0.15662","201.65150","0.00157","20.16515","0.00038"
"9.60000","0.15830","203.72169","0.00158","20.37217","0.00039"
"9.70000","0.15999","205.98599","0.00160","20.59860","0.00038"
"9.80000","0.16146","207.79617","0.00161","20.77962","0.00038"
"9.90000","0.16329","210.35797","0.00163","21.03580","0.00038"
"10.00000","0.16489","212.31757","0.00165","21.23176","0.00038"
"10.10000","0.16666","214.67599","0.00167","21.46760","0.00038"
"10.20000","0.16837","216.79715","0.00168","21.67971","0.00037"
"10.30000","0.16985","218.75282","0.00170","21.87528","0.00037"
"10.40000","0.17169","221.13647","0.00172","22.11365","0.00037"
"10.50000","0.17313","222.84248","0.00173","22.28425","0.00036"
"10.60000","0.17494","225.23070","0.00175","22.52307","0.00036"
"10.70000","0.17667","227.55334","0.00177","22.75533","0.00035"
"10.80000","0.17823","229.48659","0.00178","22.94866","0.00035"
"10.90000","0.18013","232.02924","0.00180","23.20292","0.00034"
"11.00000","0.18150","233.55130","0.00181","23.35513","0.00033"
"11.10000","0.18338","236.10042","0.00183","23.61004","0.00033"
"11.20000","0.18479","237.72661","0.00185","23.77266","0.00031"
"11.30000","0.18664","240.07875","0.00187","24.00788","0.00031"
"11.40000","0.18840","242.37424","0.00188","24.23742","0.00030"
"11.50000","0.18987","244.09953","0.00190","24.40995","0.00029"
"11.60000","0.19183","246.86502","0.00192","24.68650","0.00029"
"11.70000","0.19312","248.25691","0.00193","24.82569","0.00028"
"11.80000","0.19508","250.75774","0.00195","25.07577","0.00027"
"11.90000","0.19653","252.51761","0.00197","25.25176","0.00027"
"12.00000","0.19821","254.64748","0.00198","25.46475","0.00026"
"12.10000","0.20007","257.16269","0.00200","25.71627","0.00026"
"12.20000","0.20151","258.93649","0.00202","25.89365","0.00025"
"12.30000","0.20354","261.63474","0.00204","26.16347","0.00025"
"12.40000","0.20477","262.96274","0.00205","26.29627","0.00025"
"12.50000","0.20664","265.32339","0.00207","26.53234","0.00025"
"12.60000","0.20821","267.24353","0.00208","26.72435","0.00024"
"12.70000","0.20990","269.49615","0.00210","26.94962","0.00024"
"12.80000","0.21175","271.77402","0.00212","27.17740","0.00024"
"12.90000","0.21312","273.36328","0.00213","27.33633","0.00024"
"13.00000","0.21513","276.10797","0.00215","27.61080","0.00024"
"13.10000","0.21647","277.58777","0.00216","27.75878","0.00024"
"13.20000","0.21831","279.92291","0.00218","27.99229","0.00024"
"13.30000","0.21995","281.91541","0.00220","28.19154","0.00025"
"13.40000","0.22152","283.86011","0.00222","28.38601","0.00025"
"13.50000","0.22341","286.23962","0.00223","28.62396","0.00025"
"13.60000","0.22482","287.92752","0.00225","28.79275","0.00025"
"13.70000","0.22676","290.40149","0.00227","29.04015","0.00026"
"13.80000","0.22816","292.08591","0.00228","29.20859","0.00027"
"13.90000","0.22991","294.17886","0.00230","29.41789","0.00027"
"14.00000","0.23166","296.39035","0.00232","29.63903","0.00027"
"14.10000","0.23320","298.25674","0.00233","29.82567","0.00027"
"14.20000","0.23508","300.62192","0.00235","30.06219","0.00028"
"14.30000","0.23651","302.27408","0.00237","30.22741","0.00028"
"14.40000","0.23833","304.51950","0.00238","30.45195","0.00028"
"14.50000","0.23989","306.31760","0.00240","30.63176","0.00028"
"14.60000","0.24154","308.32571","0.00242","30.83257","0.00029"
"14.70000","0.24329","310.49539","0.00243","31.04954","0.00029"
"14.80000","0.24489","312.47818","0.00245","31.24782","0.00029"
"14.90000","0.24673","314.70157","0.00247","31.47016","0.00030"
"15.00000","0.24829","316.53995","0.00248","31.65400","0.00030"
"15.10000","0.24995","318.62769","0.00250","31.86277","0.00030"
"15.20000","0.25163","320.71368","0.00252","32.07137","0.00030"
"15.30000","0.25315","322.42526","0.00253","32.24253","0.00030"
"15.40000","0.25507","324.89252","0.00255","32.48925","0.00031"
"15.50000","0.25662","326.64029","0.00257","32.66403","0.00031"
"15.60000","0.25831","328.59204","0.00258","32.85920","0.00032"
"15.70000","0.25998","330.62500","0.00260","33.06250","0.00032"
"15.80000","0.26159","332.49124","0.00262","33.24912","0.00032"
"15.90000","0.26336","334.72018","0.00263","33.47202","0.00032"
"16.00000","0.26483","336.28033","0.00265","33.62803","0.00032"
"16.10000","0.26666","338.54257","0.00267","33.85426","0.00033"
"16.20000","0.26827","340.42667","0.00268","34.04267","0.00033"
"16.30000","0.26993","342.39810","0.00270","34.23981","0.00033"
"16.40000","0.27168","344.53601","0.00272","34.45360","0.00033"
"16.50000","0.27317","346.17700","0.00273","34.61770","0.00033"
"16.60000","0.27506","348.38760","0.00275","34.83876","0.00034"
"16.70000","0.27648","350.08499","0.00276","35.00850","0.00034"
"16.80000","0.27836","352.22208","0.00278","35.22221","0.00034"
"16.90000","0.28001","354.31708","0.00280","35.43171","0.00035"
"17.00000","0.28155","356.02319","0.00282","35.60232","0.00035"
"17.10000","0.28338","358.24149","0.00283","35.82415","0.00035"
"17.20000","0.28481","359.77148","0.00285","35.97715","0.00036"
"17.30000","0.28671","362.23184","0.00287","36.22318","0.00036"
"17.40000","0.28815","363.71021","0.00288","36.37102","0.00036"
"17.50000","0.28995","365.88089","0.00290","36.58809","0.00037"
"17.60000","0.29170","367.96906","0.00292","36.79691","0.00037"
"17.70000","0.29318","369.64822","0.00293","36.96482","0.00037"
"17.80000","0.29509","371.85593","0.00295","37.18559","0.00037"
