Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-0.31406","0.00000","0.00000","-0.03141","0.00000"
"0.10000","0.00071","2.25828","0.00001","0.00000","0.22583","0.00002"
"0.20000","0.00319","12.68934","0.00003","0.00001","1.26893","0.00000"
"0.30000","0.00767","32.04918","0.00008","0.00002","3.20492","0.00005"
"0.40000","0.01108","46.48120","0.00011","0.00004","4.64812","0.00005"
"0.50000","0.01443","60.77282","0.00014","0.00009","6.07728","0.00005"
"0.60000","0.01779","74.93745","0.00018","0.00011","7.49374","0.00005"
"0.70000","0.02096","88.34885","0.00021","0.00013","8.83488","0.00005"
"0.80000","0.02461","103.93427","0.00025","0.00015","10.39343","0.00001"
"0.90000","0.02792","117.75370","0.00028","0.00015","11.77537","-0.00003"
"1.00000","0.03112","131.09663","0.00031","0.00017","13.10966","-0.00005"
"1.10000","0.03448","145.07219","0.00034","0.00019","14.50722","-0.00007"
"1.20000","0.03774","158.72630","0.00038","0.00021","15.87263","-0.00014"
"1.30000","0.04119","173.02301","0.00041","0.00025","17.30230","-0.00015"
"1.40000","0.04437","186.25844","0.00044","0.00028","18.62584","-0.00019"
"1.50000","0.04797","201.46790","0.00048","0.00032","20.14679","-0.00019"
"1.60000","0.05121","215.37451","0.00051","0.00034","21.53745","-0.00019"
"1.70000","0.05445","229.24228","0.00054","0.00036","22.92423","-0.00019"
"1.80000","0.05774","243.27049","0.00058","0.00038","24.32705","-0.00014"
"1.90000","0.06115","257.95996","0.00061","0.00042","25.79600","-0.00017"
"2.00000","0.06448","272.12210","0.00064","0.00044","27.21221","-0.00020"
"2.10000","0.06769","285.87936","0.00068","0.00046","28.58794","-0.00019"
"2.20000","0.07124","300.93521","0.00071","0.00048","30.09352","-0.00019"
"2.30000","0.07451","314.65402","0.00075","0.00050","31.46540","-0.00014"
"2.40000","0.07770","328.16977","0.00078","0.00052","32.81698","-0.00015"
"2.50000","0.08108","342.20761","0.00081","0.00053","34.22076","-0.00015"
"2.60000","0.08454","356.65887","0.00085","0.00055","35.66589","-0.00015"
"2.70000","0.08780","370.21780","0.00088","0.00055","37.02178","-0.00015"
"2.80000","0.09111","384.02173","0.00091","0.00057","38.40217","-0.00015"
"2.90000","0.09455","398.12225","0.00095","0.00058","39.81223","-0.00019"
"3.00000","0.09781","411.38562","0.00098","0.00059","41.13856","-0.00018"
"3.10000","0.10113","424.88956","0.00101","0.00061","42.48896","-0.00019"
"3.20000","0.10450","438.55832","0.00105","0.00062","43.85583","-0.00014"
"3.30000","0.10800","452.74426","0.00108","0.00063","45.27443","-0.00016"
"3.40000","0.11112","465.13705","0.00111","0.00065","46.51371","-0.00018"
"3.50000","0.11444","478.42767","0.00114","0.00066","47.84277","-0.00015"
"3.60000","0.11774","491.43503","0.00118","0.00067","49.14350","-0.00015"
"3.70000","0.12111","504.76370","0.00121","0.00069","50.47637","-0.00016"
"3.80000","0.12439","517.57556","0.00124","0.00071","51.75756","-0.00015"
