Time,Extension,Load,Tensile strain (Extension),Axial Video,Tensile stress,Transverse Video
(s),(mm),(N),(mm/mm),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-0.32546","0.00000","0.00000","-0.03255","-0.00001"
"0.10000","0.00060","1.88839","0.00001","-0.00001","0.18884","0.00000"
"0.20000","0.00167","7.46550","0.00002","-0.00001","0.74655","0.00000"
"0.30000","0.00655","33.92359","0.00007","0.00001","3.39236","0.00000"
"0.40000","0.01024","53.40147","0.00010","0.00002","5.34015","0.00001"
"0.50000","0.01377","71.81909","0.00014","0.00006","7.18191","-0.00002"
"0.60000","0.01695","88.19498","0.00017","0.00011","8.81950","-0.00005"
"0.70000","0.02048","106.34772","0.00020","0.00015","10.63477","-0.00009"
"0.80000","0.02376","122.77937","0.00024","0.00017","12.27794","-0.00011"
"0.90000","0.02703","139.22629","0.00027","0.00020","13.92263","-0.00014"
"1.00000","0.03039","155.87898","0.00030","0.00022","15.58790","-0.00010"
"1.10000","0.03362","171.82080","0.00034","0.00022","17.18208","-0.00009"
"1.20000","0.03695","188.30598","0.00037","0.00024","18.83060","-0.00009"
"1.30000","0.04031","204.59090","0.00040","0.00027","20.45909","-0.00010"
"1.40000","0.04383","221.72968","0.00044","0.00029","22.17297","-0.00018"
"1.50000","0.04708","236.99286","0.00047","0.00031","23.69929","-0.00013"
"1.60000","0.05029","252.07417","0.00050","0.00034","25.20742","-0.00009"
"1.70000","0.05372","268.06592","0.00054","0.00036","26.80659","-0.00009"
"1.80000","0.05707","283.41217","0.00057","0.00037","28.34122","-0.00009"
"1.90000","0.06035","298.29767","0.00060","0.00040","29.82977","-0.00009"
"2.00000","0.06369","313.36508","0.00064","0.00042","31.33651","-0.00009"
"2.10000","0.06725","329.43985","0.00067","0.00044","32.94398","-0.00009"
"2.20000","0.07037","342.96170","0.00070","0.00047","34.29617","-0.00005"
"2.30000","0.07369","357.67651","0.00074","0.00048","35.76765","-0.00005"
"2.40000","0.07705","372.17310","0.00077","0.00050","37.21731","-0.00009"
"2.50000","0.08041","386.68683","0.00080","0.00052","38.66868","-0.00005"
"2.60000","0.08362","400.27356","0.00084","0.00054","40.02736","-0.00007"
"2.70000","0.08697","414.54904","0.00087","0.00055","41.45490","-0.00004"
"2.80000","0.09046","429.29282","0.00090","0.00057","42.92928","-0.00009"
"2.90000","0.09366","442.45566","0.00094","0.00059","44.24557","-0.00009"
"3.00000","0.09691","455.70325","0.00097","0.00061","45.57032","-0.00009"
"3.10000","0.10044","470.48456","0.00100","0.00063","47.04845","-0.00009"
