Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","0.29028","0.00000","0.02903","-0.00002"
"0.10000","0.00057","3.18429","0.00001","0.31843","0.00001"
"0.20000","0.00239","14.38271","0.00002","1.43827","0.00000"
"0.30000","0.00741","41.92852","0.00007","4.19285","0.00001"
"0.40000","0.01066","58.11953","0.00011","5.81195","0.00001"
"0.50000","0.01410","74.54263","0.00014","7.45426","-0.00001"
"0.60000","0.01743","89.63995","0.00017","8.96399","0.00001"
"0.70000","0.02073","104.10529","0.00021","10.41053","-0.00001"
"0.80000","0.02406","118.28893","0.00024","11.82889","0.00000"
"0.90000","0.02753","132.55522","0.00028","13.25552","0.00000"
"1.00000","0.03090","146.00105","0.00031","14.60011","-0.00002"
"1.10000","0.03397","157.47093","0.00034","15.74709","0.00001"
"1.20000","0.03749","170.89836","0.00037","17.08984","0.00000"
"1.30000","0.04080","182.70984","0.00041","18.27098","0.00003"
"1.40000","0.04406","194.34111","0.00044","19.43411","0.00001"
"1.50000","0.04746","206.32019","0.00047","20.63202","-0.00002"
"1.60000","0.05086","217.63556","0.00051","21.76356","-0.00002"
"1.70000","0.05428","229.23186","0.00054","22.92319","0.00001"
"1.80000","0.05733","238.97951","0.00057","23.89795","-0.00003"
"1.90000","0.06086","250.80717","0.00061","25.08072","0.00004"
"2.00000","0.06416","261.16650","0.00064","26.11665","-0.00001"
"2.10000","0.06746","271.63937","0.00067","27.16394","-0.00001"
"2.20000","0.07071","281.77722","0.00071","28.17772","0.00001"
"2.30000","0.07415","292.69965","0.00074","29.26996","-0.00003"
"2.40000","0.07749","303.29703","0.00077","30.32970","0.00002"
"2.50000","0.08062","313.30606","0.00081","31.33061","-0.00002"
"2.60000","0.08414","324.95883","0.00084","32.49588","0.00003"
"2.70000","0.08754","335.95422","0.00088","33.59542","-0.00001"
"2.80000","0.09079","346.21854","0.00091","34.62185","-0.00001"
"2.90000","0.09405","357.01556","0.00094","35.70156","0.00001"
"3.00000","0.09746","368.06851","0.00097","36.80685","-0.00004"
"3.10000","0.10080","378.79321","0.00101","37.87932","0.00004"
"3.20000","0.10401","389.22971","0.00104","38.92297","-0.00002"
"3.30000","0.10761","401.26950","0.00108","40.12695","0.00001"
"3.40000","0.11094","412.25906","0.00111","41.22591","0.00001"
"3.50000","0.11416","422.83218","0.00114","42.28322","-0.00002"
"3.60000","0.11740","433.69247","0.00117","43.36925","0.00002"
"3.70000","0.12083","445.33551","0.00121","44.53355","-0.00002"
"3.80000","0.12406","456.07196","0.00124","45.60720","0.00002"
"3.90000","0.12738","467.62158","0.00127","46.76216","0.00000"
"4.00000","0.13081","479.23572","0.00131","47.92357","-0.00001"
"4.10000","0.13421","490.91751","0.00134","49.09175","0.00001"
"4.20000","0.13741","501.35059","0.00137","50.13506","-0.00002"
"4.30000","0.14072","512.56842","0.00141","51.25684","0.00002"
"4.40000","0.14409","523.83740","0.00144","52.38374","-0.00001"
"4.50000","0.14743","534.71771","0.00147","53.47177","0.00001"
"4.60000","0.15074","545.77789","0.00151","54.57779","0.00001"
"4.70000","0.15416","556.98560","0.00154","55.69856","-0.00002"
"4.80000","0.15749","567.85004","0.00157","56.78500","0.00002"
"4.90000","0.16074","578.27484","0.00161","57.82748","-0.00002"
"5.00000","0.16417","589.42767","0.00164","58.94277","0.00001"
"5.10000","0.16754","600.16852","0.00168","60.01685","0.00000"
"5.20000","0.17079","610.56104","0.00171","61.05610","-0.00001"
"5.30000","0.17416","621.28357","0.00174","62.12836","0.00001"
"5.40000","0.17743","631.29590","0.00177","63.12959","-0.00001"
"5.50000","0.18085","642.12042","0.00181","64.21204","0.00001"
"5.60000","0.18404","651.64606","0.00184","65.16460","0.00000"
"5.70000","0.18749","662.36597","0.00187","66.23660","0.00000"
"5.80000","0.19083","672.43927","0.00191","67.24393","0.00001"
"5.90000","0.19410","681.98712","0.00194","68.19872","-0.00001"
"6.00000","0.19751","692.13989","0.00198","69.21399","0.00001"
"6.10000","0.20073","700.72290","0.00201","70.07229","-0.00001"
"6.20000","0.20401","709.88989","0.00204","70.98899","0.00000"
"6.30000","0.20739","719.29248","0.00207","71.92924","0.00001"
"6.40000","0.21089","728.68884","0.00211","72.86888","-0.00001"
"6.50000","0.21417","737.11505","0.00214","73.71150","0.00001"
"6.60000","0.21738","745.04742","0.00217","74.50475","-0.00001"
"6.70000","0.22079","753.69098","0.00221","75.36909","0.00000"
"6.80000","0.22413","761.73151","0.00224","76.17315","0.00000"
"6.90000","0.22745","769.63300","0.00227","76.96330","-0.00001"
"7.00000","0.23074","777.45691","0.00231","77.74569","0.00001"
"7.10000","0.23431","786.38745","0.00234","78.63875","-0.00001"
"7.20000","0.23752","793.49048","0.00238","79.34904","0.00001"
"7.30000","0.24076","801.01788","0.00241","80.10179","0.00000"
"7.40000","0.24415","809.90540","0.00244","80.99054","-0.00001"
"7.50000","0.24739","819.14728","0.00247","81.91473","0.00001"
"7.60000","0.25071","829.50507","0.00251","82.95051","-0.00001"
"7.70000","0.25406","840.92450","0.00254","84.09245","0.00001"
"7.80000","0.25759","853.09595","0.00258","85.30959","0.00000"
"7.90000","0.26082","864.32025","0.00261","86.43202","0.00000"
"8.00000","0.26398","875.10620","0.00264","87.51062","0.00001"
"8.10000","0.26748","888.01300","0.00267","88.80130","-0.00001"
"8.20000","0.27083","899.71161","0.00271","89.97116","0.00000"
"8.30000","0.27406","910.73969","0.00274","91.07397","0.00000"
"8.40000","0.27742","922.63647","0.00277","92.26365","-0.00001"
"8.50000","0.28083","934.27728","0.00281","93.42773","0.00001"
"8.60000","0.28411","945.28625","0.00284","94.52863","-0.00001"
"8.70000","0.28738","956.63312","0.00287","95.66331","0.00002"
"8.80000","0.29093","969.38367","0.00291","96.93837","-0.00001"
"8.90000","0.29426","980.68744","0.00294","98.06874","0.00001"
"9.00000","0.29746","990.89276","0.00297","99.08928","0.00000"
"9.10000","0.30077","1002.29950","0.00301","100.22995","-0.00001"
"9.20000","0.30411","1013.21631","0.00304","101.32163","0.00000"
"9.30000","0.30739","1024.04370","0.00307","102.40437","-0.00001"
"9.40000","0.31066","1034.94287","0.00311","103.49429","0.00000"
"9.50000","0.31423","1047.38159","0.00314","104.73816","0.00000"
"9.60000","0.31762","1058.33533","0.00318","105.83353","0.00000"
"9.70000","0.32073","1067.68176","0.00321","106.76817","0.00001"
"9.80000","0.32407","1078.45569","0.00324","107.84557","0.00000"
"9.90000","0.32741","1088.92395","0.00327","108.89240","0.00001"
"10.00000","0.33073","1099.53027","0.00331","109.95303","0.00000"
"10.10000","0.33406","1110.02686","0.00334","111.00269","-0.00001"
"10.20000","0.33752","1121.06738","0.00338","112.10674","0.00000"
"10.30000","0.34092","1131.79114","0.00341","113.17912","0.00000"
"10.40000","0.34404","1140.80737","0.00344","114.08073","0.00000"
"10.50000","0.34750","1151.81775","0.00347","115.18178","0.00001"
"10.60000","0.35086","1162.00452","0.00351","116.20045","-0.00001"
"10.70000","0.35411","1171.42639","0.00354","117.14264","0.00000"
"10.80000","0.35742","1181.20459","0.00357","118.12046","0.00000"
"10.90000","0.36088","1191.60461","0.00361","119.16046","-0.00001"
"11.00000","0.36419","1200.90771","0.00364","120.09077","0.00001"
"11.10000","0.36736","1209.52478","0.00367","120.95248","0.00000"
"11.20000","0.37079","1219.54395","0.00371","121.95439","0.00001"
"11.30000","0.37416","1229.05371","0.00374","122.90537","-0.00001"
"11.40000","0.37751","1238.03381","0.00378","123.80338","0.00000"
"11.50000","0.38072","1246.57874","0.00381","124.65788","0.00000"
"11.60000","0.38410","1255.74146","0.00384","125.57414","-0.00001"
"11.70000","0.38746","1264.46228","0.00387","126.44623","0.00001"
"11.80000","0.39066","1272.44214","0.00391","127.24422","0.00000"
"11.90000","0.39420","1282.59497","0.00394","128.25949","0.00000"
"12.00000","0.39748","1290.64746","0.00397","129.06474","0.00000"
"12.10000","0.40078","1298.73413","0.00401","129.87341","-0.00001"
"12.20000","0.40412","1306.87036","0.00404","130.68704","0.00001"
"12.30000","0.40744","1314.61377","0.00407","131.46138","-0.00001"
"12.40000","0.41081","1322.56287","0.00411","132.25629","0.00001"
"12.50000","0.41410","1330.04016","0.00414","133.00401","0.00000"
"12.60000","0.41758","1338.57043","0.00418","133.85704","0.00000"
"12.70000","0.42092","1346.07056","0.00421","134.60706","0.00001"
"12.80000","0.42413","1352.62549","0.00424","135.26254","-0.00002"
"12.90000","0.42742","1359.73389","0.00427","135.97339","0.00002"
"13.00000","0.43074","1366.78723","0.00431","136.67873","-0.00003"
"13.10000","0.43402","1373.60254","0.00434","137.36026","0.00002"
"13.20000","0.43745","1381.18945","0.00437","138.11894","0.00001"
"13.30000","0.44088","1388.72681","0.00441","138.87268","-0.00001"
"13.40000","0.44412","1394.74390","0.00444","139.47440","0.00002"
"13.50000","0.44740","1401.17737","0.00447","140.11774","-0.00003"
"13.60000","0.45078","1408.12354","0.00451","140.81235","0.00000"
"13.70000","0.45414","1414.45740","0.00454","141.44574","0.00000"
"13.80000","0.45739","1420.35071","0.00457","142.03506","0.00000"
"13.90000","0.46079","1427.06506","0.00461","142.70651","0.00001"
"14.00000","0.46419","1433.55530","0.00464","143.35553","-0.00001"
"14.10000","0.46750","1439.68738","0.00468","143.96873","0.00000"
"14.20000","0.47068","1444.91333","0.00471","144.49133","-0.00001"
"14.30000","0.47417","1452.02441","0.00474","145.20244","0.00001"
"14.40000","0.47755","1458.07886","0.00478","145.80789","0.00000"
"14.50000","0.48074","1463.19031","0.00481","146.31903","0.00000"
"14.60000","0.48416","1469.56494","0.00484","146.95650","0.00001"
"14.70000","0.48743","1474.73364","0.00487","147.47336","-0.00001"
"14.80000","0.49077","1480.18835","0.00491","148.01883","0.00000"
"14.90000","0.49400","1485.10657","0.00494","148.51065","0.00000"
"15.00000","0.49761","1492.22253","0.00498","149.22226","0.00000"
"15.10000","0.50088","1496.75623","0.00501","149.67563","0.00001"
"15.20000","0.50405","1500.90637","0.00504","150.09064","-0.00001"
"15.30000","0.50745","1506.53784","0.00507","150.65378","0.00000"
"15.40000","0.51073","1510.90125","0.00511","151.09012","-0.00001"
"15.50000","0.51407","1515.66870","0.00514","151.56686","0.00001"
"15.60000","0.51729","1520.10181","0.00517","152.01018","0.00001"
"15.70000","0.52094","1526.87488","0.00521","152.68748","0.00000"
"15.80000","0.52423","1531.26477","0.00524","153.12648","0.00001"
"15.90000","0.52740","1534.98682","0.00527","153.49869","-0.00001"
"16.00000","0.53083","1540.22644","0.00531","154.02264","0.00000"
"16.10000","0.53410","1543.97119","0.00534","154.39713","0.00000"
"16.20000","0.53752","1548.69470","0.00538","154.86948","0.00000"
"16.30000","0.54073","1552.34082","0.00541","155.23409","0.00001"
"16.40000","0.54431","1557.98181","0.00544","155.79819","-0.00001"
"16.50000","0.54752","1561.27307","0.00548","156.12730","0.00000"
"16.60000","0.55070","1564.38013","0.00551","156.43802","-0.00001"
"16.70000","0.55410","1569.03381","0.00554","156.90338","0.00000"
"16.80000","0.55750","1573.07629","0.00558","157.30763","0.00000"
"16.90000","0.56077","1576.51233","0.00561","157.65123","0.00000"
"17.00000","0.56402","1580.20984","0.00564","158.02098","0.00001"
"17.10000","0.56752","1584.78076","0.00568","158.47807","-0.00001"
"17.20000","0.57079","1587.87207","0.00571","158.78720","0.00000"
"17.30000","0.57402","1591.03760","0.00574","159.10376","0.00000"
"17.40000","0.57742","1595.34888","0.00577","159.53488","0.00000"
"17.50000","0.58090","1599.53369","0.00581","159.95337","0.00000"
"17.60000","0.58414","1602.34631","0.00584","160.23463","-0.00001"
"17.70000","0.58742","1605.72058","0.00587","160.57205","0.00000"
"17.80000","0.59085","1609.53137","0.00591","160.95314","0.00000"
"17.90000","0.59413","1612.39807","0.00594","161.23981","0.00000"
"18.00000","0.59743","1615.39746","0.00597","161.53975","0.00000"
"18.10000","0.60086","1619.47668","0.00601","161.94766","0.00000"
"18.20000","0.60431","1623.65088","0.00604","162.36508","0.00001"
"18.30000","0.60739","1625.59521","0.00607","162.55952","0.00000"
"18.40000","0.61076","1629.44128","0.00611","162.94412","0.00000"
"18.50000","0.61404","1632.68713","0.00614","163.26871","0.00000"
"18.60000","0.61743","1636.64795","0.00617","163.66479","-0.00001"
"18.70000","0.62072","1639.79248","0.00621","163.97925","0.00001"
"18.80000","0.62414","1643.95215","0.00624","164.39522","0.00000"
"18.90000","0.62757","1647.94666","0.00628","164.79466","0.00000"
"19.00000","0.63075","1649.99255","0.00631","164.99925","0.00000"
"19.10000","0.63413","1653.61377","0.00634","165.36137","-0.00001"
"19.20000","0.63739","1656.01392","0.00637","165.60139","0.00000"
"19.30000","0.64077","1659.33228","0.00641","165.93323","0.00000"
