Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","14.88024","0.00000","1.48802","-0.00001"
"0.10000","0.00070","18.94873","0.00001","1.89487","0.00002"
"0.20000","0.00294","33.36113","0.00003","3.33611","-0.00001"
"0.30000","0.00769","63.65941","0.00008","6.36594","0.00000"
"0.40000","0.01089","83.33973","0.00011","8.33397","0.00002"
"0.50000","0.01435","104.41913","0.00014","10.44191","-0.00002"
"0.60000","0.01767","124.30554","0.00018","12.43055","0.00001"
"0.70000","0.02102","144.21405","0.00021","14.42140","0.00000"
"0.80000","0.02430","163.51471","0.00024","16.35147","0.00000"
"0.90000","0.02778","183.88615","0.00028","18.38861","0.00002"
"1.00000","0.03109","203.20197","0.00031","20.32020","-0.00002"
"1.10000","0.03430","221.33482","0.00034","22.13348","0.00002"
"1.20000","0.03782","241.70053","0.00038","24.17005","-0.00002"
"1.30000","0.04115","260.47906","0.00041","26.04791","0.00000"
"1.40000","0.04438","278.47839","0.00044","27.84784","0.00001"
"1.50000","0.04769","296.92917","0.00048","29.69292","-0.00002"
"1.60000","0.05104","315.35745","0.00051","31.53575","0.00002"
"1.70000","0.05435","333.53909","0.00054","33.35391","-0.00001"
"1.80000","0.05759","351.08685","0.00058","35.10868","0.00000"
"1.90000","0.06110","370.47815","0.00061","37.04781","0.00001"
"2.00000","0.06454","389.07385","0.00065","38.90739","-0.00001"
"2.10000","0.06767","405.48724","0.00068","40.54873","0.00000"
"2.20000","0.07096","423.01041","0.00071","42.30104","-0.00003"
"2.30000","0.07436","440.96042","0.00074","44.09604","0.00001"
"2.40000","0.07766","457.98123","0.00078","45.79812","-0.00002"
"2.50000","0.08096","475.52460","0.00081","47.55246","0.00000"
"2.60000","0.08445","493.87869","0.00084","49.38787","0.00003"
"2.70000","0.08788","511.72739","0.00088","51.17274","-0.00001"
"2.80000","0.09100","527.31628","0.00091","52.73163","0.00002"
"2.90000","0.09440","544.64081","0.00094","54.46408","-0.00001"
"3.00000","0.09775","561.44702","0.00098","56.14470","-0.00001"
"3.10000","0.10104","577.87048","0.00101","57.78705","0.00000"
"3.20000","0.10435","594.52283","0.00104","59.45228","-0.00001"
"3.30000","0.10779","612.20166","0.00108","61.22017","0.00013"
"3.40000","0.11116","628.82605","0.00111","62.88261","0.00005"
"3.50000","0.11428","643.61023","0.00114","64.36102","0.00002"
"3.60000","0.11769","660.81213","0.00118","66.08121","-0.00003"
"3.70000","0.12101","676.97479","0.00121","67.69748","-0.00005"
"3.80000","0.12439","693.43188","0.00124","69.34319","-0.00004"
"3.90000","0.12770","710.15607","0.00128","71.01561","0.00000"
"4.00000","0.13103","726.44293","0.00131","72.64429","0.00007"
"4.10000","0.13440","742.74561","0.00134","74.27456","-0.00003"
"4.20000","0.13764","758.33734","0.00138","75.83373","0.00001"
"4.30000","0.14110","775.38538","0.00141","77.53854","-0.00001"
"4.40000","0.14444","791.47723","0.00144","79.14772","-0.00005"
"4.50000","0.14773","807.32458","0.00148","80.73246","0.00008"
"4.60000","0.15105","823.51489","0.00151","82.35149","0.00003"
"4.70000","0.15441","839.28705","0.00154","83.92870","-0.00004"
"4.80000","0.15771","855.45099","0.00158","85.54510","0.00003"
"4.90000","0.16096","871.30853","0.00161","87.13085","-0.00003"
"5.00000","0.16448","889.43054","0.00164","88.94305","-0.00002"
"5.10000","0.16782","907.36359","0.00168","90.73636","0.00000"
"5.20000","0.17107","924.95978","0.00171","92.49598","0.00003"
"5.30000","0.17434","942.94788","0.00174","94.29478","0.00000"
"5.40000","0.17769","961.76068","0.00178","96.17607","-0.00001"
"5.50000","0.18096","979.95111","0.00181","97.99511","0.00001"
"5.60000","0.18436","999.17920","0.00184","99.91792","-0.00002"
"5.70000","0.18787","1019.25787","0.00188","101.92579","0.00000"
"5.80000","0.19110","1037.19641","0.00191","103.71964","0.00001"
"5.90000","0.19433","1055.19922","0.00194","105.51992","-0.00001"
"6.00000","0.19770","1074.27783","0.00198","107.42778","0.00000"
"6.10000","0.20102","1092.76672","0.00201","109.27667","0.00000"
"6.20000","0.20427","1110.98645","0.00204","111.09865","-0.00001"
"6.30000","0.20772","1130.74341","0.00208","113.07434","0.00000"
"6.40000","0.21115","1150.03870","0.00211","115.00387","0.00000"
"6.50000","0.21446","1168.54431","0.00214","116.85443","0.00000"
"6.60000","0.21767","1186.35059","0.00218","118.63506","0.00000"
"6.70000","0.22106","1205.52588","0.00221","120.55259","0.00000"
"6.80000","0.22448","1224.72815","0.00224","122.47282","0.00000"
"6.90000","0.22767","1242.16736","0.00228","124.21674","-0.00001"
"7.00000","0.23111","1261.64575","0.00231","126.16457","0.00001"
"7.10000","0.23442","1280.17004","0.00234","128.01700","0.00000"
"7.20000","0.23772","1298.92419","0.00238","129.89243","0.00000"
"7.30000","0.24091","1317.21472","0.00241","131.72147","0.00000"
"7.40000","0.24450","1338.77344","0.00244","133.87735","-0.00001"
"7.50000","0.24777","1358.08118","0.00248","135.80812","0.00001"
"7.60000","0.25096","1377.02698","0.00251","137.70270","0.00000"
"7.70000","0.25436","1397.75195","0.00254","139.77519","0.00000"
"7.80000","0.25769","1417.76672","0.00258","141.77667","0.00001"
"7.90000","0.26102","1437.81445","0.00261","143.78145","-0.00001"
"8.00000","0.26423","1457.13318","0.00264","145.71332","0.00001"
"8.10000","0.26786","1479.87280","0.00268","147.98727","-0.00001"
"8.20000","0.27118","1500.05872","0.00271","150.00587","0.00000"
"8.30000","0.27436","1518.88452","0.00274","151.88846","0.00001"
"8.40000","0.27774","1539.61792","0.00278","153.96179","-0.00001"
"8.50000","0.28102","1559.06775","0.00281","155.90677","0.00001"
"8.60000","0.28443","1580.12231","0.00284","158.01224","-0.00001"
"8.70000","0.28762","1599.19971","0.00288","159.91997","0.00000"
"8.80000","0.29122","1621.52161","0.00291","162.15216","0.00000"
"8.90000","0.29445","1640.96875","0.00294","164.09688","-0.00001"
"9.00000","0.29767","1660.41760","0.00298","166.04176","0.00001"
"9.10000","0.30101","1680.76648","0.00301","168.07664","-0.00001"
"9.20000","0.30439","1701.53589","0.00304","170.15359","0.00001"
"9.30000","0.30771","1721.47546","0.00308","172.14755","0.00000"
"9.40000","0.31095","1740.97546","0.00311","174.09755","-0.00001"
"9.50000","0.31447","1762.65759","0.00314","176.26576","0.00001"
"9.60000","0.31777","1782.43652","0.00318","178.24365","-0.00001"
"9.70000","0.32096","1801.33398","0.00321","180.13339","0.00001"
"9.80000","0.32435","1821.89758","0.00324","182.18976","-0.00001"
"9.90000","0.32780","1842.91577","0.00328","184.29158","0.00000"
"10.00000","0.33104","1862.20093","0.00331","186.22009","0.00000"
"10.10000","0.33436","1882.33521","0.00334","188.23352","-0.00001"
"10.20000","0.33779","1903.02747","0.00338","190.30275","0.00001"
"10.30000","0.34105","1922.35022","0.00341","192.23502","-0.00001"
"10.40000","0.34436","1942.04968","0.00344","194.20497","0.00000"
"10.50000","0.34771","1962.42969","0.00348","196.24297","0.00000"
"10.60000","0.35121","1983.67090","0.00351","198.36710","-0.00001"
"10.70000","0.35435","2001.87024","0.00354","200.18703","0.00000"
"10.80000","0.35770","2022.11829","0.00358","202.21182","-0.00001"
"10.90000","0.36103","2041.77466","0.00361","204.17746","0.00000"
"11.00000","0.36436","2061.37036","0.00364","206.13704","0.00000"
"11.10000","0.36766","2081.03271","0.00368","208.10327","-0.00001"
"11.20000","0.37107","2101.43311","0.00371","210.14331","0.00000"
"11.30000","0.37448","2121.84839","0.00374","212.18484","-0.00001"
"11.40000","0.37770","2140.63525","0.00378","214.06352","0.00000"
"11.50000","0.38106","2160.45215","0.00381","216.04521","0.00000"
"11.60000","0.38431","2179.50464","0.00384","217.95047","0.00000"
"11.70000","0.38767","2198.96558","0.00388","219.89656","0.00001"
"11.80000","0.39100","2218.59131","0.00391","221.85913","-0.00001"
"11.90000","0.39447","2239.33765","0.00394","223.93376","0.00000"
"12.00000","0.39785","2259.30493","0.00398","225.93050","-0.00001"
"12.10000","0.40099","2277.15552","0.00401","227.71555","0.00000"
"12.20000","0.40450","2298.06836","0.00404","229.80684","0.00000"
"12.30000","0.40769","2316.12427","0.00408","231.61243","0.00000"
"12.40000","0.41105","2335.72119","0.00411","233.57211","0.00000"
"12.50000","0.41436","2354.86475","0.00414","235.48648","-0.00001"
"12.60000","0.41780","2374.97119","0.00418","237.49712","0.00000"
"12.70000","0.42105","2393.47949","0.00421","239.34795","0.00000"
"12.80000","0.42429","2411.81934","0.00424","241.18193","-0.00001"
"12.90000","0.42776","2432.39551","0.00428","243.23955","0.00001"
"13.00000","0.43103","2450.76099","0.00431","245.07610","0.00000"
"13.10000","0.43432","2469.44263","0.00434","246.94426","0.00000"
"13.20000","0.43769","2488.93335","0.00438","248.89334","0.00000"
"13.30000","0.44111","2508.45020","0.00441","250.84502","-0.00001"
"13.40000","0.44433","2526.31299","0.00444","252.63130","0.00000"
"13.50000","0.44763","2544.79272","0.00448","254.47928","-0.00001"
"13.60000","0.45113","2564.89624","0.00451","256.48962","0.00001"
"13.70000","0.45449","2583.78101","0.00454","258.37811","0.00000"
"13.80000","0.45774","2601.65796","0.00458","260.16580","0.00000"
"13.90000","0.46103","2620.05322","0.00461","262.00531","0.00000"
"14.00000","0.46450","2639.86914","0.00465","263.98691","-0.00001"
"14.10000","0.46760","2656.17529","0.00468","265.61752","0.00000"
"14.20000","0.47102","2675.87793","0.00471","267.58780","-0.00001"
"14.30000","0.47445","2695.05566","0.00474","269.50555","0.00000"
"14.40000","0.47781","2713.76343","0.00478","271.37634","0.00000"
"14.50000","0.48097","2730.52734","0.00481","273.05273","-0.00001"
"14.60000","0.48439","2749.76880","0.00484","274.97687","0.00001"
"14.70000","0.48772","2767.80615","0.00488","276.78061","0.00000"
"14.80000","0.49095","2785.09082","0.00491","278.50909","0.00000"
"14.90000","0.49430","2803.41699","0.00494","280.34171","0.00001"
"15.00000","0.49784","2823.27393","0.00498","282.32739","-0.00001"
"15.10000","0.50118","2841.12476","0.00501","284.11249","0.00000"
"15.20000","0.50426","2856.88867","0.00504","285.68887","-0.00001"
"15.30000","0.50773","2875.95020","0.00508","287.59503","0.00000"
"15.40000","0.51101","2893.18555","0.00511","289.31854","0.00000"
"15.50000","0.51431","2910.84546","0.00514","291.08453","-0.00001"
