Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-6.48480","0.00000","-0.64848","0.00000"
"0.10000","0.00059","-3.98382","0.00001","-0.39838","0.00001"
"0.20000","0.00242","4.90300","0.00002","0.49030","0.00000"
"0.30000","0.00759","30.77857","0.00008","3.07786","0.00000"
"0.40000","0.01088","45.96312","0.00011","4.59631","-0.00001"
"0.50000","0.01420","61.00951","0.00014","6.10095","-0.00002"
"0.60000","0.01757","75.73434","0.00018","7.57343","0.00002"
"0.70000","0.02088","89.77663","0.00021","8.97766","0.00000"
"0.80000","0.02415","102.98584","0.00024","10.29858","0.00000"
"0.90000","0.02766","117.06596","0.00028","11.70660","0.00000"
"1.00000","0.03105","130.02902","0.00031","13.00290","-0.00002"
"1.10000","0.03420","141.45641","0.00034","14.14564","-0.00001"
"1.20000","0.03760","153.80875","0.00038","15.38087","-0.00001"
"1.30000","0.04093","165.25577","0.00041","16.52558","0.00001"
"1.40000","0.04428","176.59904","0.00044","17.65990","0.00000"
"1.50000","0.04754","187.51457","0.00048","18.75146","-0.00002"
"1.60000","0.05100","198.94203","0.00051","19.89420","0.00003"
"1.70000","0.05435","209.08304","0.00054","20.90830","0.00000"
"1.80000","0.05748","218.54329","0.00057","21.85433","0.00000"
"1.90000","0.06089","228.92256","0.00061","22.89226","0.00001"
"2.00000","0.06422","238.32512","0.00064","23.83251","-0.00005"
"2.10000","0.06762","248.29762","0.00068","24.82976","0.00002"
"2.20000","0.07091","257.23480","0.00071","25.72348","0.00000"
"2.30000","0.07420","265.75198","0.00074","26.57520","0.00000"
"2.40000","0.07760","274.89328","0.00078","27.48933","0.00002"
"2.50000","0.08082","282.66623","0.00081","28.26662","0.00003"
"2.60000","0.08432","291.70169","0.00084","29.17017","0.00007"
"2.70000","0.08762","299.29321","0.00088","29.92932","-0.00006"
"2.80000","0.09094","307.13068","0.00091","30.71307","0.00003"
"2.90000","0.09426","314.34247","0.00094","31.43425","-0.00005"
"3.00000","0.09760","321.58435","0.00098","32.15844","-0.00003"
"3.10000","0.10090","328.52838","0.00101","32.85284","0.00005"
"3.20000","0.10414","335.05215","0.00104","33.50521","-0.00002"
"3.30000","0.10771","342.73895","0.00108","34.27390","0.00001"
"3.40000","0.11102","349.10858","0.00111","34.91086","-0.00002"
"3.50000","0.11428","354.66287","0.00114","35.46629","-0.00001"
"3.60000","0.11755","360.34683","0.00118","36.03468","-0.00001"
"3.70000","0.12085","365.79889","0.00121","36.57989","-0.00001"
"3.80000","0.12418","371.46835","0.00124","37.14684","0.00003"
"3.90000","0.12756","377.24756","0.00128","37.72475","-0.00002"
"4.00000","0.13103","383.23499","0.00131","38.32350","0.00002"
"4.10000","0.13431","388.18661","0.00134","38.81866","0.00000"
"4.20000","0.13754","392.98795","0.00138","39.29879","-0.00002"
"4.30000","0.14088","398.05801","0.00141","39.80580","0.00001"
"4.40000","0.14421","402.87756","0.00144","40.28776","-0.00001"
"4.50000","0.14749","407.31485","0.00147","40.73148","0.00001"
"4.60000","0.15090","412.64868","0.00151","41.26487","0.00000"
"4.70000","0.15434","417.66580","0.00154","41.76658","0.00000"
"4.80000","0.15766","422.02374","0.00158","42.20237","0.00000"
"4.90000","0.16086","426.06372","0.00161","42.60637","-0.00002"
