Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","1686.52625","0.00000","168.65262","-0.04182"
"0.10000","0.00058","1690.47021","0.00001","169.04703","-0.04183"
"0.20000","0.00238","1705.27795","0.00002","170.52780","-0.04182"
"0.30000","0.00751","1749.40540","0.00008","174.94054","-0.04183"
"0.40000","0.01103","1778.46472","0.00011","177.84647","-0.04183"
"0.50000","0.01422","1804.65259","0.00014","180.46526","-0.04182"
"0.60000","0.01764","1832.58521","0.00018","183.25851","-0.04183"
"0.70000","0.02083","1858.13440","0.00021","185.81345","-0.04182"
"0.80000","0.02429","1885.74731","0.00024","188.57474","-0.04183"
"0.90000","0.02755","1911.18787","0.00028","191.11879","-0.04183"
"1.00000","0.03099","1938.20544","0.00031","193.82054","-0.04183"
"1.10000","0.03429","1963.55896","0.00034","196.35590","-0.04183"
"1.20000","0.03756","1988.49500","0.00038","198.84950","-0.04183"
"1.30000","0.04095","2014.50366","0.00041","201.45036","-0.04183"
"1.40000","0.04424","2039.01941","0.00044","203.90195","-0.04183"
"1.50000","0.04754","2063.85376","0.00048","206.38538","-0.04183"
"1.60000","0.05089","2088.64185","0.00051","208.86418","-0.04182"
"1.70000","0.05433","2113.72949","0.00054","211.37296","-0.04183"
"1.80000","0.05757","2137.25757","0.00058","213.72575","-0.04182"
"1.90000","0.06080","2160.48804","0.00061","216.04880","-0.04183"
"2.00000","0.06434","2185.83423","0.00064","218.58342","-0.04183"
"2.10000","0.06766","2209.23730","0.00068","220.92374","-0.04182"
"2.20000","0.07096","2232.08936","0.00071","223.20894","-0.04184"
"2.30000","0.07427","2254.84961","0.00074","225.48495","-0.04182"
"2.40000","0.07769","2278.20361","0.00078","227.82036","-0.04183"
"2.50000","0.08093","2299.61890","0.00081","229.96188","-0.04183"
"2.60000","0.08419","2321.27588","0.00084","232.12759","-0.04183"
"2.70000","0.08766","2344.39136","0.00088","234.43913","-0.04183"
"2.80000","0.09104","2366.38232","0.00091","236.63823","-0.04183"
"2.90000","0.09419","2386.27808","0.00094","238.62781","-0.04183"
"3.00000","0.09760","2408.37085","0.00098","240.83708","-0.04183"
"3.10000","0.10093","2429.02271","0.00101","242.90227","-0.04183"
