Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","1229.19189","0.00000","122.91919","-0.04179"
"0.10000","0.00054","1232.99023","0.00001","123.29903","-0.04184"
"0.20000","0.00234","1247.09167","0.00002","124.70917","-0.04178"
"0.30000","0.00750","1288.78186","0.00008","128.87819","-0.04185"
"0.40000","0.01080","1313.81128","0.00011","131.38113","-0.04181"
"0.50000","0.01421","1339.22351","0.00014","133.92235","-0.04183"
"0.60000","0.01743","1362.48584","0.00017","136.24858","-0.04183"
"0.70000","0.02084","1387.05713","0.00021","138.70572","-0.04180"
"0.80000","0.02412","1410.22583","0.00024","141.02258","-0.04183"
"0.90000","0.02760","1434.47949","0.00028","143.44795","-0.04180"
"1.00000","0.03091","1457.31042","0.00031","145.73105","-0.04183"
"1.10000","0.03416","1479.42603","0.00034","147.94260","-0.04181"
"1.20000","0.03750","1501.96802","0.00037","150.19681","-0.04183"
"1.30000","0.04076","1523.89685","0.00041","152.38968","-0.04182"
"1.40000","0.04413","1546.68909","0.00044","154.66891","-0.04181"
"1.50000","0.04743","1568.97217","0.00047","156.89722","-0.04181"
"1.60000","0.05093","1593.00281","0.00051","159.30028","-0.04181"
"1.70000","0.05419","1615.24170","0.00054","161.52417","-0.04182"
"1.80000","0.05740","1637.34839","0.00057","163.73483","-0.04181"
"1.90000","0.06089","1661.81458","0.00061","166.18146","-0.04183"
"2.00000","0.06422","1685.19507","0.00064","168.51950","-0.04181"
"2.10000","0.06750","1708.21960","0.00068","170.82196","-0.04182"
"2.20000","0.07084","1731.61536","0.00071","173.16153","-0.04182"
"2.30000","0.07432","1756.15698","0.00074","175.61569","-0.04181"
"2.40000","0.07750","1778.04077","0.00078","177.80408","-0.04182"
"2.50000","0.08073","1800.40918","0.00081","180.04092","-0.04181"
"2.60000","0.08419","1824.72314","0.00084","182.47232","-0.04183"
"2.70000","0.08756","1848.07605","0.00088","184.80760","-0.04182"
"2.80000","0.09075","1869.83215","0.00091","186.98322","-0.04181"
"2.90000","0.09416","1893.61328","0.00094","189.36133","-0.04182"
"3.00000","0.09752","1916.46484","0.00098","191.64648","-0.04182"
"3.10000","0.10079","1938.68909","0.00101","193.86891","-0.04182"
"3.20000","0.10407","1961.02136","0.00104","196.10214","-0.04182"
"3.30000","0.10761","1985.53723","0.00108","198.55373","-0.04182"
"3.40000","0.11093","2007.80298","0.00111","200.78030","-0.04181"
"3.50000","0.11411","2028.97766","0.00114","202.89777","-0.04182"
"3.60000","0.11748","2051.76465","0.00117","205.17647","-0.04181"
"3.70000","0.12082","2073.85229","0.00121","207.38522","-0.04182"
"3.80000","0.12411","2095.88843","0.00124","209.58884","-0.04182"
"3.90000","0.12749","2118.74365","0.00127","211.87436","-0.04182"
"4.00000","0.13097","2142.36938","0.00131","214.23694","-0.04182"
"4.10000","0.13436","2165.33667","0.00134","216.53366","-0.04181"
"4.20000","0.13741","2185.05933","0.00137","218.50594","-0.04182"
"4.30000","0.14085","2208.26367","0.00141","220.82637","-0.04181"
"4.40000","0.14413","2230.10034","0.00144","223.01004","-0.04182"
"4.50000","0.14746","2252.25610","0.00147","225.22562","-0.04182"
"4.60000","0.15077","2274.33154","0.00151","227.43315","-0.04182"
"4.70000","0.15425","2297.90308","0.00154","229.79031","-0.04182"
"4.80000","0.15767","2320.71167","0.00158","232.07117","-0.04182"
"4.90000","0.16073","2340.26416","0.00161","234.02641","-0.04181"
"5.00000","0.16414","2363.36792","0.00164","236.33679","-0.04182"
"5.10000","0.16755","2386.03442","0.00168","238.60344","-0.04182"
"5.20000","0.17078","2407.19165","0.00171","240.71916","-0.04182"
"5.30000","0.17409","2429.44849","0.00174","242.94485","-0.04182"
"5.40000","0.17756","2452.75732","0.00178","245.27573","-0.04181"
"5.50000","0.18089","2474.94434","0.00181","247.49443","-0.04182"
"5.60000","0.18406","2495.68433","0.00184","249.56844","-0.04182"
"5.70000","0.18761","2519.97656","0.00188","251.99765","-0.04181"
"5.80000","0.19098","2542.30835","0.00191","254.23083","-0.04182"
"5.90000","0.19423","2563.65723","0.00194","256.36572","-0.04181"
"6.00000","0.19748","2584.96021","0.00197","258.49603","-0.04182"
"6.10000","0.20088","2607.71460","0.00201","260.77145","-0.04182"
"6.20000","0.20415","2629.16968","0.00204","262.91696","-0.04181"
"6.30000","0.20744","2651.30151","0.00207","265.13016","-0.04182"
"6.40000","0.21091","2674.89209","0.00211","267.48920","-0.04181"
"6.50000","0.21426","2697.42188","0.00214","269.74219","-0.04182"
"6.60000","0.21751","2718.82666","0.00218","271.88266","-0.04182"
"6.70000","0.22081","2740.83325","0.00221","274.08331","-0.04181"
"6.80000","0.22408","2762.62061","0.00224","276.26205","-0.04182"
"6.90000","0.22744","2785.17407","0.00227","278.51740","-0.04182"
"7.00000","0.23076","2807.42358","0.00231","280.74237","-0.04181"
"7.10000","0.23429","2831.71777","0.00234","283.17178","-0.04182"
"7.20000","0.23760","2853.75024","0.00238","285.37503","-0.04181"
"7.30000","0.24081","2874.91138","0.00241","287.49115","-0.04182"
"7.40000","0.24423","2898.22217","0.00244","289.82220","-0.04182"
"7.50000","0.24752","2919.95898","0.00248","291.99591","-0.04181"
"7.60000","0.25083","2941.90332","0.00251","294.19034","-0.04182"
"7.70000","0.25418","2964.60620","0.00254","296.46063","-0.04181"
"7.80000","0.25759","2987.83350","0.00258","298.78336","-0.04182"
"7.90000","0.26094","3010.65942","0.00261","301.06595","-0.04182"
"8.00000","0.26409","3031.23315","0.00264","303.12332","-0.04181"
"8.10000","0.26750","3054.58496","0.00268","305.45850","-0.04182"
"8.20000","0.27084","3077.07544","0.00271","307.70755","-0.04181"
"8.30000","0.27415","3099.30078","0.00274","309.93008","-0.04182"
"8.40000","0.27752","3122.22144","0.00278","312.22214","-0.04182"
"8.50000","0.28089","3144.96484","0.00281","314.49649","-0.04182"
"8.60000","0.28416","3166.54150","0.00284","316.65414","-0.04182"
"8.70000","0.28742","3188.25244","0.00287","318.82526","-0.04181"
"8.80000","0.29088","3211.68457","0.00291","321.16846","-0.04181"
"8.90000","0.29423","3234.13232","0.00294","323.41324","-0.04182"
"9.00000","0.29747","3255.32812","0.00297","325.53281","-0.04182"
"9.10000","0.30086","3278.23120","0.00301","327.82312","-0.04182"
"9.20000","0.30421","3300.75806","0.00304","330.07581","-0.04182"
"9.30000","0.30749","3322.36279","0.00307","332.23627","-0.04182"
"9.40000","0.31077","3344.25049","0.00311","334.42505","-0.04181"
"9.50000","0.31430","3368.67651","0.00314","336.86765","-0.04181"
"9.60000","0.31762","3390.86768","0.00318","339.08676","-0.04181"
"9.70000","0.32081","3411.80859","0.00321","341.18085","-0.04182"
