Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","631.62756","0.00000","63.16276","-0.00023"
"0.10000","0.00056","635.92920","0.00001","63.59292","-0.00021"
"0.20000","0.00235","652.10175","0.00002","65.21017","-0.00023"
"0.30000","0.00730","697.90607","0.00007","69.79060","-0.00022"
"0.40000","0.01094","730.24921","0.00011","73.02492","-0.00023"
"0.50000","0.01421","757.36102","0.00014","75.73610","-0.00024"
"0.60000","0.01757","785.65314","0.00018","78.56532","-0.00021"
"0.70000","0.02083","814.61163","0.00021","81.46117","-0.00027"
"0.80000","0.02412","844.48883","0.00024","84.44888","-0.00023"
"0.90000","0.02749","872.78326","0.00027","87.27833","-0.00020"
"1.00000","0.03078","900.05237","0.00031","90.00523","-0.00018"
"1.10000","0.03431","928.67633","0.00034","92.86763","-0.00020"
"1.20000","0.03759","954.56372","0.00038","95.45638","-0.00026"
"1.30000","0.04081","978.75000","0.00041","97.87500","-0.00024"
"1.40000","0.04416","1001.81763","0.00044","100.18176","-0.00025"
"1.50000","0.04748","1027.03955","0.00047","102.70396","-0.00018"
"1.60000","0.05076","1056.46130","0.00051","105.64613","-0.00016"
"1.70000","0.05414","1080.63403","0.00054","108.06340","-0.00022"
"1.80000","0.05762","1106.55542","0.00058","110.65554","-0.00018"
"1.90000","0.06097","1131.05981","0.00061","113.10598","-0.00028"
"2.00000","0.06415","1154.21143","0.00064","115.42114","-0.00026"
"2.10000","0.06751","1178.72009","0.00068","117.87201","-0.00022"
"2.20000","0.07094","1203.83093","0.00071","120.38309","-0.00024"
"2.30000","0.07410","1226.26892","0.00074","122.62689","-0.00016"
"2.40000","0.07754","1250.83728","0.00078","125.08372","-0.00022"
"2.50000","0.08093","1274.63940","0.00081","127.46394","-0.00024"
"2.60000","0.08423","1297.88843","0.00084","129.78885","-0.00025"
"2.70000","0.08740","1319.84082","0.00087","131.98409","-0.00022"
"2.80000","0.09094","1344.95715","0.00091","134.49571","-0.00021"
"2.90000","0.09418","1366.98633","0.00094","136.69864","-0.00021"
"3.00000","0.09749","1389.55664","0.00097","138.95566","-0.00020"
"3.10000","0.10082","1412.31421","0.00101","141.23141","-0.00025"
"3.20000","0.10418","1435.25842","0.00104","143.52585","-0.00024"
"3.30000","0.10753","1458.28674","0.00108","145.82867","-0.00022"
"3.40000","0.11066","1478.84241","0.00111","147.88425","-0.00023"
"3.50000","0.11435","1504.79773","0.00114","150.47977","-0.00021"
"3.60000","0.11764","1526.54456","0.00118","152.65445","-0.00021"
"3.70000","0.12082","1547.06470","0.00121","154.70647","-0.00023"
"3.80000","0.12423","1569.92822","0.00124","156.99283","-0.00022"
"3.90000","0.12746","1590.96777","0.00127","159.09677","-0.00022"
"4.00000","0.13095","1614.21484","0.00131","161.42148","-0.00022"
"4.10000","0.13407","1634.17236","0.00134","163.41724","-0.00022"
"4.20000","0.13767","1658.56812","0.00138","165.85681","-0.00022"
"4.30000","0.14096","1679.79138","0.00141","167.97914","-0.00022"
"4.40000","0.14414","1699.97266","0.00144","169.99727","-0.00023"
"4.50000","0.14748","1721.87561","0.00147","172.18756","-0.00022"
"4.60000","0.15079","1743.12073","0.00151","174.31207","-0.00022"
"4.70000","0.15419","1765.27539","0.00154","176.52754","-0.00023"
"4.80000","0.15741","1785.95422","0.00157","178.59543","-0.00022"
"4.90000","0.16097","1809.74829","0.00161","180.97482","-0.00023"
"5.00000","0.16427","1830.57947","0.00164","183.05795","-0.00022"
"5.10000","0.16745","1850.38879","0.00167","185.03888","-0.00023"
"5.20000","0.17082","1872.24487","0.00171","187.22449","-0.00022"
"5.30000","0.17422","1894.03406","0.00174","189.40341","-0.00022"
"5.40000","0.17749","1914.61462","0.00177","191.46146","-0.00023"
"5.50000","0.18079","1935.98083","0.00181","193.59808","-0.00021"
"5.60000","0.18429","1958.68018","0.00184","195.86801","-0.00023"
"5.70000","0.18756","1979.20972","0.00188","197.92097","-0.00021"
"5.80000","0.19081","1999.55481","0.00191","199.95547","-0.00022"
"5.90000","0.19417","2021.27429","0.00194","202.12743","-0.00022"
"6.00000","0.19766","2044.11780","0.00198","204.41177","-0.00022"
"6.10000","0.20084","2063.74365","0.00201","206.37436","-0.00023"
"6.20000","0.20419","2085.20898","0.00204","208.52090","-0.00021"
"6.30000","0.20751","2106.03857","0.00208","210.60385","-0.00023"
"6.40000","0.21088","2127.35034","0.00211","212.73503","-0.00021"
"6.50000","0.21408","2146.79272","0.00214","214.67928","-0.00022"
"6.60000","0.21754","2168.92358","0.00218","216.89236","-0.00023"
"6.70000","0.22094","2190.80884","0.00221","219.08089","-0.00022"
"6.80000","0.22417","2210.59351","0.00224","221.05936","-0.00023"
"6.90000","0.22753","2232.07886","0.00228","223.20789","-0.00021"
"7.00000","0.23079","2252.33813","0.00231","225.23381","-0.00023"
"7.10000","0.23417","2274.34888","0.00234","227.43489","-0.00021"
"7.20000","0.23747","2296.36621","0.00237","229.63663","-0.00023"
"7.30000","0.24095","2320.85938","0.00241","232.08594","-0.00023"
"7.40000","0.24433","2344.30469","0.00244","234.43047","-0.00021"
"7.50000","0.24747","2365.72974","0.00247","236.57297","-0.00023"
"7.60000","0.25096","2390.57568","0.00251","239.05757","-0.00021"
"7.70000","0.25411","2411.97339","0.00254","241.19734","-0.00023"
"7.80000","0.25756","2436.68530","0.00258","243.66853","-0.00022"
"7.90000","0.26081","2459.33374","0.00261","245.93338","-0.00023"
"8.00000","0.26428","2484.11768","0.00264","248.41177","-0.00023"
"8.10000","0.26754","2506.79346","0.00268","250.67935","-0.00022"
"8.20000","0.27078","2529.49658","0.00271","252.94966","-0.00023"
"8.30000","0.27424","2554.60107","0.00274","255.46011","-0.00021"
"8.40000","0.27747","2577.00439","0.00277","257.70044","-0.00023"
"8.50000","0.28081","2600.70850","0.00281","260.07086","-0.00021"
"8.60000","0.28417","2624.76318","0.00284","262.47632","-0.00023"
"8.70000","0.28760","2649.09790","0.00288","264.90979","-0.00023"
"8.80000","0.29084","2671.48584","0.00291","267.14859","-0.00022"
"8.90000","0.29409","2694.07007","0.00294","269.40701","-0.00023"
"9.00000","0.29760","2719.29175","0.00298","271.92917","-0.00021"
"9.10000","0.30095","2742.68311","0.00301","274.26831","-0.00024"
"9.20000","0.30422","2765.29053","0.00304","276.52905","-0.00022"
"9.30000","0.30752","2788.20996","0.00308","278.82098","-0.00023"
"9.40000","0.31101","2813.11646","0.00311","281.31165","-0.00020"
"9.50000","0.31411","2834.07617","0.00314","283.40762","-0.00018"
"9.60000","0.31746","2857.31860","0.00317","285.73187","-0.00029"
"9.70000","0.32092","2881.92041","0.00321","288.19205","-0.00021"
"9.80000","0.32427","2905.49609","0.00324","290.54962","-0.00025"
"9.90000","0.32746","2927.35352","0.00327","292.73535","-0.00021"
"10.00000","0.33086","2951.49805","0.00331","295.14981","-0.00019"
"10.10000","0.33419","2974.12329","0.00334","297.41232","-0.00025"
"10.20000","0.33748","2996.89502","0.00337","299.68951","-0.00023"
"10.30000","0.34076","3019.45386","0.00341","301.94537","-0.00026"
"10.40000","0.34431","3044.93970","0.00344","304.49396","-0.00019"
"10.50000","0.34763","3067.75317","0.00348","306.77533","-0.00022"
