Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","984.05707","0.00000","98.40571","0.00015"
"0.10000","0.00054","987.98853","0.00001","98.79885","0.00014"
"0.20000","0.00196","999.78467","0.00002","99.97847","0.00014"
"0.30000","0.00744","1047.69910","0.00007","104.76991","0.00014"
"0.40000","0.01068","1075.05725","0.00011","107.50572","0.00012"
"0.50000","0.01409","1103.83716","0.00014","110.38371","0.00014"
"0.60000","0.01747","1132.15161","0.00017","113.21516","0.00014"
"0.70000","0.02070","1158.92822","0.00021","115.89282","0.00015"
"0.80000","0.02408","1186.90991","0.00024","118.69099","0.00014"
"0.90000","0.02752","1215.01843","0.00028","121.50185","0.00013"
"1.00000","0.03073","1241.12891","0.00031","124.11289","0.00014"
"1.10000","0.03399","1267.63757","0.00034","126.76376","0.00013"
"1.20000","0.03748","1296.18713","0.00037","129.61871","0.00015"
"1.30000","0.04085","1323.32019","0.00041","132.33202","0.00015"
"1.40000","0.04407","1348.80505","0.00044","134.88051","0.00014"
"1.50000","0.04739","1375.25110","0.00047","137.52512","0.00015"
"1.60000","0.05085","1402.41663","0.00051","140.24167","0.00013"
"1.70000","0.05408","1427.24609","0.00054","142.72461","0.00014"
"1.80000","0.05742","1453.13037","0.00057","145.31303","0.00014"
"1.90000","0.06093","1480.03308","0.00061","148.00331","0.00014"
"2.00000","0.06429","1505.48267","0.00064","150.54826","0.00015"
"2.10000","0.06739","1528.17566","0.00067","152.81757","0.00013"
"2.20000","0.07079","1553.49402","0.00071","155.34940","0.00015"
"2.30000","0.07410","1577.42969","0.00074","157.74297","0.00013"
"2.40000","0.07737","1601.01355","0.00077","160.10135","0.00014"
"2.50000","0.08067","1624.23462","0.00081","162.42346","0.00015"
"2.60000","0.08420","1649.22327","0.00084","164.92233","0.00014"
"2.70000","0.08763","1672.78479","0.00088","167.27847","0.00015"
"2.80000","0.09070","1692.53479","0.00091","169.25348","0.00013"
"2.90000","0.09404","1714.25989","0.00094","171.42599","0.00015"
"3.00000","0.09750","1736.32166","0.00098","173.63217","0.00014"
"3.10000","0.10074","1756.08264","0.00101","175.60826","0.00014"
"3.20000","0.10408","1776.33313","0.00104","177.63332","0.00015"
"3.30000","0.10751","1796.85266","0.00108","179.68527","0.00013"
"3.40000","0.11087","1816.09875","0.00111","181.60988","0.00015"
"3.50000","0.11408","1833.65906","0.00114","183.36591","0.00013"
"3.60000","0.11749","1852.57996","0.00117","185.25800","0.00014"
"3.70000","0.12088","1870.88696","0.00121","187.08870","0.00015"
"3.80000","0.12415","1887.63110","0.00124","188.76311","0.00013"
"3.90000","0.12743","1904.08582","0.00127","190.40858","0.00015"
"4.00000","0.13087","1922.06592","0.00131","192.20659","0.00013"
"4.10000","0.13408","1937.50671","0.00134","193.75067","0.00014"
"4.20000","0.13739","1953.73596","0.00137","195.37360","0.00014"
"4.30000","0.14080","1970.70935","0.00141","197.07094","0.00014"
"4.40000","0.14418","1987.16968","0.00144","198.71696","0.00015"
"4.50000","0.14748","2002.76709","0.00147","200.27670","0.00014"
"4.60000","0.15075","2018.08679","0.00151","201.80869","0.00015"
"4.70000","0.15407","2033.91833","0.00154","203.39183","0.00014"
"4.80000","0.15743","2049.93384","0.00157","204.99338","0.00014"
"4.90000","0.16070","2065.50781","0.00161","206.55078","0.00015"
"5.00000","0.16419","2083.27246","0.00164","208.32724","0.00013"
"5.10000","0.16752","2099.53662","0.00168","209.95366","0.00015"
"5.20000","0.17077","2115.51074","0.00171","211.55107","0.00014"
"5.30000","0.17413","2132.38452","0.00174","213.23845","0.00014"
"5.40000","0.17748","2149.46069","0.00177","214.94608","0.00015"
"5.50000","0.18074","2165.51367","0.00181","216.55136","0.00013"
"5.60000","0.18412","2183.10498","0.00184","218.31050","0.00015"
"5.70000","0.18758","2201.44482","0.00188","220.14449","0.00014"
"5.80000","0.19092","2218.80200","0.00191","221.88020","0.00014"
"5.90000","0.19411","2234.78052","0.00194","223.47806","0.00014"
"6.00000","0.19742","2251.91528","0.00197","225.19153","0.00013"
"6.10000","0.20079","2269.45850","0.00201","226.94585","0.00015"
"6.20000","0.20404","2286.11035","0.00204","228.61104","0.00013"
"6.30000","0.20745","2304.66479","0.00207","230.46648","0.00015"
"6.40000","0.21085","2322.86963","0.00211","232.28696","0.00014"
"6.50000","0.21412","2339.99390","0.00214","233.99939","0.00013"
"6.60000","0.21740","2357.24902","0.00217","235.72490","0.00015"
"6.70000","0.22078","2375.48560","0.00221","237.54855","0.00013"
"6.80000","0.22415","2393.58496","0.00224","239.35849","0.00015"
"6.90000","0.22736","2410.07373","0.00227","241.00737","0.00014"
"7.00000","0.23085","2429.15137","0.00231","242.91513","0.00014"
"7.10000","0.23422","2446.99561","0.00234","244.69955","0.00015"
"7.20000","0.23746","2463.72900","0.00237","246.37289","0.00013"
"7.30000","0.24074","2481.06738","0.00241","248.10674","0.00014"
"7.40000","0.24418","2500.03491","0.00244","250.00349","0.00014"
"7.50000","0.24761","2518.56494","0.00248","251.85649","0.00014"
"7.60000","0.25074","2534.69775","0.00251","253.46977","0.00014"
"7.70000","0.25415","2553.63550","0.00254","255.36356","0.00013"
"7.80000","0.25748","2571.68701","0.00257","257.16870","0.00014"
"7.90000","0.26071","2588.97363","0.00261","258.89737","0.00014"
"8.00000","0.26401","2607.03369","0.00264","260.70337","0.00014"
