Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","1180.34802","0.00000","118.03481","-0.00026"
"0.10000","0.00051","1183.88452","0.00001","118.38845","-0.00031"
"0.20000","0.00208","1196.71069","0.00002","119.67107","-0.00027"
"0.30000","0.00734","1241.73669","0.00007","124.17367","-0.00026"
"0.40000","0.01068","1268.89624","0.00011","126.88963","-0.00027"
"0.50000","0.01406","1295.55896","0.00014","129.55589","-0.00024"
"0.60000","0.01741","1321.47241","0.00017","132.14725","-0.00031"
"0.70000","0.02069","1346.44031","0.00021","134.64403","-0.00027"
"0.80000","0.02405","1372.01013","0.00024","137.20102","-0.00031"
"0.90000","0.02753","1398.15942","0.00028","139.81595","-0.00028"
"1.00000","0.03087","1422.80444","0.00031","142.28044","-0.00026"
"1.10000","0.03408","1445.96948","0.00034","144.59695","-0.00027"
"1.20000","0.03740","1469.77783","0.00037","146.97778","-0.00025"
"1.30000","0.04084","1494.24084","0.00041","149.42409","-0.00030"
"1.40000","0.04405","1516.41956","0.00044","151.64195","-0.00027"
"1.50000","0.04745","1540.10950","0.00047","154.01096","-0.00029"
"1.60000","0.05086","1563.63416","0.00051","156.36342","-0.00028"
"1.70000","0.05419","1586.26978","0.00054","158.62698","-0.00026"
"1.80000","0.05730","1606.73779","0.00057","160.67378","-0.00028"
"1.90000","0.06079","1630.22913","0.00061","163.02292","-0.00028"
"2.00000","0.06411","1652.23389","0.00064","165.22339","-0.00032"
"2.10000","0.06737","1673.65051","0.00067","167.36505","-0.00027"
"2.20000","0.07076","1695.90259","0.00071","169.59026","-0.00028"
"2.30000","0.07410","1717.58008","0.00074","171.75801","-0.00026"
"2.40000","0.07747","1739.41309","0.00077","173.94131","-0.00026"
"2.50000","0.08057","1758.54578","0.00081","175.85458","-0.00028"
"2.60000","0.08420","1782.44580","0.00084","178.24458","-0.00028"
"2.70000","0.08753","1803.48401","0.00088","180.34840","-0.00029"
"2.80000","0.09074","1823.13953","0.00091","182.31395","-0.00027"
"2.90000","0.09413","1844.56116","0.00094","184.45612","-0.00027"
"3.00000","0.09741","1864.33740","0.00097","186.43375","-0.00027"
