Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-683.94684","0.00000","-68.39468","-0.00026"
"0.10000","0.00069","-679.29260","0.00001","-67.92926","-0.00028"
"0.20000","0.00327","-657.76642","0.00003","-65.77664","-0.00028"
"0.30000","0.00775","-620.71802","0.00008","-62.07180","-0.00028"
"0.40000","0.01117","-593.16028","0.00011","-59.31603","-0.00027"
"0.50000","0.01457","-566.18652","0.00015","-56.61865","-0.00027"
"0.60000","0.01780","-540.62964","0.00018","-54.06297","-0.00027"
"0.70000","0.02115","-514.41382","0.00021","-51.44138","-0.00028"
"0.80000","0.02464","-487.08246","0.00025","-48.70824","-0.00027"
"0.90000","0.02801","-461.09125","0.00028","-46.10912","-0.00026"
"1.00000","0.03122","-436.44150","0.00031","-43.64415","-0.00027"
"1.10000","0.03450","-411.43265","0.00034","-41.14326","-0.00027"
"1.20000","0.03795","-385.18759","0.00038","-38.51876","-0.00030"
"1.30000","0.04113","-361.61191","0.00041","-36.16119","-0.00027"
"1.40000","0.04454","-335.94919","0.00045","-33.59492","-0.00028"
"1.50000","0.04799","-310.37567","0.00048","-31.03757","-0.00028"
"1.60000","0.05132","-285.93137","0.00051","-28.59314","-0.00025"
"1.70000","0.05446","-263.54202","0.00054","-26.35420","-0.00029"
"1.80000","0.05792","-238.64397","0.00058","-23.86440","-0.00027"
"1.90000","0.06116","-215.63689","0.00061","-21.56369","-0.00028"
"2.00000","0.06448","-192.26961","0.00064","-19.22696","-0.00027"
"2.10000","0.06784","-168.51677","0.00068","-16.85168","-0.00028"
"2.20000","0.07126","-144.35193","0.00071","-14.43519","-0.00027"
"2.30000","0.07463","-120.86419","0.00075","-12.08642","-0.00028"
"2.40000","0.07773","-99.49893","0.00078","-9.94989","-0.00028"
"2.50000","0.08127","-74.50803","0.00081","-7.45080","-0.00026"
"2.60000","0.08458","-51.87313","0.00085","-5.18731","-0.00028"
