Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","918.96906","0.00000","91.89690","0.00013"
"0.10000","0.00057","922.91602","0.00001","92.29160","0.00010"
"0.20000","0.00252","938.32098","0.00003","93.83210","0.00013"
"0.30000","0.00740","977.84216","0.00007","97.78422","0.00010"
"0.40000","0.01100","1006.29053","0.00011","100.62905","0.00011"
"0.50000","0.01441","1032.89062","0.00014","103.28906","0.00012"
"0.60000","0.01760","1057.48254","0.00018","105.74825","0.00009"
"0.70000","0.02098","1083.39661","0.00021","108.33966","0.00013"
"0.80000","0.02425","1108.06970","0.00024","110.80697","0.00009"
"0.90000","0.02761","1133.27771","0.00028","113.32777","0.00013"
"1.00000","0.03086","1157.42810","0.00031","115.74281","0.00010"
"1.10000","0.03446","1184.00061","0.00034","118.40006","0.00011"
"1.20000","0.03772","1207.44434","0.00038","120.74443","0.00012"
"1.30000","0.04088","1229.97766","0.00041","122.99776","0.00010"
"1.40000","0.04429","1254.27844","0.00044","125.42784","0.00012"
"1.50000","0.04755","1276.83020","0.00048","127.68302","0.00007"
"1.60000","0.05096","1300.68433","0.00051","130.06844","0.00010"
"1.70000","0.05419","1323.23218","0.00054","132.32321","0.00013"
"1.80000","0.05777","1347.97363","0.00058","134.79736","0.00010"
"1.90000","0.06107","1370.27869","0.00061","137.02786","0.00014"
"2.00000","0.06425","1391.59509","0.00064","139.15952","0.00009"
"2.10000","0.06770","1415.04785","0.00068","141.50479","0.00015"
"2.20000","0.07097","1436.26843","0.00071","143.62685","0.00007"
"2.30000","0.07431","1457.91736","0.00074","145.79173","0.00007"
"2.40000","0.07760","1478.99756","0.00078","147.89975","0.00011"
"2.50000","0.08100","1500.59009","0.00081","150.05901","0.00012"
"2.60000","0.08435","1521.68799","0.00084","152.16879","0.00015"
"2.70000","0.08753","1540.99255","0.00088","154.09926","0.00011"
"2.80000","0.09103","1562.51233","0.00091","156.25124","0.00012"
"2.90000","0.09443","1582.71338","0.00094","158.27133","0.00007"
"3.00000","0.09761","1600.81055","0.00098","160.08105","0.00010"
"3.10000","0.10089","1619.61987","0.00101","161.96199","0.00010"
"3.20000","0.10430","1639.04541","0.00104","163.90454","0.00012"
