Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","247.43324","0.00000","24.74332","-0.00004"
"0.10000","0.00052","250.70132","0.00001","25.07013","-0.00005"
"0.20000","0.00252","266.19550","0.00003","26.61955","-0.00004"
"0.30000","0.00739","304.57437","0.00007","30.45744","-0.00005"
"0.40000","0.01077","329.79752","0.00011","32.97975","-0.00004"
"0.50000","0.01413","354.63010","0.00014","35.46301","-0.00004"
"0.60000","0.01756","379.37039","0.00018","37.93704","-0.00006"
"0.70000","0.02087","403.08597","0.00021","40.30860","-0.00004"
"0.80000","0.02404","425.73199","0.00024","42.57320","-0.00005"
"0.90000","0.02757","450.91943","0.00028","45.09194","-0.00005"
"1.00000","0.03085","473.88086","0.00031","47.38808","-0.00004"
"1.10000","0.03413","496.58362","0.00034","49.65836","-0.00005"
"1.20000","0.03748","519.80121","0.00037","51.98012","-0.00004"
"1.30000","0.04084","542.99341","0.00041","54.29934","-0.00006"
"1.40000","0.04417","565.54407","0.00044","56.55441","-0.00005"
"1.50000","0.04747","588.11169","0.00047","58.81117","-0.00005"
"1.60000","0.05099","611.81848","0.00051","61.18185","-0.00005"
"1.70000","0.05435","634.36597","0.00054","63.43660","-0.00005"
"1.80000","0.05748","654.68835","0.00057","65.46883","-0.00005"
"1.90000","0.06086","676.96454","0.00061","67.69646","-0.00005"
"2.00000","0.06411","698.05603","0.00064","69.80560","-0.00005"
"2.10000","0.06749","720.15546","0.00067","72.01555","-0.00005"
"2.20000","0.07072","740.80029","0.00071","74.08003","-0.00005"
"2.30000","0.07425","763.53223","0.00074","76.35323","-0.00005"
"2.40000","0.07765","785.08844","0.00078","78.50884","-0.00005"
"2.50000","0.08075","804.03278","0.00081","80.40327","-0.00005"
"2.60000","0.08414","825.38080","0.00084","82.53808","-0.00005"
"2.70000","0.08751","846.06195","0.00088","84.60619","-0.00005"
"2.80000","0.09080","866.19641","0.00091","86.61964","-0.00005"
"2.90000","0.09412","886.36456","0.00094","88.63646","-0.00005"
"3.00000","0.09756","907.39532","0.00098","90.73953","-0.00005"
"3.10000","0.10097","927.92755","0.00101","92.79276","-0.00005"
"3.20000","0.10407","946.30737","0.00104","94.63074","-0.00005"
"3.30000","0.10757","967.69769","0.00108","96.76977","-0.00005"
"3.40000","0.11093","987.83051","0.00111","98.78305","-0.00005"
"3.50000","0.11422","1007.41254","0.00114","100.74126","-0.00005"
"3.60000","0.11746","1026.45496","0.00117","102.64549","-0.00005"
"3.70000","0.12088","1046.78601","0.00121","104.67860","-0.00005"
"3.80000","0.12423","1066.60608","0.00124","106.66061","-0.00005"
"3.90000","0.12738","1084.74036","0.00127","108.47404","-0.00005"
"4.00000","0.13088","1105.50500","0.00131","110.55050","-0.00005"
"4.10000","0.13424","1125.09778","0.00134","112.50978","-0.00005"
"4.20000","0.13754","1144.04272","0.00138","114.40427","-0.00005"
"4.30000","0.14085","1162.96277","0.00141","116.29628","-0.00005"
"4.40000","0.14410","1181.45398","0.00144","118.14540","-0.00005"
"4.50000","0.14749","1200.95850","0.00147","120.09585","-0.00005"
"4.60000","0.15075","1219.48901","0.00151","121.94890","-0.00005"
"4.70000","0.15425","1239.72083","0.00154","123.97208","-0.00005"
"4.80000","0.15758","1258.78491","0.00158","125.87849","-0.00005"
"4.90000","0.16083","1277.05237","0.00161","127.70524","-0.00005"
"5.00000","0.16419","1296.26074","0.00164","129.62607","-0.00005"
"5.10000","0.16751","1314.78247","0.00168","131.47824","-0.00004"
"5.20000","0.17084","1333.53687","0.00171","133.35368","-0.00005"
"5.30000","0.17415","1352.31543","0.00174","135.23154","-0.00005"
"5.40000","0.17761","1371.96851","0.00178","137.19685","-0.00005"
"5.50000","0.18094","1390.96509","0.00181","139.09651","-0.00005"
"5.60000","0.18416","1408.80896","0.00184","140.88089","-0.00004"
"5.70000","0.18749","1427.79858","0.00187","142.77986","-0.00005"
"5.80000","0.19081","1446.43713","0.00191","144.64371","-0.00004"
"5.90000","0.19414","1465.47388","0.00194","146.54739","-0.00005"
"6.00000","0.19752","1485.02063","0.00198","148.50206","-0.00005"
"6.10000","0.20093","1504.55090","0.00201","150.45509","-0.00005"
"6.20000","0.20420","1523.10132","0.00204","152.31013","-0.00005"
"6.30000","0.20741","1541.26465","0.00207","154.12646","-0.00004"
"6.40000","0.21085","1561.40381","0.00211","156.14038","-0.00005"
"6.50000","0.21418","1580.35547","0.00214","158.03555","-0.00005"
"6.60000","0.21744","1598.65710","0.00217","159.86571","-0.00005"
"6.70000","0.22087","1618.51965","0.00221","161.85196","-0.00005"
"6.80000","0.22425","1637.62329","0.00224","163.76233","-0.00005"
"6.90000","0.22757","1656.43469","0.00228","165.64346","-0.00005"
"7.00000","0.23077","1674.15222","0.00231","167.41522","-0.00005"
"7.10000","0.23428","1694.52429","0.00234","169.45242","-0.00005"
"7.20000","0.23766","1713.60425","0.00238","171.36043","-0.00005"
"7.30000","0.24080","1730.67603","0.00241","173.06760","-0.00005"
"7.40000","0.24420","1750.40295","0.00244","175.04030","-0.00005"
"7.50000","0.24749","1768.76575","0.00247","176.87657","-0.00005"
"7.60000","0.25081","1787.31702","0.00251","178.73170","-0.00005"
"7.70000","0.25405","1805.58789","0.00254","180.55879","-0.00006"
"7.80000","0.25762","1826.76685","0.00258","182.67668","-0.00005"
"7.90000","0.26096","1845.61707","0.00261","184.56171","-0.00004"
"8.00000","0.26411","1862.80383","0.00264","186.28038","-0.00005"
