Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-400.07666","0.00000","-40.00767","-0.00027"
"0.10000","0.00065","-395.79929","0.00001","-39.57993","-0.00032"
"0.20000","0.00290","-378.65204","0.00003","-37.86520","-0.00028"
"0.30000","0.00772","-342.53745","0.00008","-34.25375","-0.00031"
"0.40000","0.01115","-317.63690","0.00011","-31.76369","-0.00032"
"0.50000","0.01436","-294.64780","0.00014","-29.46478","-0.00029"
"0.60000","0.01787","-269.40295","0.00018","-26.94030","-0.00032"
"0.70000","0.02107","-246.69659","0.00021","-24.66966","-0.00029"
"0.80000","0.02446","-222.56505","0.00024","-22.25650","-0.00028"
"0.90000","0.02774","-199.37909","0.00028","-19.93791","-0.00032"
"1.00000","0.03114","-175.54883","0.00031","-17.55488","-0.00030"
"1.10000","0.03441","-152.78381","0.00034","-15.27838","-0.00032"
"1.20000","0.03769","-129.85287","0.00038","-12.98529","-0.00030"
"1.30000","0.04118","-105.43084","0.00041","-10.54308","-0.00030"
"1.40000","0.04445","-82.92190","0.00044","-8.29219","-0.00030"
"1.50000","0.04772","-60.32911","0.00048","-6.03291","-0.00029"
"1.60000","0.05106","-37.39706","0.00051","-3.73971","-0.00033"
"1.70000","0.05444","-14.29403","0.00054","-1.42940","-0.00029"
"1.80000","0.05767","7.79434","0.00058","0.77943","-0.00029"
"1.90000","0.06101","30.68105","0.00061","3.06810","-0.00031"
"2.00000","0.06454","54.76113","0.00065","5.47611","-0.00027"
"2.10000","0.06792","77.43597","0.00068","7.74360","-0.00034"
"2.20000","0.07112","98.63977","0.00071","9.86398","-0.00030"
"2.30000","0.07440","120.70687","0.00074","12.07069","-0.00031"
"2.40000","0.07785","143.75491","0.00078","14.37549","-0.00029"
"2.50000","0.08100","164.59651","0.00081","16.45965","-0.00029"
"2.60000","0.08441","187.57440","0.00084","18.75744","-0.00031"
"2.70000","0.08784","210.42114","0.00088","21.04211","-0.00029"
"2.80000","0.09119","232.66376","0.00091","23.26638","-0.00033"
"2.90000","0.09433","253.49625","0.00094","25.34962","-0.00029"
"3.00000","0.09779","276.77139","0.00098","27.67714","-0.00030"
"3.10000","0.10108","298.34445","0.00101","29.83445","-0.00031"
"3.20000","0.10436","319.96628","0.00104","31.99663","-0.00029"
"3.30000","0.10773","342.37427","0.00108","34.23743","-0.00033"
"3.40000","0.11115","365.04675","0.00111","36.50468","-0.00029"
"3.50000","0.11451","387.21912","0.00115","38.72191","-0.00030"
"3.60000","0.11761","407.02084","0.00118","40.70208","-0.00030"
"3.70000","0.12116","430.92938","0.00121","43.09294","-0.00029"
"3.80000","0.12444","452.25803","0.00124","45.22580","-0.00032"
"3.90000","0.12769","473.54172","0.00128","47.35417","-0.00030"
"4.00000","0.13112","496.26981","0.00131","49.62698","-0.00031"
"4.10000","0.13444","518.03455","0.00134","51.80346","-0.00030"
"4.20000","0.13792","541.31586","0.00138","54.13158","-0.00030"
"4.30000","0.14093","560.53235","0.00141","56.05323","-0.00031"
"4.40000","0.14453","584.77448","0.00145","58.47745","-0.00030"
"4.50000","0.14781","606.13538","0.00148","60.61354","-0.00031"
"4.60000","0.15110","627.52374","0.00151","62.75237","-0.00030"
