Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-589.64111","0.00000","-58.96411","-0.00035"
"0.10000","0.00073","-586.37561","0.00001","-58.63756","-0.00034"
"0.20000","0.00316","-573.52960","0.00003","-57.35296","-0.00034"
"0.30000","0.00775","-549.42664","0.00008","-54.94267","-0.00035"
"0.40000","0.01130","-531.81226","0.00011","-53.18122","-0.00034"
"0.50000","0.01440","-516.87860","0.00014","-51.68786","-0.00035"
"0.60000","0.01778","-500.46048","0.00018","-50.04605","-0.00033"
"0.70000","0.02110","-484.93982","0.00021","-48.49398","-0.00035"
"0.80000","0.02448","-469.23169","0.00024","-46.92317","-0.00034"
"0.90000","0.02780","-454.06390","0.00028","-45.40639","-0.00034"
"1.00000","0.03116","-439.42462","0.00031","-43.94246","-0.00036"
"1.10000","0.03457","-424.63168","0.00035","-42.46317","-0.00033"
"1.20000","0.03778","-411.24969","0.00038","-41.12497","-0.00035"
"1.30000","0.04113","-397.36835","0.00041","-39.73684","-0.00034"
"1.40000","0.04441","-384.49353","0.00044","-38.44935","-0.00033"
"1.50000","0.04784","-371.13300","0.00048","-37.11330","-0.00035"
"1.60000","0.05112","-359.00421","0.00051","-35.90042","-0.00033"
"1.70000","0.05454","-346.45212","0.00055","-34.64521","-0.00035"
"1.80000","0.05789","-334.69513","0.00058","-33.46951","-0.00034"
"1.90000","0.06104","-324.27121","0.00061","-32.42712","-0.00034"
"2.00000","0.06463","-311.80362","0.00065","-31.18036","-0.00035"
"2.10000","0.06785","-301.40955","0.00068","-30.14095","-0.00033"
"2.20000","0.07118","-290.80136","0.00071","-29.08014","-0.00035"
"2.30000","0.07447","-280.41321","0.00074","-28.04132","-0.00033"
"2.40000","0.07778","-270.40875","0.00078","-27.04087","-0.00035"
"2.50000","0.08111","-260.52029","0.00081","-26.05203","-0.00035"
"2.60000","0.08441","-250.73586","0.00084","-25.07359","-0.00033"
"2.70000","0.08788","-240.15472","0.00088","-24.01547","-0.00035"
"2.80000","0.09121","-230.74525","0.00091","-23.07453","-0.00033"
"2.90000","0.09443","-222.01643","0.00094","-22.20164","-0.00035"
"3.00000","0.09781","-212.67287","0.00098","-21.26729","-0.00034"
"3.10000","0.10113","-203.94653","0.00101","-20.39465","-0.00034"
"3.20000","0.10438","-195.46490","0.00104","-19.54649","-0.00035"
"3.30000","0.10777","-186.26854","0.00108","-18.62685","-0.00033"
"3.40000","0.11126","-177.01299","0.00111","-17.70130","-0.00035"
"3.50000","0.11462","-168.74809","0.00115","-16.87481","-0.00034"
"3.60000","0.11782","-160.99545","0.00118","-16.09954","-0.00034"
"3.70000","0.12110","-152.97130","0.00121","-15.29713","-0.00035"
"3.80000","0.12459","-144.02605","0.00125","-14.40261","-0.00033"
"3.90000","0.12772","-136.98891","0.00128","-13.69889","-0.00035"
"4.00000","0.13113","-128.24461","0.00131","-12.82446","-0.00034"
"4.10000","0.13454","-119.75626","0.00135","-11.97563","-0.00034"
"4.20000","0.13790","-111.53823","0.00138","-11.15382","-0.00035"
"4.30000","0.14100","-104.38701","0.00141","-10.43870","-0.00034"
"4.40000","0.14456","-95.01760","0.00145","-9.50176","-0.00035"
"4.50000","0.14780","-87.49241","0.00148","-8.74924","-0.00033"
"4.60000","0.15107","-79.69738","0.00151","-7.96974","-0.00035"
"4.70000","0.15446","-71.35294","0.00154","-7.13529","-0.00034"
"4.80000","0.15785","-63.16054","0.00158","-6.31605","-0.00033"
"4.90000","0.16122","-55.29138","0.00161","-5.52914","-0.00035"
"5.00000","0.16429","-48.65734","0.00164","-4.86573","-0.00033"
"5.10000","0.16793","-38.91653","0.00168","-3.89165","-0.00035"
"5.20000","0.17123","-31.25723","0.00171","-3.12572","-0.00034"
"5.30000","0.17445","-23.99490","0.00174","-2.39949","-0.00033"
"5.40000","0.17782","-15.84276","0.00178","-1.58428","-0.00035"
"5.50000","0.18108","-8.53433","0.00181","-0.85343","-0.00033"
"5.60000","0.18462","0.46124","0.00185","0.04612","-0.00035"
"5.70000","0.18768","6.86598","0.00188","0.68660","-0.00033"
"5.80000","0.19131","16.40113","0.00191","1.64011","-0.00034"
"5.90000","0.19461","24.00496","0.00195","2.40050","-0.00035"
"6.00000","0.19783","31.02546","0.00198","3.10255","-0.00033"
"6.10000","0.20111","38.66122","0.00201","3.86612","-0.00035"
"6.20000","0.20446","46.40372","0.00204","4.64037","-0.00033"
"6.30000","0.20781","54.37806","0.00208","5.43781","-0.00034"
"6.40000","0.21102","61.60125","0.00211","6.16013","-0.00034"
"6.50000","0.21460","71.02317","0.00215","7.10232","-0.00033"
"6.60000","0.21791","78.77211","0.00218","7.87721","-0.00034"
"6.70000","0.22109","85.98238","0.00221","8.59824","-0.00032"
"6.80000","0.22441","93.94089","0.00224","9.39409","-0.00034"
"6.90000","0.22784","102.48546","0.00228","10.24855","-0.00034"
"7.00000","0.23113","110.10927","0.00231","11.01093","-0.00033"
"7.10000","0.23443","117.76609","0.00234","11.77661","-0.00035"
"7.20000","0.23796","126.68206","0.00238","12.66821","-0.00033"
"7.30000","0.24123","134.00266","0.00241","13.40027","-0.00034"
"7.40000","0.24450","141.28403","0.00245","14.12840","-0.00034"
"7.50000","0.24779","148.79561","0.00248","14.87956","-0.00033"
"7.60000","0.25127","157.44923","0.00251","15.74492","-0.00035"
"7.70000","0.25443","164.19186","0.00254","16.41919","-0.00033"
"7.80000","0.25778","172.45016","0.00258","17.24502","-0.00035"
"7.90000","0.26114","180.28688","0.00261","18.02869","-0.00034"
"8.00000","0.26453","188.51953","0.00265","18.85195","-0.00034"
"8.10000","0.26772","195.71521","0.00268","19.57152","-0.00035"
"8.20000","0.27113","204.32411","0.00271","20.43241","-0.00033"
"8.30000","0.27454","212.94632","0.00275","21.29463","-0.00035"
"8.40000","0.27779","220.57870","0.00278","22.05787","-0.00034"
"8.50000","0.28114","228.75639","0.00281","22.87564","-0.00034"
"8.60000","0.28446","236.94852","0.00284","23.69485","-0.00035"
"8.70000","0.28780","245.07309","0.00288","24.50731","-0.00033"
"8.80000","0.29110","253.05806","0.00291","25.30581","-0.00036"
"8.90000","0.29460","262.27448","0.00295","26.22745","-0.00033"
"9.00000","0.29795","270.69119","0.00298","27.06912","-0.00035"
"9.10000","0.30112","277.94861","0.00301","27.79486","-0.00035"
"9.20000","0.30457","287.13156","0.00305","28.71316","-0.00034"
"9.30000","0.30774","294.39096","0.00308","29.43910","-0.00034"
"9.40000","0.31117","303.55484","0.00311","30.35548","-0.00037"
"9.50000","0.31437","311.21756","0.00314","31.12176","-0.00031"
"9.60000","0.31793","321.16937","0.00318","32.11694","-0.00036"
"9.70000","0.32120","329.19006","0.00321","32.91901","-0.00034"
"9.80000","0.32442","337.02756","0.00324","33.70275","-0.00035"
"9.90000","0.32787","346.27786","0.00328","34.62778","-0.00033"
"10.00000","0.33111","354.06110","0.00331","35.40611","-0.00033"
"10.10000","0.33444","362.72565","0.00334","36.27256","-0.00035"
"10.20000","0.33779","371.39462","0.00338","37.13946","-0.00032"
"10.30000","0.34124","380.52563","0.00341","38.05256","-0.00037"
"10.40000","0.34450","388.67026","0.00345","38.86703","-0.00033"
"10.50000","0.34774","396.81360","0.00348","39.68136","-0.00034"
"10.60000","0.35119","406.09235","0.00351","40.60923","-0.00035"
"10.70000","0.35456","414.80682","0.00355","41.48068","-0.00033"
"10.80000","0.35779","422.79712","0.00358","42.27971","-0.00036"
"10.90000","0.36112","431.60776","0.00361","43.16077","-0.00033"
"11.00000","0.36464","441.45407","0.00365","44.14541","-0.00035"
"11.10000","0.36780","448.77869","0.00368","44.87787","-0.00033"
"11.20000","0.37111","457.52310","0.00371","45.75231","-0.00034"
"11.30000","0.37454","466.81836","0.00375","46.68184","-0.00036"
"11.40000","0.37788","475.68396","0.00378","47.56840","-0.00033"
"11.50000","0.38111","483.68713","0.00381","48.36871","-0.00036"
"11.60000","0.38448","493.04721","0.00384","49.30472","-0.00032"
"11.70000","0.38782","502.06036","0.00388","50.20604","-0.00035"
"11.80000","0.39112","510.95319","0.00391","51.09532","-0.00034"
"11.90000","0.39437","519.51361","0.00394","51.95136","-0.00034"
"12.00000","0.39790","530.30908","0.00398","53.03091","-0.00035"
"12.10000","0.40123","539.63715","0.00401","53.96371","-0.00033"
"12.20000","0.40441","547.78375","0.00404","54.77837","-0.00035"
"12.30000","0.40781","557.72119","0.00408","55.77212","-0.00034"
"12.40000","0.41111","566.67834","0.00411","56.66784","-0.00034"
"12.50000","0.41445","575.83057","0.00414","57.58306","-0.00035"
"12.60000","0.41783","585.74530","0.00418","58.57453","-0.00033"
"12.70000","0.42127","595.69470","0.00421","59.56947","-0.00035"
"12.80000","0.42471","605.77856","0.00425","60.57786","-0.00033"
"12.90000","0.42775","613.05701","0.00428","61.30570","-0.00035"
"13.00000","0.43118","623.38416","0.00431","62.33842","-0.00034"
"13.10000","0.43444","632.39679","0.00434","63.23968","-0.00033"
"13.20000","0.43779","641.99738","0.00438","64.19974","-0.00035"
"13.30000","0.44107","651.45575","0.00441","65.14558","-0.00033"
"13.40000","0.44455","662.01135","0.00445","66.20113","-0.00035"
"13.50000","0.44790","671.61060","0.00448","67.16106","-0.00034"
"13.60000","0.45104","679.80121","0.00451","67.98012","-0.00034"
"13.70000","0.45447","690.28931","0.00454","69.02893","-0.00035"
"13.80000","0.45785","699.93921","0.00458","69.99392","-0.00033"
"13.90000","0.46115","709.23199","0.00461","70.92320","-0.00035"
"14.00000","0.46445","718.66461","0.00464","71.86646","-0.00034"
"14.10000","0.46783","728.44171","0.00468","72.84417","-0.00034"
"14.20000","0.47120","738.27881","0.00471","73.82788","-0.00035"
"14.30000","0.47437","746.68732","0.00474","74.66873","-0.00033"
"14.40000","0.47793","758.23444","0.00478","75.82344","-0.00035"
"14.50000","0.48131","768.30823","0.00481","76.83083","-0.00033"
"14.60000","0.48453","777.30945","0.00485","77.73094","-0.00034"
"14.70000","0.48779","786.66632","0.00488","78.66663","-0.00035"
"14.80000","0.49115","796.90283","0.00491","79.69028","-0.00034"
"14.90000","0.49444","806.43903","0.00494","80.64391","-0.00035"
"15.00000","0.49773","816.34961","0.00498","81.63496","-0.00033"
"15.10000","0.50122","827.55341","0.00501","82.75534","-0.00034"
"15.20000","0.50460","838.09326","0.00505","83.80933","-0.00034"
"15.30000","0.50783","847.35547","0.00508","84.73555","-0.00034"
"15.40000","0.51114","857.37946","0.00511","85.73795","-0.00035"
"15.50000","0.51441","866.98981","0.00514","86.69898","-0.00033"
"15.60000","0.51775","877.08319","0.00518","87.70832","-0.00035"
"15.70000","0.52108","887.44110","0.00521","88.74411","-0.00034"
"15.80000","0.52456","898.81970","0.00525","89.88197","-0.00034"
"15.90000","0.52790","909.00983","0.00528","90.90099","-0.00035"
"16.00000","0.53109","918.35773","0.00531","91.83577","-0.00033"
"16.10000","0.53452","929.16852","0.00535","92.91685","-0.00035"
"16.20000","0.53784","939.33502","0.00538","93.93350","-0.00034"
"16.30000","0.54115","949.34839","0.00541","94.93484","-0.00034"
"16.40000","0.54451","959.94165","0.00545","95.99416","-0.00034"
"16.50000","0.54788","970.38110","0.00548","97.03811","-0.00033"
"16.60000","0.55123","980.98657","0.00551","98.09866","-0.00035"
"16.70000","0.55442","990.22864","0.00554","99.02287","-0.00034"
"16.80000","0.55783","1001.35614","0.00558","100.13561","-0.00034"
"16.90000","0.56116","1011.72998","0.00561","101.17300","-0.00034"
"17.00000","0.56444","1021.87872","0.00564","102.18787","-0.00034"
"17.10000","0.56784","1032.95325","0.00568","103.29533","-0.00035"
"17.20000","0.57118","1043.52576","0.00571","104.35258","-0.00034"
"17.30000","0.57446","1053.79639","0.00574","105.37964","-0.00035"
"17.40000","0.57770","1064.15491","0.00578","106.41549","-0.00034"
"17.50000","0.58119","1075.96436","0.00581","107.59644","-0.00034"
"17.60000","0.58453","1086.56665","0.00585","108.65666","-0.00035"
"17.70000","0.58776","1096.50403","0.00588","109.65041","-0.00033"
"17.80000","0.59118","1107.65771","0.00591","110.76577","-0.00035"
"17.90000","0.59452","1118.32068","0.00595","111.83207","-0.00034"
"18.00000","0.59783","1128.70361","0.00598","112.87036","-0.00034"
"18.10000","0.60109","1138.91675","0.00601","113.89168","-0.00035"
"18.20000","0.60461","1151.09912","0.00605","115.10991","-0.00033"
"18.30000","0.60796","1161.62646","0.00608","116.16264","-0.00035"
"18.40000","0.61112","1171.31580","0.00611","117.13158","-0.00033"
"18.50000","0.61451","1182.88843","0.00615","118.28884","-0.00034"
"18.60000","0.61780","1193.44202","0.00618","119.34420","-0.00035"
"18.70000","0.62107","1203.92065","0.00621","120.39207","-0.00034"
"18.80000","0.62439","1215.07837","0.00624","121.50784","-0.00035"
"18.90000","0.62793","1227.95386","0.00628","122.79539","-0.00034"
"19.00000","0.63125","1239.13562","0.00631","123.91356","-0.00034"
"19.10000","0.63438","1249.08643","0.00634","124.90865","-0.00034"
"19.20000","0.63781","1261.31128","0.00638","126.13113","-0.00034"
"19.30000","0.64112","1272.49158","0.00641","127.24916","-0.00035"
"19.40000","0.64443","1283.69495","0.00644","128.36949","-0.00033"
"19.50000","0.64775","1295.24829","0.00648","129.52483","-0.00034"
"19.60000","0.65131","1308.20459","0.00651","130.82047","-0.00034"
"19.70000","0.65458","1318.98718","0.00655","131.89871","-0.00034"
"19.80000","0.65776","1329.46570","0.00658","132.94656","-0.00035"
"19.90000","0.66122","1342.04407","0.00661","134.20441","-0.00034"
"20.00000","0.66447","1352.86755","0.00664","135.28676","-0.00035"
"20.10000","0.66785","1364.79614","0.00668","136.47961","-0.00034"
"20.20000","0.67112","1376.10278","0.00671","137.61028","-0.00034"
"20.30000","0.67452","1388.08154","0.00675","138.80815","-0.00035"
"20.40000","0.67787","1399.85327","0.00678","139.98532","-0.00033"
"20.50000","0.68103","1410.19678","0.00681","141.01968","-0.00035"
"20.60000","0.68455","1423.42615","0.00685","142.34262","-0.00034"
"20.70000","0.68793","1435.25586","0.00688","143.52559","-0.00034"
"20.80000","0.69110","1445.77893","0.00691","144.57790","-0.00034"
"20.90000","0.69444","1457.78186","0.00694","145.77818","-0.00034"
"21.00000","0.69783","1470.17554","0.00698","147.01755","-0.00035"
"21.10000","0.70109","1481.64819","0.00701","148.16483","-0.00034"
"21.20000","0.70439","1493.63879","0.00704","149.36388","-0.00034"
"21.30000","0.70786","1506.98401","0.00708","150.69839","-0.00034"
"21.40000","0.71134","1520.37976","0.00711","152.03798","-0.00034"
"21.50000","0.71446","1530.92627","0.00714","153.09262","-0.00035"
"21.60000","0.71782","1543.68835","0.00718","154.36884","-0.00033"
"21.70000","0.72118","1556.12549","0.00721","155.61255","-0.00035"
"21.80000","0.72443","1567.65210","0.00724","156.76521","-0.00034"
"21.90000","0.72779","1580.53394","0.00728","158.05339","-0.00034"
"22.00000","0.73127","1594.17651","0.00731","159.41765","-0.00035"
"22.10000","0.73463","1606.84998","0.00735","160.68500","-0.00034"
"22.20000","0.73776","1617.65271","0.00738","161.76527","-0.00035"
"22.30000","0.74115","1630.83447","0.00741","163.08345","-0.00034"
"22.40000","0.74442","1643.17322","0.00744","164.31732","-0.00034"
"22.50000","0.74780","1656.40283","0.00748","165.64029","-0.00034"
"22.60000","0.75114","1669.26685","0.00751","166.92668","-0.00034"
"22.70000","0.75448","1682.16602","0.00754","168.21660","-0.00035"
"22.80000","0.75786","1695.58167","0.00758","169.55817","-0.00034"
"22.90000","0.76105","1707.27002","0.00761","170.72701","-0.00035"
"23.00000","0.76451","1721.41711","0.00765","172.14171","-0.00034"
"23.10000","0.76782","1734.29077","0.00768","173.42908","-0.00034"
"23.20000","0.77117","1747.45508","0.00771","174.74551","-0.00034"
"23.30000","0.77452","1760.76697","0.00775","176.07669","-0.00034"
"23.40000","0.77790","1773.94116","0.00778","177.39412","-0.00035"
"23.50000","0.78120","1786.52307","0.00781","178.65231","-0.00034"
"23.60000","0.78440","1798.68579","0.00784","179.86858","-0.00034"
"23.70000","0.78795","1813.58459","0.00788","181.35846","-0.00035"
"23.80000","0.79119","1826.13733","0.00791","182.61374","-0.00034"
"23.90000","0.79447","1839.06873","0.00794","183.90688","-0.00035"
"24.00000","0.79779","1852.52832","0.00798","185.25284","-0.00034"
"24.10000","0.80113","1866.02209","0.00801","186.60220","-0.00034"
"24.20000","0.80440","1878.95898","0.00804","187.89590","-0.00034"
"24.30000","0.80774","1892.97949","0.00808","189.29794","-0.00034"
"24.40000","0.81127","1908.18567","0.00811","190.81857","-0.00035"
"24.50000","0.81456","1921.32739","0.00815","192.13274","-0.00034"
"24.60000","0.81777","1933.77808","0.00818","193.37781","-0.00034"
"24.70000","0.82118","1948.24353","0.00821","194.82436","-0.00034"
"24.80000","0.82449","1961.40466","0.00824","196.14047","-0.00034"
"24.90000","0.82769","1974.04736","0.00828","197.40474","-0.00034"
"25.00000","0.83113","1989.29297","0.00831","198.92929","-0.00034"
"25.10000","0.83458","2005.00549","0.00835","200.50055","-0.00034"
"25.20000","0.83794","2020.22498","0.00838","202.02249","-0.00034"
"25.30000","0.84114","2034.27417","0.00841","203.42741","-0.00034"
"25.40000","0.84445","2049.49390","0.00844","204.94939","-0.00035"
"25.50000","0.84793","2066.36182","0.00848","206.63618","-0.00034"
"25.60000","0.85108","2080.22900","0.00851","208.02290","-0.00034"
"25.70000","0.85450","2096.96777","0.00854","209.69678","-0.00034"
"25.80000","0.85787","2112.92773","0.00858","211.29277","-0.00034"
"25.90000","0.86121","2128.63184","0.00861","212.86319","-0.00034"
"26.00000","0.86433","2142.63599","0.00864","214.26360","-0.00034"
"26.10000","0.86790","2160.70264","0.00868","216.07027","-0.00035"
"26.20000","0.87116","2175.90576","0.00871","217.59058","-0.00034"
"26.30000","0.87441","2191.23389","0.00874","219.12338","-0.00034"
"26.40000","0.87782","2208.09448","0.00878","220.80945","-0.00034"
"26.50000","0.88116","2224.06201","0.00881","222.40620","-0.00034"
"26.60000","0.88453","2240.30444","0.00885","224.03044","-0.00035"
"26.70000","0.88762","2254.07764","0.00888","225.40776","-0.00034"
"26.80000","0.89130","2273.52246","0.00891","227.35225","-0.00034"
"26.90000","0.89460","2289.20947","0.00895","228.92094","-0.00034"
"27.00000","0.89778","2304.04053","0.00898","230.40405","-0.00034"
"27.10000","0.90120","2320.93677","0.00901","232.09367","-0.00034"
"27.20000","0.90440","2335.85571","0.00904","233.58557","-0.00034"
"27.30000","0.90793","2353.86572","0.00908","235.38657","-0.00035"
"27.40000","0.91102","2368.17847","0.00911","236.81784","-0.00034"
"27.50000","0.91467","2387.59937","0.00915","238.75993","-0.00035"
"27.60000","0.91795","2403.47998","0.00918","240.34799","-0.00034"
"27.70000","0.92111","2418.32275","0.00921","241.83228","-0.00034"
"27.80000","0.92443","2434.88428","0.00924","243.48843","-0.00034"
"27.90000","0.92777","2451.30054","0.00928","245.13005","-0.00034"
"28.00000","0.93113","2467.95239","0.00931","246.79524","-0.00035"
"28.10000","0.93435","2484.03589","0.00934","248.40359","-0.00034"
"28.20000","0.93789","2502.79077","0.00938","250.27908","-0.00034"
"28.30000","0.94125","2519.68506","0.00941","251.96851","-0.00035"
"28.40000","0.94441","2534.74438","0.00944","253.47444","-0.00034"
"28.50000","0.94780","2552.22803","0.00948","255.22281","-0.00035"
"28.60000","0.95120","2569.34155","0.00951","256.93414","-0.00034"
"28.70000","0.95446","2585.13110","0.00954","258.51312","-0.00034"
"28.80000","0.95778","2601.92236","0.00958","260.19223","-0.00034"
"28.90000","0.96128","2620.09644","0.00961","262.00964","-0.00034"
"29.00000","0.96454","2636.03345","0.00965","263.60333","-0.00035"
"29.10000","0.96780","2652.37622","0.00968","265.23761","-0.00034"
"29.20000","0.97115","2669.70605","0.00971","266.97061","-0.00034"
"29.30000","0.97461","2687.70752","0.00975","268.77075","-0.00034"
"29.40000","0.97777","2703.07422","0.00978","270.30743","-0.00034"
"29.50000","0.98113","2720.65430","0.00981","272.06543","-0.00035"
"29.60000","0.98443","2737.24194","0.00984","273.72418","-0.00034"
"29.70000","0.98782","2755.03687","0.00988","275.50369","-0.00035"
"29.80000","0.99105","2771.19263","0.00991","277.11926","-0.00034"
"29.90000","0.99448","2789.39575","0.00994","278.93958","-0.00034"
"30.00000","0.99793","2807.76318","0.00998","280.77631","-0.00035"
"30.10000","1.00113","2823.51514","0.01001","282.35150","-0.00034"
"30.20000","1.00447","2840.81201","0.01004","284.08121","-0.00035"
"30.30000","1.00777","2857.42188","0.01008","285.74219","-0.00034"
"30.40000","1.01111","2874.84888","0.01011","287.48489","-0.00034"
"30.50000","1.01443","2891.77686","0.01014","289.17767","-0.00035"
"30.60000","1.01794","2910.74976","0.01018","291.07498","-0.00034"
"30.70000","1.02128","2927.83130","0.01021","292.78314","-0.00035"
"30.80000","1.02443","2943.36963","0.01024","294.33698","-0.00034"
"30.90000","1.02793","2962.26343","0.01028","296.22635","-0.00034"
"31.00000","1.03108","2977.43799","0.01031","297.74380","-0.00034"
"31.10000","1.03451","2995.71436","0.01035","299.57144","-0.00034"
"31.20000","1.03777","3012.14404","0.01038","301.21442","-0.00035"
"31.30000","1.04125","3030.70068","0.01041","303.07007","-0.00034"
"31.40000","1.04453","3047.26587","0.01045","304.72659","-0.00035"
"31.50000","1.04776","3063.38623","0.01048","306.33862","-0.00034"
"31.60000","1.05122","3081.62744","0.01051","308.16275","-0.00034"
"31.70000","1.05441","3097.28149","0.01054","309.72815","-0.00035"
