Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","801.63647","0.00000","80.16365","-0.00031"
"0.10000","0.00054","805.56915","0.00001","80.55692","-0.00029"
"0.20000","0.00244","821.88220","0.00002","82.18822","-0.00029"
"0.30000","0.00748","867.27338","0.00007","86.72734","-0.00030"
"0.40000","0.01081","895.90839","0.00011","89.59084","-0.00029"
"0.50000","0.01437","926.22882","0.00014","92.62288","-0.00032"
"0.60000","0.01772","954.48987","0.00018","95.44899","-0.00030"
"0.70000","0.02091","980.75232","0.00021","98.07523","-0.00030"
"0.80000","0.02438","1009.10010","0.00024","100.91001","-0.00032"
"0.90000","0.02767","1035.64087","0.00028","103.56409","-0.00031"
"1.00000","0.03097","1062.15015","0.00031","106.21501","-0.00023"
"1.10000","0.03427","1088.22742","0.00034","108.82274","-0.00028"
"1.20000","0.03762","1113.96948","0.00038","111.39695","-0.00032"
"1.30000","0.04097","1139.87634","0.00041","113.98763","-0.00035"
"1.40000","0.04416","1163.90918","0.00044","116.39091","-0.00032"
"1.50000","0.04767","1190.65552","0.00048","119.06555","-0.00027"
"1.60000","0.05109","1215.65222","0.00051","121.56522","-0.00029"
"1.70000","0.05424","1237.64502","0.00054","123.76450","-0.00027"
"1.80000","0.05756","1260.72083","0.00058","126.07208","-0.00033"
"1.90000","0.06093","1283.30310","0.00061","128.33031","-0.00032"
"2.00000","0.06427","1305.13135","0.00064","130.51314","-0.00030"
"2.10000","0.06752","1325.59570","0.00068","132.55957","-0.00030"
"2.20000","0.07104","1347.16980","0.00071","134.71698","-0.00025"
"2.30000","0.07444","1366.97998","0.00074","136.69800","-0.00033"
"2.40000","0.07759","1383.29810","0.00078","138.32980","-0.00026"
"2.50000","0.08099","1401.78125","0.00081","140.17813","-0.00035"
"2.60000","0.08430","1418.61523","0.00084","141.86153","-0.00028"
"2.70000","0.08762","1435.29639","0.00088","143.52963","-0.00033"
"2.80000","0.09091","1451.79822","0.00091","145.17982","-0.00031"
"2.90000","0.09438","1469.75598","0.00094","146.97560","-0.00026"
"3.00000","0.09775","1486.33533","0.00098","148.63353","-0.00032"
"3.10000","0.10088","1500.88306","0.00101","150.08830","-0.00030"
"3.20000","0.10432","1517.94250","0.00104","151.79425","-0.00030"
"3.30000","0.10759","1533.21680","0.00108","153.32169","-0.00033"
"3.40000","0.11098","1549.76343","0.00111","154.97635","-0.00027"
"3.50000","0.11430","1565.87915","0.00114","156.58792","-0.00033"
"3.60000","0.11759","1581.85608","0.00118","158.18561","-0.00028"
"3.70000","0.12100","1598.47717","0.00121","159.84772","-0.00032"
"3.80000","0.12419","1613.64282","0.00124","161.36429","-0.00031"
"3.90000","0.12764","1631.12671","0.00128","163.11267","-0.00029"
"4.00000","0.13095","1647.15833","0.00131","164.71584","-0.00032"
"4.10000","0.13429","1663.35815","0.00134","166.33582","-0.00027"
"4.20000","0.13764","1679.68518","0.00138","167.96852","-0.00032"
"4.30000","0.14098","1695.88330","0.00141","169.58833","-0.00030"
"4.40000","0.14432","1712.07361","0.00144","171.20737","-0.00030"
"4.50000","0.14756","1727.62573","0.00148","172.76257","-0.00031"
"4.60000","0.15110","1745.80212","0.00151","174.58022","-0.00029"
"4.70000","0.15436","1761.52734","0.00154","176.15274","-0.00032"
"4.80000","0.15764","1777.48450","0.00158","177.74844","-0.00029"
"4.90000","0.16093","1793.88708","0.00161","179.38870","-0.00031"
"5.00000","0.16424","1810.29309","0.00164","181.02931","-0.00030"
"5.10000","0.16757","1827.01575","0.00168","182.70157","-0.00029"
"5.20000","0.17091","1843.72363","0.00171","184.37236","-0.00031"
"5.30000","0.17439","1861.92859","0.00174","186.19286","-0.00022"
"5.40000","0.17767","1877.63403","0.00178","187.76340","-0.00034"
"5.50000","0.18088","1893.43677","0.00181","189.34367","-0.00032"
"5.60000","0.18430","1911.07019","0.00184","191.10703","-0.00028"
"5.70000","0.18760","1927.15564","0.00188","192.71556","-0.00035"
"5.80000","0.19088","1943.48120","0.00191","194.34811","-0.00027"
"5.90000","0.19428","1961.03918","0.00194","196.10391","-0.00030"
"6.00000","0.19773","1978.63354","0.00198","197.86336","-0.00028"
"6.10000","0.20107","1995.67969","0.00201","199.56796","-0.00028"
"6.20000","0.20425","2011.11548","0.00204","201.11154","-0.00034"
"6.30000","0.20761","2028.44568","0.00208","202.84457","-0.00029"
"6.40000","0.21105","2046.61621","0.00211","204.66162","-0.00034"
"6.50000","0.21420","2062.13916","0.00214","206.21391","-0.00027"
"6.60000","0.21764","2080.72168","0.00218","208.07217","-0.00032"
"6.70000","0.22101","2098.37524","0.00221","209.83752","-0.00028"
"6.80000","0.22435","2115.60693","0.00224","211.56070","-0.00031"
"6.90000","0.22747","2131.08887","0.00227","213.10889","-0.00032"
"7.00000","0.23107","2151.17798","0.00231","215.11780","-0.00027"
"7.10000","0.23433","2167.57764","0.00234","216.75777","-0.00034"
"7.20000","0.23758","2184.29150","0.00238","218.42915","-0.00031"
"7.30000","0.24096","2202.45312","0.00241","220.24532","-0.00028"
"7.40000","0.24429","2219.55566","0.00244","221.95557","-0.00031"
"7.50000","0.24763","2237.04346","0.00248","223.70435","-0.00028"
"7.60000","0.25075","2252.87939","0.00251","225.28793","-0.00033"
"7.70000","0.25445","2274.00708","0.00254","227.40071","-0.00029"
"7.80000","0.25773","2290.86743","0.00258","229.08675","-0.00031"
"7.90000","0.26093","2307.46094","0.00261","230.74609","-0.00030"
"8.00000","0.26431","2325.53247","0.00264","232.55325","-0.00028"
"8.10000","0.26754","2342.04468","0.00268","234.20447","-0.00033"
"8.20000","0.27106","2361.26855","0.00271","236.12686","-0.00028"
"8.30000","0.27418","2376.99951","0.00274","237.69995","-0.00032"
"8.40000","0.27780","2397.40137","0.00278","239.74014","-0.00030"
"8.50000","0.28109","2414.42749","0.00281","241.44275","-0.00030"
"8.60000","0.28425","2430.16284","0.00284","243.01628","-0.00032"
"8.70000","0.28762","2448.37842","0.00288","244.83784","-0.00029"
"8.80000","0.29094","2466.10449","0.00291","246.61044","-0.00032"
"8.90000","0.29427","2483.89478","0.00294","248.38948","-0.00029"
"9.00000","0.29751","2501.03174","0.00298","250.10318","-0.00031"
"9.10000","0.30104","2520.94287","0.00301","252.09428","-0.00031"
