Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-147.03484","0.00000","-14.70348","-0.00018"
"0.10000","0.00062","-144.91527","0.00001","-14.49153","-0.00021"
"0.20000","0.00158","-139.38297","0.00002","-13.93830","-0.00019"
"0.30000","0.00650","-110.30009","0.00007","-11.03001","-0.00020"
"0.40000","0.01023","-89.54228","0.00010","-8.95423","-0.00020"
"0.50000","0.01369","-70.84129","0.00014","-7.08413","-0.00018"
"0.60000","0.01700","-53.60063","0.00017","-5.36006","-0.00021"
"0.70000","0.02034","-36.63137","0.00020","-3.66314","-0.00018"
"0.80000","0.02385","-19.06283","0.00024","-1.90628","-0.00020"
"0.90000","0.02725","-2.53532","0.00027","-0.25353","-0.00020"
"1.00000","0.03032","11.57946","0.00030","1.15795","-0.00018"
"1.10000","0.03372","27.31302","0.00034","2.73130","-0.00021"
"1.20000","0.03696","41.63002","0.00037","4.16300","-0.00017"
"1.30000","0.04034","56.40771","0.00040","5.64077","-0.00020"
"1.40000","0.04360","70.05582","0.00044","7.00558","-0.00020"
"1.50000","0.04712","84.76555","0.00047","8.47655","-0.00018"
"1.60000","0.05049","98.23559","0.00050","9.82356","-0.00021"
"1.70000","0.05361","109.94811","0.00054","10.99481","-0.00018"
"1.80000","0.05698","122.68347","0.00057","12.26835","-0.00020"
"1.90000","0.06038","134.88362","0.00060","13.48836","-0.00019"
"2.00000","0.06370","146.61414","0.00064","14.66141","-0.00019"
"2.10000","0.06698","157.88843","0.00067","15.78884","-0.00021"
"2.20000","0.07041","169.41068","0.00070","16.94107","-0.00018"
"2.30000","0.07380","180.19089","0.00074","18.01909","-0.00020"
"2.40000","0.07690","189.51306","0.00077","18.95131","-0.00018"
"2.50000","0.08043","201.08705","0.00080","20.10871","-0.00019"
"2.60000","0.08382","211.32001","0.00084","21.13200","-0.00020"
"2.70000","0.08709","220.66661","0.00087","22.06666","-0.00018"
"2.80000","0.09035","230.06317","0.00090","23.00632","-0.00021"
"2.90000","0.09371","240.00105","0.00094","24.00010","-0.00018"
"3.00000","0.09703","249.29050","0.00097","24.92905","-0.00020"
"3.10000","0.10027","258.39618","0.00100","25.83962","-0.00020"
"3.20000","0.10375","268.61395","0.00104","26.86139","-0.00018"
"3.30000","0.10713","278.30911","0.00107","27.83091","-0.00021"
"3.40000","0.11040","287.14511","0.00110","28.71451","-0.00018"
"3.50000","0.11371","296.18036","0.00114","29.61804","-0.00020"
"3.60000","0.11698","304.93845","0.00117","30.49384","-0.00020"
"3.70000","0.12033","313.79395","0.00120","31.37939","-0.00018"
"3.80000","0.12362","322.52313","0.00124","32.25231","-0.00021"
"3.90000","0.12711","332.27161","0.00127","33.22716","-0.00018"
"4.00000","0.13045","341.14737","0.00130","34.11474","-0.00020"
"4.10000","0.13368","349.27899","0.00134","34.92790","-0.00019"
"4.20000","0.13703","357.94888","0.00137","35.79489","-0.00019"
"4.30000","0.14035","366.24820","0.00140","36.62482","-0.00056"
"4.40000","0.14371","374.81192","0.00144","37.48119","-0.00016"
"4.50000","0.14705","383.46042","0.00147","38.34604","0.00017"
"4.60000","0.15044","391.95963","0.00150","39.19596","-0.00059"
"4.70000","0.15379","400.23721","0.00154","40.02372","-0.00032"
"4.80000","0.15698","407.58209","0.00157","40.75821","-0.00032"
"4.90000","0.16039","416.28909","0.00160","41.62891","-0.00033"
"5.00000","0.16369","424.11093","0.00164","42.41109","-0.00011"
"5.10000","0.16700","431.88614","0.00167","43.18861","-0.00022"
"5.20000","0.17038","440.25580","0.00170","44.02558","-0.00026"
"5.30000","0.17374","447.90610","0.00174","44.79061","-0.00011"
"5.40000","0.17702","455.56378","0.00177","45.55638","-0.00028"
"5.50000","0.18025","462.86783","0.00180","46.28678","-0.00017"
"5.60000","0.18373","471.41196","0.00184","47.14120","-0.00018"
"5.70000","0.18707","479.16812","0.00187","47.91681","-0.00024"
"5.80000","0.19031","486.20255","0.00190","48.62025","-0.00012"
"5.90000","0.19374","494.24457","0.00194","49.42446","-0.00021"
"6.00000","0.19708","501.61984","0.00197","50.16198","-0.00021"
"6.10000","0.20040","508.90118","0.00200","50.89012","-0.00014"
"6.20000","0.20364","515.65936","0.00204","51.56594","-0.00024"
"6.30000","0.20713","523.84979","0.00207","52.38498","-0.00016"
"6.40000","0.21052","531.37347","0.00211","53.13735","-0.00020"
"6.50000","0.21367","537.63940","0.00214","53.76394","-0.00022"
"6.60000","0.21704","545.02332","0.00217","54.50233","-0.00015"
"6.70000","0.22033","551.70367","0.00220","55.17037","-0.00023"
"6.80000","0.22364","558.62622","0.00224","55.86262","-0.00018"
"6.90000","0.22693","565.53394","0.00227","56.55339","-0.00020"
"7.00000","0.23048","573.57562","0.00230","57.35756","-0.00022"
"7.10000","0.23380","580.26886","0.00234","58.02689","-0.00016"
"7.20000","0.23696","586.04156","0.00237","58.60416","-0.00022"
"7.30000","0.24036","593.43597","0.00240","59.34360","-0.00018"
"7.40000","0.24365","599.53790","0.00244","59.95379","-0.00019"
"7.50000","0.24698","606.17828","0.00247","60.61783","-0.00022"
"7.60000","0.25023","612.44128","0.00250","61.24413","-0.00017"
"7.70000","0.25387","620.56781","0.00254","62.05678","-0.00022"
"7.80000","0.25714","626.51245","0.00257","62.65125","-0.00018"
"7.90000","0.26033","632.31598","0.00260","63.23160","-0.00019"
"8.00000","0.26377","639.36182","0.00264","63.93618","-0.00021"
"8.10000","0.26699","644.95282","0.00267","64.49529","-0.00017"
"8.20000","0.27041","651.62317","0.00270","65.16232","-0.00021"
"8.30000","0.27365","657.72040","0.00274","65.77204","-0.00018"
"8.40000","0.27710","664.42230","0.00277","66.44223","-0.00019"
"8.50000","0.28044","670.72015","0.00280","67.07201","-0.00020"
"8.60000","0.28360","675.83185","0.00284","67.58318","-0.00018"
