Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-741.18683","0.00000","-74.11868","-0.00010"
"0.10000","0.00068","-738.74274","0.00001","-73.87428","-0.00009"
"0.20000","0.00294","-729.39807","0.00003","-72.93980","-0.00010"
"0.30000","0.00779","-709.33398","0.00008","-70.93340","-0.00010"
"0.40000","0.01103","-696.61688","0.00011","-69.66169","-0.00009"
"0.50000","0.01442","-683.66534","0.00014","-68.36653","-0.00010"
"0.60000","0.01771","-671.11334","0.00018","-67.11134","-0.00008"
"0.70000","0.02100","-658.96094","0.00021","-65.89610","-0.00009"
"0.80000","0.02431","-646.68677","0.00024","-64.66868","-0.00010"
"0.90000","0.02785","-633.87256","0.00028","-63.38726","-0.00010"
"1.00000","0.03113","-622.27637","0.00031","-62.22764","-0.00011"
"1.10000","0.03429","-611.32996","0.00034","-61.13300","-0.00009"
"1.20000","0.03777","-599.12286","0.00038","-59.91228","-0.00011"
"1.30000","0.04105","-588.19464","0.00041","-58.81947","-0.00010"
"1.40000","0.04437","-577.14136","0.00044","-57.71413","-0.00009"
"1.50000","0.04767","-566.41077","0.00048","-56.64108","-0.00011"
"1.60000","0.05116","-555.26093","0.00051","-55.52609","-0.00008"
"1.70000","0.05447","-544.93866","0.00054","-54.49387","-0.00010"
"1.80000","0.05768","-535.10797","0.00058","-53.51080","-0.00009"
"1.90000","0.06119","-524.33221","0.00061","-52.43322","-0.00009"
"2.00000","0.06450","-514.49591","0.00064","-51.44959","-0.00010"
"2.10000","0.06774","-505.24319","0.00068","-50.52432","-0.00009"
"2.20000","0.07110","-495.75284","0.00071","-49.57528","-0.00011"
"2.30000","0.07440","-486.81433","0.00074","-48.68143","-0.00008"
"2.40000","0.07772","-477.85434","0.00078","-47.78543","-0.00010"
"2.50000","0.08096","-469.33777","0.00081","-46.93378","-0.00010"
"2.60000","0.08448","-459.96881","0.00084","-45.99688","-0.00009"
"2.70000","0.08791","-451.29221","0.00088","-45.12922","-0.00011"
"2.80000","0.09104","-444.08298","0.00091","-44.40830","-0.00009"
"2.90000","0.09437","-435.96811","0.00094","-43.59681","-0.00010"
"3.00000","0.09774","-428.13239","0.00098","-42.81324","-0.00010"
"3.10000","0.10101","-420.65399","0.00101","-42.06540","-0.00009"
"3.20000","0.10433","-413.17676","0.00104","-41.31768","-0.00011"
"3.30000","0.10781","-405.19397","0.00108","-40.51940","-0.00009"
"3.40000","0.11124","-397.39236","0.00111","-39.73923","-0.00011"
"3.50000","0.11435","-391.28192","0.00114","-39.12819","-0.00009"
"3.60000","0.11779","-383.61575","0.00118","-38.36158","-0.00009"
"3.70000","0.12111","-376.77457","0.00121","-37.67746","-0.00011"
"3.80000","0.12440","-370.03650","0.00124","-37.00365","-0.00008"
"3.90000","0.12771","-363.14041","0.00128","-36.31404","-0.00011"
"4.00000","0.13116","-356.02023","0.00131","-35.60202","-0.00009"
"4.10000","0.13452","-349.18433","0.00135","-34.91843","-0.00009"
"4.20000","0.13767","-342.96841","0.00138","-34.29684","-0.00010"
"4.30000","0.14111","-335.88980","0.00141","-33.58898","-0.00008"
"4.40000","0.14442","-329.23441","0.00144","-32.92344","-0.00011"
"4.50000","0.14779","-322.66034","0.00148","-32.26603","-0.00009"
"4.60000","0.15107","-316.12622","0.00151","-31.61262","-0.00010"
"4.70000","0.15438","-309.65182","0.00154","-30.96518","-0.00011"
"4.80000","0.15779","-302.83426","0.00158","-30.28343","-0.00008"
"4.90000","0.16097","-296.70917","0.00161","-29.67092","-0.00011"
"5.00000","0.16444","-289.51849","0.00164","-28.95185","-0.00009"
"5.10000","0.16777","-282.93967","0.00168","-28.29397","-0.00010"
"5.20000","0.17108","-276.44028","0.00171","-27.64403","-0.00010"
"5.30000","0.17443","-269.77106","0.00174","-26.97711","-0.00008"
"5.40000","0.17777","-263.12183","0.00178","-26.31218","-0.00011"
"5.50000","0.18110","-256.46198","0.00181","-25.64620","-0.00008"
"5.60000","0.18438","-250.05992","0.00184","-25.00599","-0.00013"
"5.70000","0.18787","-242.62585","0.00188","-24.26258","-0.00010"
"5.80000","0.19118","-236.14026","0.00191","-23.61403","-0.00009"
"5.90000","0.19443","-229.82129","0.00194","-22.98213","-0.00010"
"6.00000","0.19771","-223.26263","0.00198","-22.32626","-0.00006"
"6.10000","0.20106","-216.57642","0.00201","-21.65764","-0.00011"
"6.20000","0.20432","-210.33195","0.00204","-21.03320","-0.00011"
"6.30000","0.20770","-203.30986","0.00208","-20.33099","-0.00010"
"6.40000","0.21117","-196.23451","0.00211","-19.62345","-0.00010"
"6.50000","0.21446","-189.54459","0.00214","-18.95446","-0.00007"
"6.60000","0.21771","-183.44405","0.00218","-18.34440","-0.00010"
"6.70000","0.22109","-176.53035","0.00221","-17.65303","-0.00009"
"6.80000","0.22441","-170.12292","0.00224","-17.01229","-0.00011"
"6.90000","0.22766","-163.96475","0.00228","-16.39647","-0.00011"
"7.00000","0.23106","-157.00146","0.00231","-15.70015","-0.00008"
"7.10000","0.23452","-150.12268","0.00235","-15.01227","-0.00010"
"7.20000","0.23785","-143.71516","0.00238","-14.37152","-0.00009"
"7.30000","0.24102","-138.02985","0.00241","-13.80298","-0.00010"
"7.40000","0.24441","-131.30753","0.00244","-13.13075","-0.00011"
"7.50000","0.24787","-124.57687","0.00248","-12.45769","-0.00009"
"7.60000","0.25103","-118.78045","0.00251","-11.87805","-0.00011"
"7.70000","0.25445","-111.93911","0.00254","-11.19391","-0.00007"
"7.80000","0.25780","-105.66595","0.00258","-10.56660","-0.00010"
"7.90000","0.26110","-99.55676","0.00261","-9.95568","-0.00010"
"8.00000","0.26427","-94.01582","0.00264","-9.40158","-0.00009"
"8.10000","0.26783","-86.66718","0.00268","-8.66672","-0.00012"
"8.20000","0.27112","-80.55556","0.00271","-8.05556","-0.00008"
"8.30000","0.27435","-74.90657","0.00274","-7.49066","-0.00010"
"8.40000","0.27774","-68.47481","0.00278","-6.84748","-0.00009"
"8.50000","0.28107","-62.46436","0.00281","-6.24644","-0.00009"
"8.60000","0.28442","-56.26438","0.00284","-5.62644","-0.00012"
"8.70000","0.28759","-50.77177","0.00288","-5.07718","-0.00008"
"8.80000","0.29125","-43.22823","0.00291","-4.32282","-0.00011"
"8.90000","0.29453","-37.49529","0.00295","-3.74953","-0.00009"
"9.00000","0.29771","-32.02859","0.00298","-3.20286","-0.00009"
"9.10000","0.30108","-25.72806","0.00301","-2.57281","-0.00011"
"9.20000","0.30434","-20.04576","0.00304","-2.00458","-0.00009"
"9.30000","0.30783","-13.49538","0.00308","-1.34954","-0.00011"
"9.40000","0.31095","-8.39043","0.00311","-0.83904","-0.00009"
"9.50000","0.31458","-1.15319","0.00315","-0.11532","-0.00009"
"9.60000","0.31787","4.57798","0.00318","0.45780","-0.00011"
"9.70000","0.32102","9.76362","0.00321","0.97636","-0.00008"
"9.80000","0.32437","15.78561","0.00324","1.57856","-0.00011"
"9.90000","0.32776","21.62400","0.00328","2.16240","-0.00008"
"10.00000","0.33101","27.12225","0.00331","2.71222","-0.00010"
"10.10000","0.33434","33.21823","0.00334","3.32182","-0.00010"
"10.20000","0.33786","39.68522","0.00338","3.96852","-0.00008"
