Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","7.13018","0.00000","0.71302","0.00001"
"0.10000","0.00059","10.49816","0.00001","1.04982","-0.00001"
"0.20000","0.00258","24.85055","0.00003","2.48506","0.00001"
"0.30000","0.00750","60.96172","0.00008","6.09617","-0.00002"
"0.40000","0.01082","84.42452","0.00011","8.44245","0.00003"
"0.50000","0.01418","107.57475","0.00014","10.75747","-0.00002"
"0.60000","0.01747","129.59637","0.00017","12.95964","0.00001"
"0.70000","0.02090","151.95082","0.00021","15.19508","-0.00001"
"0.80000","0.02420","172.83385","0.00024","17.28338","0.00000"
"0.90000","0.02763","193.81566","0.00028","19.38157","0.00001"
"1.00000","0.03096","213.63535","0.00031","21.36353","-0.00001"
"1.10000","0.03417","232.13606","0.00034","23.21361","0.00001"
"1.20000","0.03766","251.89149","0.00038","25.18915","-0.00001"
"1.30000","0.04089","269.52521","0.00041","26.95252","0.00001"
"1.40000","0.04428","287.60837","0.00044","28.76084","0.00000"
"1.50000","0.04754","304.50827","0.00048","30.45083","0.00000"
"1.60000","0.05090","321.79947","0.00051","32.17995","-0.00001"
"1.70000","0.05419","338.43707","0.00054","33.84371","-0.00001"
"1.80000","0.05749","355.16223","0.00057","35.51622","0.00000"
"1.90000","0.06099","372.92053","0.00061","37.29205","0.00000"
"2.00000","0.06427","389.06598","0.00064","38.90660","0.00000"
"2.10000","0.06754","405.22089","0.00068","40.52209","-0.00001"
"2.20000","0.07088","421.50613","0.00071","42.15061","0.00000"
"2.30000","0.07423","437.58801","0.00074","43.75880","0.00000"
"2.40000","0.07746","452.91214","0.00077","45.29121","0.00000"
"2.50000","0.08081","469.01865","0.00081","46.90186","0.00000"
"2.60000","0.08434","486.15268","0.00084","48.61527","0.00000"
"2.70000","0.08770","501.94916","0.00088","50.19492","0.00000"
"2.80000","0.09092","516.56281","0.00091","51.65628","-0.00001"
"2.90000","0.09420","531.77222","0.00094","53.17722","0.00000"
"3.00000","0.09764","547.98853","0.00098","54.79885","0.00000"
"3.10000","0.10080","562.05078","0.00101","56.20508","0.00000"
"3.20000","0.10421","578.04852","0.00104","57.80485","0.00000"
"3.30000","0.10764","593.89819","0.00108","59.38982","0.00000"
"3.40000","0.11100","608.93585","0.00111","60.89359","0.00000"
"3.50000","0.11412","622.23944","0.00114","62.22395","0.00000"
"3.60000","0.11758","637.98425","0.00118","63.79842","0.00000"
"3.70000","0.12091","652.12988","0.00121","65.21299","0.00000"
"3.80000","0.12416","666.03479","0.00124","66.60348","0.00000"
"3.90000","0.12755","680.86639","0.00128","68.08664","0.00000"
"4.00000","0.13096","695.34125","0.00131","69.53413","0.00000"
