Time,Extension,Load,Tensile strain (Extension),Tensile stress,Strain-by-clip-gage
(s),(mm),(N),(mm/mm),(MPa),(mm/mm)
"0.00000","0.00000","-7.86660","0.00000","-0.78666","0.00001"
"0.10000","0.00077","-3.34037","0.00001","-0.33404","-0.00002"
"0.20000","0.00204","5.93326","0.00002","0.59333","0.00000"
"0.30000","0.00696","43.99265","0.00007","4.39926","0.00001"
"0.40000","0.01045","69.72922","0.00010","6.97292","0.00001"
"0.50000","0.01396","95.11166","0.00014","9.51117","0.00003"
"0.60000","0.01733","118.84447","0.00017","11.88445","-0.00003"
"0.70000","0.02058","141.08449","0.00021","14.10845","0.00002"
"0.80000","0.02401","164.22995","0.00024","16.42299","0.00005"
"0.90000","0.02737","186.45151","0.00027","18.64515","0.00001"
"1.00000","0.03082","208.85741","0.00031","20.88574","0.00000"
"1.10000","0.03386","227.54912","0.00034","22.75491","-0.00007"
"1.20000","0.03735","249.29529","0.00037","24.92953","0.00003"
"1.30000","0.04068","269.49692","0.00041","26.94969","0.00000"
"1.40000","0.04396","288.93256","0.00044","28.89326","0.00005"
"1.50000","0.04726","308.33875","0.00047","30.83387","-0.00001"
"1.60000","0.05066","328.19653","0.00051","32.81965","-0.00003"
"1.70000","0.05405","347.61108","0.00054","34.76111","0.00000"
"1.80000","0.05715","364.81985","0.00057","36.48199","0.00000"
"1.90000","0.06064","384.28458","0.00061","38.42846","0.00004"
"2.00000","0.06407","403.01849","0.00064","40.30185","-0.00001"
"2.10000","0.06731","420.20526","0.00067","42.02053","0.00001"
"2.20000","0.07057","437.26315","0.00071","43.72631","-0.00002"
"2.30000","0.07398","455.21771","0.00074","45.52177","0.00001"
"2.40000","0.07733","472.87308","0.00077","47.28731","0.00001"
"2.50000","0.08053","489.71643","0.00081","48.97164","0.00000"
"2.60000","0.08412","509.12881","0.00084","50.91288","0.00001"
"2.70000","0.08745","526.38715","0.00087","52.63871","-0.00002"
"2.80000","0.09069","543.01428","0.00091","54.30143","0.00001"
"2.90000","0.09394","559.59479","0.00094","55.95948","0.00000"
"3.00000","0.09734","577.10962","0.00097","57.71096","0.00000"
"3.10000","0.10062","593.34723","0.00101","59.33472","0.00001"
"3.20000","0.10392","609.91986","0.00104","60.99199","-0.00002"
"3.30000","0.10734","627.26843","0.00107","62.72684","0.00001"
"3.40000","0.11077","644.50244","0.00111","64.45024","-0.00001"
"3.50000","0.11393","659.62134","0.00114","65.96214","0.00002"
"3.60000","0.11726","675.92346","0.00117","67.59235","0.00000"
"3.70000","0.12063","692.47748","0.00121","69.24775","0.00000"
