Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.26888"
"0.10000","0.00057","0.27744"
"0.20000","0.00402","0.30446"
"0.30000","0.00748","0.30374"
"0.40000","0.01009","0.28233"
"0.50000","0.01247","0.26545"
"0.60000","0.01502","0.29169"
"0.70000","0.01745","0.33337"
"0.80000","0.02006","0.31843"
"0.90000","0.02255","0.33522"
"1.00000","0.02488","0.34639"
"1.10000","0.02760","0.31365"
"1.20000","0.03003","0.33609"
"1.30000","0.03258","0.32420"
"1.40000","0.03502","0.39354"
"1.50000","0.03746","0.36348"
"1.60000","0.04001","0.32809"
"1.70000","0.04261","0.30351"
"1.80000","0.04499","0.40666"
"1.90000","0.04743","0.38962"
"2.00000","0.05009","0.38046"
"2.10000","0.05259","0.36061"
"2.20000","0.05508","0.35847"
"2.30000","0.05752","0.39219"
"2.40000","0.06001","0.38622"
"2.50000","0.06262","0.37602"
"2.60000","0.06511","0.38821"
"2.70000","0.06749","0.38182"
"2.80000","0.06998","0.39671"
"2.90000","0.07248","0.37259"
"3.00000","0.07503","0.38685"
"3.10000","0.07758","0.38605"
"3.20000","0.08001","0.39811"
"3.30000","0.08251","0.43163"
"3.40000","0.08511","0.40472"
"3.50000","0.08761","0.41035"
"3.60000","0.08999","0.43510"
"3.70000","0.09248","0.44790"
"3.80000","0.09503","0.41183"
"3.90000","0.09758","0.46073"
"4.00000","0.09996","0.42785"
"4.10000","0.10245","0.45282"
"4.20000","0.10500","0.45057"
"4.30000","0.10755","0.36895"
"4.40000","0.11005","0.45845"
"4.50000","0.11254","0.44137"
"4.60000","0.11503","0.45520"
"4.70000","0.11758","0.43237"
"4.80000","0.12008","0.47918"
"4.90000","0.12257","0.46923"
"5.00000","0.12501","0.43744"
"5.10000","0.12756","0.50980"
"5.20000","0.13005","0.47728"
"5.30000","0.13254","0.44917"
"5.40000","0.13509","0.49046"
"5.50000","0.13753","0.45177"
"5.60000","0.14014","0.46429"
"5.70000","0.14246","0.48296"
"5.80000","0.14501","0.46690"
"5.90000","0.14750","0.48880"
"6.00000","0.15005","0.50500"
"6.10000","0.15249","0.46870"
"6.20000","0.15504","0.50624"
"6.30000","0.15753","0.51212"
"6.40000","0.16003","0.50522"
"6.50000","0.16258","0.50014"
"6.60000","0.16496","0.48619"
"6.70000","0.16751","0.50147"
"6.80000","0.17006","0.52161"
"6.90000","0.17255","0.52801"
"7.00000","0.17499","0.49461"
"7.10000","0.17748","0.52216"
"7.20000","0.18009","0.53617"
"7.30000","0.18258","0.51868"
"7.40000","0.18507","0.52860"
"7.50000","0.18751","0.55256"
"7.60000","0.19006","0.51440"
"7.70000","0.19267","0.56451"
"7.80000","0.19505","0.54550"
"7.90000","0.19760","0.53393"
"8.00000","0.20003","0.55346"
"8.10000","0.20258","0.57554"
"8.20000","0.20508","0.56836"
"8.30000","0.20746","0.56441"
"8.40000","0.21001","0.54473"
"8.50000","0.21256","0.57581"
"8.60000","0.21511","0.59544"
"8.70000","0.21754","0.56193"
"8.80000","0.22004","0.60633"
"8.90000","0.22253","0.59865"
"9.00000","0.22514","0.60556"
"9.10000","0.22757","0.60980"
"9.20000","0.22995","0.59430"
"9.30000","0.23250","0.59828"
"9.40000","0.23511","0.62124"
"9.50000","0.23755","0.60242"
"9.60000","0.23993","0.58758"
"9.70000","0.24253","0.59214"
"9.80000","0.24508","0.66652"
"9.90000","0.24763","0.61754"
"10.00000","0.25007","0.58341"
"10.10000","0.25251","0.64202"
"10.20000","0.25506","0.61404"
"10.30000","0.25766","0.65518"
"10.40000","0.26004","0.64714"
"10.50000","0.26248","0.61495"
"10.60000","0.26503","0.63698"
"10.70000","0.26758","0.61538"
"10.80000","0.27007","0.66533"
"10.90000","0.27245","0.64418"
"11.00000","0.27500","0.64389"
"11.10000","0.27755","0.66095"
"11.20000","0.28010","0.63235"
"11.30000","0.28254","0.65572"
"11.40000","0.28498","0.64826"
"11.50000","0.28753","0.66015"
"11.60000","0.29013","0.61726"
"11.70000","0.29257","0.70917"
"11.80000","0.29501","0.71886"
"11.90000","0.29750","0.65412"
"12.00000","0.29999","0.62652"
"12.10000","0.30254","0.68257"
"12.20000","0.30504","0.66540"
"12.30000","0.30747","0.71378"
"12.40000","0.31002","0.70283"
"12.50000","0.31257","0.67257"
"12.60000","0.31507","0.70833"
"12.70000","0.31750","0.68766"
"12.80000","0.32000","0.68466"
"12.90000","0.32255","0.70053"
"13.00000","0.32510","0.68426"
"13.10000","0.32748","0.71344"
"13.20000","0.32997","0.70712"
"13.30000","0.33258","0.70887"
"13.40000","0.33507","0.72508"
"13.50000","0.33745","0.68999"
"13.60000","0.34006","0.73330"
"13.70000","0.34249","0.69859"
"13.80000","0.34504","0.73963"
"13.90000","0.34759","0.71554"
"14.00000","0.35009","0.73605"
"14.10000","0.35252","0.75334"
"14.20000","0.35513","0.76086"
"14.30000","0.35751","0.75734"
"14.40000","0.36006","0.74799"
"14.50000","0.36261","0.72299"
"14.60000","0.36505","0.75133"
"14.70000","0.36760","0.77503"
"14.80000","0.36998","0.76439"
"14.90000","0.37247","0.75204"
"15.00000","0.37496","0.74379"
"15.10000","0.37751","0.76337"
"15.20000","0.37995","0.75710"
"15.30000","0.38256","0.78477"
"15.40000","0.38505","0.77061"
"15.50000","0.38754","0.78811"
"15.60000","0.39009","0.76741"
"15.70000","0.39253","0.79290"
"15.80000","0.39502","0.76910"
"15.90000","0.39757","0.77755"
"16.00000","0.40001","0.79285"
"16.10000","0.40245","0.77530"
"16.20000","0.40511","0.79907"
"16.30000","0.40760","0.79813"
"16.40000","0.41010","0.77821"
"16.50000","0.41253","0.80425"
"16.60000","0.41497","0.77834"
"16.70000","0.41758","0.80301"
"16.80000","0.42007","0.82704"
"16.90000","0.42251","0.79845"
"17.00000","0.42506","0.81101"
"17.10000","0.42755","0.78692"
"17.20000","0.43004","0.82421"
"17.30000","0.43259","0.80785"
"17.40000","0.43492","0.86883"
"17.50000","0.43752","0.82458"
"17.60000","0.44007","0.86020"
"17.70000","0.44251","0.83496"
"17.80000","0.44500","0.79200"
"17.90000","0.44750","0.85117"
"18.00000","0.44999","0.87314"
